"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Koki Machida";"Royale Union Saint-Gilloise v KAS Eupen";"LCB";"84.05";"8986.1";"1172.5";"337.3";"15.0";"352.3";"33.2";"0.0";"33.2";"72.8";"5.4";"57.8";"8.6";"24.60"
"Koki Machida";"Racing White Daring Molenbeek v Royale Union Saint-Gilloise";"LCB";"107.23";"9215.7";"1144.0";"416.3";"125.9";"542.2";"32.7";"6.7";"39.4";"84.8";"5.9";"69.7";"12.6";"27.60"
"Koki Machida";"Sint-Truidense VV v Royale Union Saint-Gilloise";"LCB";"98.43";"9752.5";"1165.8";"394.1";"97.8";"491.9";"33.8";"6.4";"40.2";"84.1";"4.6";"75.9";"14.6";"27.40"
"Koki Machida";"Royale Union Saint-Gilloise v Royal Antwerp FC";"LCB";"101.12";"9292.8";"1219.3";"543.8";"206.5";"750.3";"36.5";"9.8";"46.3";"70.3";"3.6";"54.3";"11.6";"30.60"
"Koki Machida";"KV Mechelen v Royale Union Saint-Gilloise";"LCB";"100.99";"9743.2";"1324.3";"566.8";"207.6";"774.4";"41.9";"9.8";"51.7";"82.0";"6.2";"66.8";"14.3";"28.40"
"Koki Machida";"KVC Westerlo v Royale Union Saint-Gilloise";"LCB";"96.36";"9973.2";"1341.2";"461.4";"170.0";"631.4";"36.4";"8.4";"44.8";"65.4";"5.6";"64.4";"11.2";"29.30"
"Koki Machida";"Royale Union Saint-Gilloise v Oud-Heverlee Leuven";"LCB";"100.50";"9082.4";"1299.4";"513.1";"155.8";"669.0";"41.2";"8.1";"49.3";"76.1";"7.2";"61.8";"17.9";"28.60"
"Koki Machida";"Standard de Liège v Royale Union Saint-Gilloise";"LCB";"98.65";"9429.7";"1174.2";"477.1";"151.4";"628.6";"37.4";"11.9";"49.3";"82.1";"5.5";"75.7";"16.4";"30.00"
"Koki Machida";"Royale Union Saint-Gilloise v RSC Anderlecht";"LCB";"101.28";"8953.8";"1150.8";"496.7";"128.9";"625.6";"41.8";"10.7";"52.4";"71.1";"5.3";"57.8";"13.3";"28.60"
"Koki Machida";"Royale Union Saint-Gilloise v Club Brugge KV";"LCB";"99.22";"9286.6";"1230.9";"345.6";"118.8";"464.4";"33.6";"5.4";"39.0";"78.9";"2.7";"62.6";"13.6";"30.60"
"Koki Machida";"Royale Union Saint-Gilloise v KV Kortrijk";"CB";"99.10";"9860.9";"1320.5";"508.6";"150.8";"659.3";"41.8";"9.1";"50.9";"72.7";"4.5";"73.6";"10.0";"27.30"
"Koki Machida";"KAA Gent v Royale Union Saint-Gilloise";"LCB";"99.85";"9589.5";"1311.5";"549.8";"253.3";"803.1";"44.2";"11.7";"55.9";"86.5";"4.5";"64.0";"19.8";"30.40"
"Koki Machida";"Sporting Charleroi v Royale Union Saint-Gilloise";"LCB";"93.92";"10458.5";"1577.3";"532.8";"126.5";"659.3";"44.1";"4.8";"48.9";"82.4";"4.8";"71.9";"14.4";"27.40"
"Koki Machida";"Royale Union Saint-Gilloise v KV Mechelen";"LCB";"95.38";"10277.6";"1341.8";"518.0";"65.1";"583.1";"38.7";"2.8";"41.5";"69.8";"3.8";"72.7";"11.3";"25.90"
"Koki Machida";"KAS Eupen v Royale Union Saint-Gilloise";"LCB";"100.07";"8915.5";"965.0";"264.4";"48.6";"313.0";"27.0";"1.8";"28.8";"107.0";"6.3";"82.7";"11.7";"26.80"
"Koki Machida";"Club Brugge KV v Royale Union Saint-Gilloise";"LCB";"102.38";"9044.8";"1063.7";"367.5";"191.6";"559.1";"33.4";"7.0";"40.4";"85.3";"5.3";"61.5";"16.7";"28.50"
"Koki Machida";"Royale Union Saint-Gilloise v KVC Westerlo";"LCB";"100.85";"9219.5";"1174.4";"423.0";"88.3";"511.4";"37.5";"5.4";"42.8";"74.1";"4.5";"63.4";"13.4";"27.10"
"Koki Machida";"KV Kortrijk v Royale Union Saint-Gilloise";"LCB";"96.25";"9346.9";"1130.5";"429.2";"48.6";"477.8";"32.7";"3.7";"36.5";"98.2";"5.6";"81.4";"8.4";"25.60"
"Koki Machida";"Oud-Heverlee Leuven v Royale Union Saint-Gilloise";"LCB";"106.22";"8825.5";"1030.3";"347.4";"44.9";"392.3";"30.5";"5.1";"35.6";"83.0";"2.5";"70.3";"11.0";"26.20"
"Koki Machida";"Royale Union Saint-Gilloise v KAA Gent";"LCB";"95.38";"10416.3";"1524.8";"592.6";"208.5";"801.1";"46.2";"7.5";"53.8";"76.4";"8.5";"84.0";"13.2";"27.30"
"Koki Machida";"Royal Antwerp FC v Royale Union Saint-Gilloise";"LCB";"74.17";"10204.9";"1411.2";"569.1";"135.9";"705.0";"47.3";"6.1";"53.4";"99.5";"4.9";"97.1";"17.0";"28.50"
"Koki Machida";"Royale Union Saint-Gilloise v KSV Cercle Brugge";"LCB";"104.33";"9088.9";"1135.2";"374.4";"110.4";"484.8";"26.7";"2.6";"29.3";"87.1";"6.9";"65.6";"12.9";"25.40"
"Koki Machida";"RSC Anderlecht v Royale Union Saint-Gilloise";"LCB";"101.39";"9705.7";"1532.1";"402.1";"103.9";"506.0";"34.6";"7.1";"41.7";"90.5";"4.4";"63.0";"16.0";"26.40"
