"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Killian Sardella";"Standard de Liège v RSC Anderlecht";"RB";"103.00";"10319.4";"1404.2";"606.4";"359.1";"965.5";"47.2";"14.0";"61.2";"91.7";"11.4";"74.3";"12.2";"29.90"
"Killian Sardella";"RSC Anderlecht v KV Mechelen";"RB";"99.40";"11038.1";"1380.8";"753.3";"306.9";"1060.3";"59.8";"14.5";"74.2";"92.4";"11.8";"82.4";"25.4";"31.10"
"Killian Sardella";"RSC Anderlecht v Club Brugge KV";"RB";"100.75";"11252.0";"1656.2";"647.6";"185.8";"833.4";"58.1";"12.5";"70.6";"117.9";"7.1";"75.9";"19.7";"30.40"
"Killian Sardella";"KV Kortrijk v RSC Anderlecht";"RB";"101.27";"10255.8";"1508.1";"422.1";"286.2";"708.3";"43.5";"9.8";"53.3";"91.5";"8.0";"73.8";"21.3";"31.70"
"Killian Sardella";"RSC Anderlecht v Oud-Heverlee Leuven";"RB";"100.40";"10315.9";"1646.7";"663.3";"171.2";"834.6";"57.4";"12.5";"69.9";"112.9";"10.8";"78.9";"16.1";"28.80"
"Killian Sardella";"KRC Genk v RSC Anderlecht";"RB";"101.52";"10410.5";"1471.6";"593.1";"236.7";"829.8";"44.3";"12.4";"56.7";"87.8";"7.1";"77.1";"21.3";"29.60"
"Killian Sardella";"RSC Anderlecht v Sporting Charleroi";"RB";"99.38";"10432.7";"1541.4";"649.3";"309.7";"959.0";"53.4";"13.6";"67.0";"98.7";"12.7";"76.1";"22.6";"31.40"
"Killian Sardella";"RSC Anderlecht v KVC Westerlo";"RB";"101.40";"10547.0";"1554.1";"671.0";"261.8";"932.8";"58.6";"12.4";"71.0";"91.4";"1.8";"73.7";"17.8";"28.30"
"Killian Sardella";"RSC Anderlecht v Royal Antwerp FC";"RB";"89.65";"10691.6";"1302.1";"650.5";"385.5";"1036.0";"56.2";"15.1";"71.3";"104.4";"16.1";"81.3";"29.1";"31.20"
"Killian Sardella";"KSV Cercle Brugge v RSC Anderlecht";"RB";"100.18";"10202.9";"1428.4";"513.9";"183.3";"697.1";"45.8";"10.8";"56.6";"99.7";"6.3";"79.1";"17.1";"29.20"
"Killian Sardella";"KAA Gent v RSC Anderlecht";"RB";"100.55";"10126.0";"1357.8";"597.0";"222.0";"819.0";"51.9";"10.7";"62.7";"114.6";"9.0";"88.6";"27.7";"32.30"
"Killian Sardella";"RSC Anderlecht v Racing White Daring Molenbeek";"RB";"99.91";"10154.8";"1317.0";"482.8";"250.4";"733.3";"42.3";"12.6";"54.9";"103.6";"5.4";"80.2";"17.1";"30.40"
"Killian Sardella";"KVC Westerlo v RSC Anderlecht";"RB";"86.77";"10945.8";"1674.1";"608.9";"228.2";"837.0";"48.7";"12.4";"61.2";"85.1";"13.5";"68.5";"22.8";"28.60"
"Killian Sardella";"RSC Anderlecht v Standard de Liège";"RB";"106.00";"9590.9";"1188.7";"612.2";"183.4";"795.6";"50.9";"9.3";"60.3";"100.2";"4.2";"75.6";"21.2";"31.00"
"Killian Sardella";"Royal Antwerp FC v RSC Anderlecht";"RB";"98.73";"10488.6";"1675.5";"573.4";"177.8";"751.1";"54.7";"10.0";"64.7";"99.4";"6.4";"89.3";"23.7";"30.00"
"Killian Sardella";"Club Brugge KV v RSC Anderlecht";"RB";"80.55";"10807.8";"1709.5";"765.4";"116.2";"881.6";"65.9";"10.1";"76.0";"98.3";"10.1";"84.9";"15.6";"27.00"
"Killian Sardella";"RSC Anderlecht v KAS Eupen";"RB";"94.60";"10729.6";"1485.1";"657.4";"385.3";"1042.7";"59.9";"19.0";"79.0";"110.4";"5.7";"82.8";"20.9";"29.90"
"Killian Sardella";"Racing White Daring Molenbeek v RSC Anderlecht";"RB";"97.57";"10592.1";"1550.6";"795.1";"264.7";"1059.9";"62.7";"14.8";"77.5";"94.1";"10.1";"71.9";"24.0";"29.10"
"Killian Sardella";"RSC Anderlecht v KV Kortrijk";"RB";"102.80";"11227.2";"1798.2";"752.0";"202.2";"954.3";"58.7";"13.1";"71.8";"98.9";"8.8";"81.4";"26.3";"30.50"
"Killian Sardella";"RSC Anderlecht v Royal Antwerp FC";"RB";"100.47";"9910.1";"1276.5";"598.4";"237.4";"835.8";"47.5";"17.0";"64.5";"103.0";"6.3";"76.1";"20.6";"30.30"
"Killian Sardella";"Club Brugge KV v RSC Anderlecht";"RB";"99.68";"10582.8";"1737.2";"596.8";"265.4";"862.3";"52.4";"9.0";"61.4";"86.7";"8.1";"73.1";"16.3";"30.90"
"Killian Sardella";"RSC Anderlecht v Royale Union Saint-Gilloise";"RB";"101.39";"9942.7";"1431.8";"540.6";"282.3";"822.9";"39.1";"13.3";"52.4";"104.7";"5.3";"71.0";"19.5";"30.50"
