"Player";"Match";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Jean Thierry Lazare Amani";"Racing White Daring Molenbeek v Royale Union Saint-Gilloise";"77.35";"9599.2";"1143.8";"380.5";"57.0";"437.5";"34.9";"2.3";"37.2";"95.4";"8.1";"79.1";"18.6";"26.70"
"Jean Thierry Lazare Amani";"KSV Cercle Brugge v Royale Union Saint-Gilloise";"92.51";"9503.9";"1136.3";"557.5";"220.8";"778.3";"43.8";"14.6";"58.4";"79.8";"6.8";"71.0";"25.3";"29.10"
"Jean Thierry Lazare Amani";"KV Mechelen v Royale Union Saint-Gilloise";"100.99";"10559.6";"1572.0";"604.2";"222.8";"827.0";"51.7";"8.9";"60.6";"89.1";"3.6";"80.2";"22.3";"30.10"
"Jean Thierry Lazare Amani";"Royale Union Saint-Gilloise v Oud-Heverlee Leuven";"86.60";"10275.2";"1463.3";"624.6";"136.1";"760.7";"49.9";"7.3";"57.2";"90.4";"5.2";"75.9";"14.5";"26.90"
"Jean Thierry Lazare Amani";"Royale Union Saint-Gilloise v Club Brugge KV";"81.13";"10614.1";"1772.7";"748.8";"184.1";"932.9";"66.6";"13.3";"79.9";"92.1";"5.5";"78.8";"32.2";"27.50"
"Jean Thierry Lazare Amani";"Sporting Charleroi v Royale Union Saint-Gilloise";"76.05";"11027.2";"1849.7";"892.3";"295.9";"1188.2";"65.1";"16.6";"81.7";"87.6";"14.2";"86.4";"24.9";"28.50"
"Jean Thierry Lazare Amani";"Royale Union Saint-Gilloise v KV Mechelen";"68.47";"11321.3";"2017.7";"765.0";"327.3";"1092.3";"56.5";"19.7";"76.2";"96.0";"6.6";"88.1";"26.3";"30.00"
"Jean Thierry Lazare Amani";"Club Brugge KV v Royale Union Saint-Gilloise";"102.38";"9997.8";"1484.8";"721.7";"314.7";"1036.4";"58.0";"14.1";"72.1";"94.1";"9.7";"78.2";"22.9";"30.50"
"Jean Thierry Lazare Amani";"KRC Genk v Royale Union Saint-Gilloise";"99.37";"9577.8";"1373.1";"702.8";"254.5";"957.3";"53.4";"14.5";"67.9";"91.5";"8.2";"77.0";"29.0";"30.00"
"Jean Thierry Lazare Amani";"Royale Union Saint-Gilloise v KSV Cercle Brugge";"70.23";"9888.1";"1587.8";"657.4";"267.8";"925.2";"53.8";"14.1";"67.9";"108.9";"9.0";"96.1";"25.6";"27.70"
