"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Ludwig Augustinsson";"Standard de Liège v RSC Anderlecht";"LB";"85.57";"10204.3";"1480.9";"614.2";"187.2";"801.4";"54.7";"9.5";"64.2";"106.2";"6.3";"77.8";"26.3";"28.50"
"Ludwig Augustinsson";"RSC Anderlecht v KV Mechelen";"LB";"99.40";"11328.8";"1735.7";"730.7";"145.8";"876.5";"57.0";"8.1";"65.2";"106.8";"5.4";"88.7";"22.6";"27.90"
"Ludwig Augustinsson";"KAS Eupen v RSC Anderlecht";"LB";"99.37";"10893.8";"1515.2";"754.5";"153.1";"907.5";"65.2";"13.6";"78.8";"124.1";"7.2";"99.6";"25.4";"26.80"
"Ludwig Augustinsson";"RSC Anderlecht v Club Brugge KV";"LB";"100.75";"10503.4";"1346.2";"433.3";"57.2";"490.4";"38.4";"6.3";"44.7";"111.7";"1.8";"93.8";"17.0";"25.40"
"Ludwig Augustinsson";"RSC Anderlecht v Oud-Heverlee Leuven";"LB";"91.52";"10265.6";"1554.7";"689.4";"179.0";"868.3";"53.1";"12.8";"65.9";"109.2";"7.9";"82.6";"18.7";"26.80"
"Ludwig Augustinsson";"KSV Cercle Brugge v RSC Anderlecht";"LB";"100.18";"9884.0";"1355.7";"572.3";"177.0";"749.3";"50.3";"10.8";"61.1";"99.7";"9.0";"85.3";"18.0";"28.20"
"Ludwig Augustinsson";"RSC Anderlecht v Racing White Daring Molenbeek";"LB";"99.91";"10416.1";"1280.1";"490.9";"145.9";"636.9";"41.4";"8.1";"49.5";"106.3";"2.7";"82.0";"13.5";"27.80"
"Ludwig Augustinsson";"KVC Westerlo v RSC Anderlecht";"LB";"96.49";"10851.5";"1441.1";"709.8";"275.2";"985.0";"52.2";"13.1";"65.3";"83.0";"3.7";"60.6";"23.3";"28.00"
"Ludwig Augustinsson";"RSC Anderlecht v Standard de Liège";"LB";"106.00";"9845.7";"1405.2";"670.8";"179.2";"849.9";"56.0";"11.9";"67.9";"107.8";"3.4";"82.4";"16.1";"27.60"
"Ludwig Augustinsson";"Royal Antwerp FC v RSC Anderlecht";"LB";"98.73";"10691.9";"1468.6";"570.6";"258.9";"829.5";"57.4";"13.7";"71.1";"102.1";"10.0";"90.2";"25.5";"28.40"
"Ludwig Augustinsson";"RSC Anderlecht v KRC Genk";"LB";"103.45";"9683.8";"1297.1";"464.6";"126.1";"590.7";"35.7";"7.8";"43.5";"92.2";"4.3";"86.1";"19.1";"29.00"
"Ludwig Augustinsson";"RSC Anderlecht v KSV Cercle Brugge";"LB";"103.36";"9560.8";"1307.9";"608.6";"141.1";"749.7";"45.3";"8.7";"54.0";"100.1";"2.6";"74.9";"20.0";"26.10"
"Ludwig Augustinsson";"Oud-Heverlee Leuven v RSC Anderlecht";"LB";"102.04";"9882.9";"1304.5";"444.5";"105.8";"550.4";"36.2";"4.4";"40.6";"97.0";"7.9";"65.3";"15.0";"27.10"
"Ludwig Augustinsson";"Club Brugge KV v RSC Anderlecht";"LB";"99.33";"10347.3";"1454.2";"579.0";"182.1";"761.1";"52.6";"10.0";"62.5";"93.3";"8.2";"77.0";"12.7";"28.50"
"Ludwig Augustinsson";"RSC Anderlecht v KAS Eupen";"LB";"94.60";"11083.5";"1908.5";"742.1";"106.6";"848.6";"61.8";"7.6";"69.5";"101.8";"4.8";"91.3";"19.0";"26.70"
"Ludwig Augustinsson";"Racing White Daring Molenbeek v RSC Anderlecht";"LB";"97.57";"10580.1";"1439.9";"628.2";"195.6";"823.7";"47.0";"10.1";"57.2";"97.8";"5.5";"82.1";"20.3";"28.00"
"Ludwig Augustinsson";"RSC Anderlecht v KV Kortrijk";"LB";"102.80";"11184.3";"1475.2";"652.2";"114.7";"766.9";"50.8";"7.0";"57.8";"108.6";"0.9";"91.1";"20.1";"26.30"
"Ludwig Augustinsson";"RSC Anderlecht v Royal Antwerp FC";"LB";"100.47";"10138.5";"1351.7";"468.5";"51.1";"519.6";"39.4";"5.4";"44.8";"112.0";"3.6";"85.1";"14.3";"26.30"
"Ludwig Augustinsson";"Club Brugge KV v RSC Anderlecht";"LB";"99.68";"10513.2";"1626.1";"658.2";"127.3";"785.5";"56.9";"6.3";"63.2";"100.2";"5.4";"76.7";"20.8";"26.20"
"Ludwig Augustinsson";"RSC Anderlecht v Royale Union Saint-Gilloise";"LB";"101.39";"9964.9";"1443.3";"498.0";"181.1";"679.1";"35.5";"11.5";"47.0";"103.9";"7.1";"67.5";"20.4";"28.80"
