"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Loïc Lapoussin";"Royale Union Saint-Gilloise v KAS Eupen";"LWB";"97.21";"9843.4";"1538.7";"463.8";"49.1";"512.9";"38.9";"2.8";"41.7";"87.0";"5.6";"74.1";"15.7";"25.00"
"Loïc Lapoussin";"Racing White Daring Molenbeek v Royale Union Saint-Gilloise";"LWB";"107.23";"10196.9";"1724.8";"543.9";"131.8";"675.7";"41.1";"5.0";"46.2";"100.7";"5.9";"79.7";"14.3";"26.20"
"Loïc Lapoussin";"Sint-Truidense VV v Royale Union Saint-Gilloise";"LWB";"98.43";"10655.9";"1655.9";"659.3";"104.2";"763.5";"53.0";"6.4";"59.4";"103.3";"1.8";"86.9";"23.8";"26.00"
"Loïc Lapoussin";"Royale Union Saint-Gilloise v KRC Genk";"LWB";"102.55";"10195.3";"1683.3";"489.7";"135.2";"624.9";"36.9";"8.8";"45.6";"81.6";"3.5";"65.8";"14.9";"27.70"
"Loïc Lapoussin";"Royale Union Saint-Gilloise v Royal Antwerp FC";"LWB";"101.12";"10279.9";"1717.8";"693.3";"155.8";"849.1";"52.5";"6.2";"58.7";"92.6";"4.5";"70.3";"13.4";"27.50"
"Loïc Lapoussin";"KV Mechelen v Royale Union Saint-Gilloise";"LWB";"100.99";"11309.0";"2065.7";"709.4";"101.6";"811.0";"56.1";"5.3";"61.5";"98.0";"1.8";"72.2";"15.2";"25.80"
"Loïc Lapoussin";"KVC Westerlo v Royale Union Saint-Gilloise";"LWB";"96.36";"10448.6";"1683.1";"589.4";"157.8";"747.2";"52.3";"9.3";"61.6";"77.5";"1.9";"73.8";"14.0";"26.80"
"Loïc Lapoussin";"Royale Union Saint-Gilloise v Oud-Heverlee Leuven";"LWB";"100.50";"9851.6";"1620.9";"497.9";"62.7";"560.6";"46.6";"6.3";"52.8";"95.8";"4.5";"80.6";"16.1";"25.60"
"Loïc Lapoussin";"Standard de Liège v Royale Union Saint-Gilloise";"LWB";"98.65";"10200.6";"1482.5";"520.0";"147.8";"667.8";"42.0";"6.4";"48.4";"97.6";"4.6";"98.5";"18.2";"30.70"
"Loïc Lapoussin";"Royale Union Saint-Gilloise v RSC Anderlecht";"LWB";"101.28";"9609.6";"1414.7";"473.6";"132.4";"606.0";"40.0";"6.2";"46.2";"80.9";"3.6";"72.9";"10.7";"27.30"
