"Player";"Match";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Leonardo da Silva Lopes";"KSV Cercle Brugge v KAA Gent";"100.62";"10356.0";"1911.4";"669.1";"347.9";"1017.0";"48.3";"17.9";"66.2";"87.7";"7.2";"77.8";"13.4";"30.80"
"Leonardo da Silva Lopes";"KV Kortrijk v KSV Cercle Brugge";"104.28";"9601.6";"1437.0";"560.1";"166.6";"726.7";"49.2";"12.1";"61.3";"96.7";"12.1";"86.3";"11.2";"28.50"
"Leonardo da Silva Lopes";"KSV Cercle Brugge v Royale Union Saint-Gilloise";"100.15";"9961.6";"1528.6";"455.6";"133.9";"589.5";"36.8";"10.8";"47.6";"86.3";"3.6";"69.2";"15.3";"28.60"
"Leonardo da Silva Lopes";"Racing White Daring Molenbeek v KSV Cercle Brugge";"103.21";"9648.8";"1365.6";"477.0";"109.0";"586.0";"37.5";"6.1";"43.6";"84.6";"5.2";"72.4";"14.8";"27.30"
"Leonardo da Silva Lopes";"KSV Cercle Brugge v Oud-Heverlee Leuven";"107.74";"9726.7";"1734.2";"643.2";"269.0";"912.2";"46.8";"14.2";"61.0";"85.2";"5.8";"79.4";"12.5";"28.40"
"Leonardo da Silva Lopes";"KV Mechelen v KSV Cercle Brugge";"100.31";"9644.2";"1448.1";"615.5";"253.9";"869.4";"49.3";"11.7";"61.0";"96.0";"6.3";"82.5";"19.7";"29.00"
"Leonardo da Silva Lopes";"KSV Cercle Brugge v KVC Westerlo";"99.34";"10109.8";"1470.4";"627.8";"212.0";"839.8";"44.4";"10.9";"55.3";"80.6";"3.6";"69.8";"18.1";"28.20"
"Leonardo da Silva Lopes";"Sint-Truidense VV v KSV Cercle Brugge";"95.56";"11724.7";"2567.4";"950.3";"233.6";"1183.9";"68.8";"12.2";"81.0";"106.4";"7.5";"82.9";"14.1";"27.30"
"Leonardo da Silva Lopes";"Standard de Liège v KSV Cercle Brugge";"73.32";"10512.3";"1833.9";"762.3";"173.1";"935.4";"52.8";"7.4";"60.1";"94.5";"7.4";"89.6";"8.6";"29.60"
"Leonardo da Silva Lopes";"KSV Cercle Brugge v KRC Genk";"101.85";"10048.9";"1854.8";"562.9";"176.7";"739.6";"51.3";"8.0";"59.2";"70.7";"4.4";"66.3";"15.9";"28.00"
"Leonardo da Silva Lopes";"KRC Genk v KSV Cercle Brugge";"93.17";"10214.2";"1810.2";"693.6";"256.0";"949.6";"63.8";"13.5";"77.3";"103.4";"5.8";"76.3";"21.3";"29.60"
"Leonardo da Silva Lopes";"KSV Cercle Brugge v Standard de Liège";"77.88";"10029.7";"1457.2";"453.0";"184.9";"637.9";"38.1";"11.6";"49.7";"91.3";"3.5";"68.2";"16.2";"28.30"
"Leonardo da Silva Lopes";"KSV Cercle Brugge v Sint-Truidense VV";"101.46";"10272.0";"1816.7";"705.2";"209.3";"914.5";"59.4";"8.9";"68.3";"76.3";"8.9";"74.5";"17.7";"28.10"
"Leonardo da Silva Lopes";"KAA Gent v KSV Cercle Brugge";"100.00";"10760.4";"1675.8";"538.2";"162.0";"700.2";"41.4";"8.1";"49.5";"94.5";"1.8";"81.0";"17.1";"28.10"
"Leonardo da Silva Lopes";"KSV Cercle Brugge v Club Brugge KV";"107.44";"9987.6";"1800.2";"537.0";"130.7";"667.6";"46.9";"5.0";"51.9";"82.9";"6.7";"82.9";"16.8";"30.20"
"Leonardo da Silva Lopes";"KSV Cercle Brugge v KV Mechelen";"102.36";"10676.7";"2264.1";"867.8";"302.5";"1170.3";"74.7";"13.2";"87.9";"87.0";"4.4";"80.0";"15.8";"30.20"
"Leonardo da Silva Lopes";"KAS Eupen v KSV Cercle Brugge";"76.70";"10282.5";"1672.1";"738.1";"201.8";"939.9";"52.8";"9.4";"62.2";"123.2";"9.4";"104.4";"22.3";"27.10"
"Leonardo da Silva Lopes";"Sporting Charleroi v KSV Cercle Brugge";"103.40";"9944.4";"1732.1";"608.4";"243.7";"852.1";"51.4";"13.9";"65.3";"95.7";"8.7";"75.7";"16.5";"29.00"
"Leonardo da Silva Lopes";"KSV Cercle Brugge v Racing White Daring Molenbeek";"70.30";"9638.8";"1250.8";"504.4";"154.9";"659.3";"37.1";"6.4";"43.5";"96.0";"2.6";"83.2";"11.5";"30.60"
"Leonardo da Silva Lopes";"KSV Cercle Brugge v Club Brugge KV";"104.22";"9615.7";"1746.1";"734.9";"334.2";"1069.1";"57.9";"13.0";"70.8";"106.2";"5.2";"77.7";"23.3";"29.40"
"Leonardo da Silva Lopes";"Royale Union Saint-Gilloise v KSV Cercle Brugge";"95.36";"10078.8";"1656.4";"698.4";"223.7";"922.1";"47.2";"9.4";"56.6";"108.5";"5.7";"89.7";"17.0";"28.30"
"Leonardo da Silva Lopes";"KRC Genk v KSV Cercle Brugge";"97.90";"10313.7";"1773.3";"756.6";"212.4";"968.9";"53.3";"13.8";"67.1";"81.8";"5.5";"75.4";"13.8";"28.50"
