"Player";"Match";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Mohamed El Amine Amoura";"Racing White Daring Molenbeek v Royale Union Saint-Gilloise";"107.23";"10518.3";"1647.6";"695.0";"297.1";"992.1";"62.1";"18.5";"80.6";"92.3";"9.2";"73.9";"21.8";"29.90"
"Mohamed El Amine Amoura";"KSV Cercle Brugge v Royale Union Saint-Gilloise";"81.48";"9735.6";"1209.5";"613.0";"471.6";"1084.7";"49.7";"23.2";"72.9";"80.6";"7.7";"65.2";"25.4";"32.40"
"Mohamed El Amine Amoura";"Royale Union Saint-Gilloise v Club Brugge KV";"83.70";"10179.6";"1319.4";"597.8";"343.0";"940.9";"43.0";"18.3";"61.3";"96.8";"5.4";"72.0";"19.4";"30.80"
"Mohamed El Amine Amoura";"KAA Gent v Royale Union Saint-Gilloise";"66.06";"11103.5";"1799.7";"837.9";"419.6";"1257.5";"72.2";"28.6";"100.8";"104.9";"4.1";"84.5";"31.3";"30.60"
"Mohamed El Amine Amoura";"Sporting Charleroi v Royale Union Saint-Gilloise";"77.47";"10556.7";"1511.4";"750.5";"441.5";"1191.9";"58.1";"18.6";"76.7";"79.0";"11.6";"72.0";"24.4";"31.70"
"Mohamed El Amine Amoura";"Royale Union Saint-Gilloise v KV Mechelen";"77.22";"11240.1";"1745.9";"766.9";"276.2";"1043.1";"60.6";"14.0";"74.6";"75.8";"11.7";"73.4";"21.0";"31.50"
"Mohamed El Amine Amoura";"KAS Eupen v Royale Union Saint-Gilloise";"87.47";"9501.1";"1117.4";"592.7";"330.3";"922.9";"53.5";"15.4";"68.9";"121.4";"12.3";"96.7";"26.8";"32.00"
"Mohamed El Amine Amoura";"Club Brugge KV v Royale Union Saint-Gilloise";"95.70";"10410.7";"1431.3";"713.8";"575.5";"1289.3";"53.6";"24.5";"78.1";"90.3";"13.2";"74.3";"20.7";"31.60"
"Mohamed El Amine Amoura";"RSC Anderlecht v Royale Union Saint-Gilloise";"69.77";"10776.3";"1595.7";"730.1";"310.9";"1041.0";"61.9";"14.2";"76.1";"85.1";"5.2";"83.8";"27.1";"31.20"
"Mohamed El Amine Amoura";"Royale Union Saint-Gilloise v Racing White Daring Molenbeek";"79.05";"9433.8";"1136.2";"549.9";"464.5";"1014.4";"42.1";"22.8";"64.9";"79.7";"6.8";"68.3";"18.2";"31.90"
"Mohamed El Amine Amoura";"KRC Genk v Royale Union Saint-Gilloise";"95.74";"10143.1";"1415.7";"614.8";"384.5";"999.3";"42.3";"17.9";"60.2";"80.8";"9.4";"66.7";"21.6";"32.70"
"Mohamed El Amine Amoura";"Royale Union Saint-Gilloise v KVC Westerlo";"84.01";"10121.7";"1242.7";"674.9";"434.9";"1109.9";"50.4";"25.7";"76.1";"75.0";"8.6";"65.3";"24.6";"31.80"
"Mohamed El Amine Amoura";"KV Kortrijk v Royale Union Saint-Gilloise";"80.47";"9768.4";"1201.2";"606.2";"473.1";"1079.3";"42.5";"24.6";"67.1";"104.0";"11.2";"74.9";"28.0";"32.10"
"Mohamed El Amine Amoura";"Oud-Heverlee Leuven v Royale Union Saint-Gilloise";"106.22";"8929.7";"1209.1";"480.4";"382.1";"862.5";"45.8";"18.6";"64.4";"81.3";"7.6";"59.3";"19.5";"32.10"
"Mohamed El Amine Amoura";"Royale Union Saint-Gilloise v KAA Gent";"76.03";"11002.9";"1543.6";"815.6";"357.5";"1173.1";"61.6";"23.7";"85.2";"81.7";"16.6";"94.7";"20.1";"29.00"
"Mohamed El Amine Amoura";"Royale Union Saint-Gilloise v KSV Cercle Brugge";"84.65";"9348.7";"1322.6";"632.6";"425.3";"1057.9";"48.9";"22.3";"71.2";"94.6";"13.8";"74.4";"17.0";"32.90"
"Mohamed El Amine Amoura";"RSC Anderlecht v Royale Union Saint-Gilloise";"86.42";"9875.8";"1504.9";"579.0";"321.8";"900.8";"47.9";"19.8";"67.7";"94.8";"15.6";"76.0";"16.7";"31.10"
