"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Michel-Ange Balikwisha";"Royal Antwerp FC v Racing White Daring Molenbeek";"LW";"98.86";"9878.5";"1329.2";"670.9";"311.3";"982.3";"55.5";"18.2";"73.7";"83.8";"26.4";"81.9";"20.0";"29.20"
"Michel-Ange Balikwisha";"Sporting Charleroi v Royal Antwerp FC";"LW";"100.72";"10090.2";"1385.0";"715.7";"259.1";"974.9";"59.9";"16.1";"76.0";"83.1";"8.0";"79.5";"18.8";"29.70"
"Michel-Ange Balikwisha";"Royal Antwerp FC v KAS Eupen";"LF";"88.60";"9548.5";"1324.6";"825.8";"505.9";"1331.7";"70.1";"26.4";"96.5";"107.7";"15.2";"81.3";"25.4";"31.20"
"Michel-Ange Balikwisha";"KVC Westerlo v Royal Antwerp FC";"LW";"96.37";"10466.2";"1662.3";"795.7";"315.7";"1111.3";"61.6";"16.8";"78.4";"83.1";"12.1";"80.3";"24.3";"29.90"
"Michel-Ange Balikwisha";"Club Brugge KV v Royal Antwerp FC";"LW";"97.63";"9672.0";"1529.3";"594.6";"312.5";"907.1";"54.4";"14.7";"69.1";"81.1";"6.5";"69.1";"18.4";"30.40"
"Michel-Ange Balikwisha";"Royale Union Saint-Gilloise v Royal Antwerp FC";"LW";"96.00";"9465.9";"1272.2";"562.5";"306.6";"869.1";"45.9";"12.2";"58.1";"74.1";"10.3";"63.8";"14.1";"31.00"
"Michel-Ange Balikwisha";"RSC Anderlecht v Royal Antwerp FC";"LW";"103.34";"9599.2";"1310.7";"558.3";"371.0";"929.3";"53.1";"17.4";"70.5";"88.0";"11.3";"82.7";"20.9";"31.10"
"Michel-Ange Balikwisha";"Royal Antwerp FC v KSV Cercle Brugge";"LW";"97.67";"10050.5";"1373.0";"782.3";"557.5";"1339.8";"67.3";"28.6";"95.8";"85.7";"12.0";"71.0";"12.9";"31.20"
"Michel-Ange Balikwisha";"Royal Antwerp FC v KRC Genk";"LW";"106.83";"9166.8";"1294.0";"642.0";"422.9";"1064.9";"62.3";"19.4";"81.7";"93.5";"10.1";"74.1";"21.9";"30.50"
"Michel-Ange Balikwisha";"Royal Antwerp FC v Standard de Liège";"LW";"97.24";"9657.1";"1367.0";"690.5";"270.3";"960.7";"62.9";"17.6";"80.5";"87.9";"11.1";"91.6";"18.5";"29.60"
"Michel-Ange Balikwisha";"Sint-Truidense VV v Royal Antwerp FC";"LW";"101.95";"10752.3";"1855.6";"839.5";"327.5";"1167.0";"71.5";"19.4";"90.9";"97.1";"18.5";"81.2";"25.6";"30.60"
"Michel-Ange Balikwisha";"Royal Antwerp FC v Oud-Heverlee Leuven";"RW";"100.34";"9505.0";"1260.2";"637.7";"272.7";"910.4";"60.1";"19.7";"79.8";"89.7";"4.5";"82.5";"18.8";"29.80"
"Michel-Ange Balikwisha";"KSV Cercle Brugge v Royal Antwerp FC";"RW";"103.83";"9435.1";"1314.9";"704.7";"520.9";"1225.7";"57.2";"28.6";"85.8";"84.1";"8.7";"78.9";"20.8";"30.70"
"Michel-Ange Balikwisha";"KRC Genk v Royal Antwerp FC";"LW";"76.45";"9543.9";"1371.5";"696.9";"313.1";"1010.1";"56.5";"17.7";"74.2";"90.6";"10.6";"77.7";"21.2";"30.40"
"Michel-Ange Balikwisha";"Royal Antwerp FC v Royale Union Saint-Gilloise";"LW";"89.75";"9918.6";"1655.6";"819.3";"367.0";"1186.3";"70.2";"22.1";"92.3";"94.3";"13.0";"94.3";"16.0";"30.90"
