"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Mika Biereth";"Kilmarnock v Motherwell";"CF";"76.05";"9147.9";"1088.8";"595.3";"311.2";"906.5";"52.1";"18.9";"71.0";"107.7";"10.7";"91.1";"29.6";"29.60"
"Mika Biereth";"Saint Johnstone FC v Motherwell";"CF";"93.65";"9105.7";"1135.0";"657.3";"280.6";"938.0";"57.7";"13.5";"71.1";"70.2";"7.7";"57.7";"23.1";"29.50"
"Mika Biereth";"Motherwell v Heart of Midlothian";"CF";"73.97";"10115.7";"1329.9";"621.7";"361.4";"983.1";"53.5";"13.4";"66.9";"97.3";"4.9";"85.2";"26.8";"30.90"
"Mika Biereth";"Celtic FC v Motherwell";"RF";"79.93";"10276.9";"1319.7";"458.3";"298.4";"756.7";"41.7";"10.1";"51.8";"91.2";"10.1";"70.9";"16.9";"31.10"
"Mika Biereth";"Motherwell v Dundee FC";"RF";"87.84";"9549.2";"1225.4";"570.7";"225.4";"796.1";"51.2";"9.2";"60.5";"101.4";"9.2";"73.8";"23.6";"29.90"
"Mika Biereth";"Motherwell v Saint Johnstone FC";"CF";"95.97";"9310.4";"1068.1";"550.5";"356.4";"906.8";"41.3";"14.1";"55.3";"79.7";"7.5";"61.0";"21.6";"31.40"
"Mika Biereth";"St. Mirren v Motherwell";"CF";"88.45";"10048.0";"1220.0";"548.4";"212.7";"761.1";"46.8";"13.2";"60.0";"75.3";"8.1";"59.0";"19.3";"30.70"
"Mika Biereth";"Motherwell v Rangers";"CF";"98.85";"9725.6";"1297.4";"452.5";"189.4";"641.9";"46.4";"6.4";"52.8";"81.0";"6.4";"64.6";"25.5";"32.10"
"Mika Biereth";"Motherwell v Livingston FC";"AM";"96.87";"9597.4";"1244.0";"530.5";"254.6";"785.1";"39.0";"10.2";"49.2";"79.0";"5.6";"63.2";"16.7";"31.10"
"Mika Biereth";"Hibernian v Motherwell";"CF";"84.57";"10191.9";"1478.2";"550.2";"236.3";"786.4";"53.2";"13.8";"67.0";"90.5";"8.5";"83.0";"22.3";"30.00"
"Mika Biereth";"Red Bull Salzburg v SK Sturm Graz";"CF";"67.28";"10343.0";"1522.3";"632.7";"194.0";"826.7";"49.5";"10.7";"60.2";"96.3";"8.0";"77.6";"20.1";"29.20"
"Mika Biereth";"SK Sturm Graz v SK Slovan Bratislava";"CF";"72.09";"9646.7";"1252.2";"619.2";"264.7";"883.9";"51.2";"18.7";"69.9";"87.4";"10.0";"66.2";"20.0";"29.70"
"Mika Biereth";"SK Sturm Graz v Rapid Vienne";"CF";"72.45";"9741.6";"1344.1";"561.5";"267.1";"828.6";"52.2";"13.7";"65.8";"79.5";"7.5";"64.6";"23.6";"30.40"
"Mika Biereth";"SK Slovan Bratislava v SK Sturm Graz";"CF";"68.57";"11065.9";"1589.5";"679.9";"381.9";"1061.8";"63.0";"11.8";"74.8";"82.7";"13.1";"81.4";"28.9";"32.10"
"Mika Biereth";"WSG Swarovski Tirol v SK Sturm Graz";"CF";"64.86";"9503.7";"1146.2";"543.9";"176.2";"720.2";"47.2";"12.5";"59.7";"76.3";"13.9";"63.8";"20.8";"32.70"
"Mika Biereth";"SK Sturm Graz v Wolfsberger AC";"CF";"83.91";"10071.5";"1458.7";"772.3";"218.8";"991.1";"61.1";"12.9";"74.0";"77.2";"5.4";"65.4";"22.5";"29.30"
"Mika Biereth";"SK Sturm Graz v LOSC Lille";"CF";"66.58";"11763.0";"1903.3";"654.3";"259.5";"913.8";"56.8";"10.8";"67.6";"97.3";"4.1";"71.6";"23.0";"28.90"
"Mika Biereth";"TSV Hartberg v SK Sturm Graz";"CF";"82.48";"10015.9";"1521.1";"714.7";"225.9";"940.6";"62.2";"12.0";"74.2";"89.5";"6.5";"65.5";"24.0";"29.30"
"Mika Biereth";"SK Austria Klagenfurt v SK Sturm Graz";"RF";"75.83";"10489.5";"1609.4";"809.4";"297.9";"1107.3";"65.3";"24.9";"90.2";"81.9";"10.7";"65.3";"23.7";"28.90"
"Mika Biereth";"SK Sturm Graz v Red Bull Salzburg";"RF";"106.30";"9114.3";"1157.4";"506.3";"327.7";"834.0";"40.6";"13.5";"54.2";"65.2";"7.6";"56.7";"16.9";"33.00"
