"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Maxim De Cuyper";"KV Kortrijk v Club Brugge KV";"LB";"97.35";"10464.4";"1624.3";"584.3";"261.6";"845.9";"49.9";"11.1";"61.0";"96.1";"9.2";"76.7";"19.4";"29.20"
"Maxim De Cuyper";"Standard de Liège v Club Brugge KV";"LB";"102.82";"10010.1";"1466.2";"535.7";"156.7";"692.4";"46.4";"10.5";"56.9";"94.5";"6.1";"79.7";"14.0";"29.20"
"Maxim De Cuyper";"Club Brugge KV v Sint-Truidense VV";"LB";"98.42";"10759.4";"1671.6";"631.9";"279.8";"911.7";"54.9";"15.5";"70.4";"91.4";"7.3";"91.4";"21.9";"29.30"
"Maxim De Cuyper";"Club Brugge KV v KRC Genk";"LB";"102.25";"10506.0";"1456.7";"580.0";"269.3";"849.4";"45.8";"12.3";"58.1";"100.3";"3.5";"88.9";"15.8";"30.00"
"Maxim De Cuyper";"RSC Anderlecht v Club Brugge KV";"LB";"100.75";"11168.9";"1701.7";"609.2";"127.7";"737.0";"44.7";"8.9";"53.6";"105.4";"5.4";"85.8";"21.4";"27.20"
"Maxim De Cuyper";"Club Brugge KV v Sporting Charleroi";"LB";"100.32";"10813.1";"1733.3";"728.5";"240.4";"968.9";"60.1";"11.7";"71.8";"103.2";"4.5";"79.8";"15.3";"29.00"
"Maxim De Cuyper";"KAS Eupen v Club Brugge KV";"LB";"95.43";"10049.7";"1482.6";"742.2";"239.5";"981.8";"62.2";"11.3";"73.6";"106.6";"3.8";"87.7";"21.7";"27.70"
"Maxim De Cuyper";"Club Brugge KV v KV Mechelen";"LB";"79.73";"10784.6";"1819.6";"865.8";"258.5";"1124.3";"66.6";"13.5";"80.1";"102.7";"9.0";"79.0";"19.2";"27.40"
"Maxim De Cuyper";"Oud-Heverlee Leuven v Club Brugge KV";"LB";"98.55";"11358.9";"1873.1";"729.7";"321.5";"1051.1";"56.6";"19.2";"75.8";"114.2";"5.5";"95.9";"21.9";"29.10"
"Maxim De Cuyper";"Club Brugge KV v Standard de Liège";"LB";"85.93";"11396.4";"1931.3";"782.4";"162.3";"944.7";"67.0";"9.4";"76.5";"96.4";"10.5";"85.9";"20.9";"27.00"
"Maxim De Cuyper";"KV Mechelen v Club Brugge KV";"LB";"100.19";"10410.3";"1754.4";"733.9";"78.2";"812.1";"58.4";"9.0";"67.4";"106.9";"5.4";"88.9";"18.9";"25.90"
"Maxim De Cuyper";"Club Brugge KV v KAA Gent";"RB";"98.35";"10908.0";"1819.2";"808.9";"301.1";"1110.0";"66.8";"14.6";"81.4";"95.2";"8.2";"94.3";"20.1";"29.00"
"Maxim De Cuyper";"Racing White Daring Molenbeek v Club Brugge KV";"RB";"100.78";"9340.2";"1211.8";"518.0";"209.0";"726.9";"45.5";"8.9";"54.5";"89.3";"5.4";"81.3";"17.9";"29.30"
"Maxim De Cuyper";"Club Brugge KV v Royale Union Saint-Gilloise";"RB";"102.38";"9721.7";"1270.3";"653.2";"210.1";"863.3";"48.3";"12.3";"60.7";"99.3";"7.0";"80.0";"16.7";"29.50"
"Maxim De Cuyper";"Club Brugge KV v KVC Westerlo";"RB";"86.17";"10731.7";"1726.5";"594.3";"130.6";"724.8";"52.2";"9.4";"61.6";"108.6";"5.2";"81.5";"15.7";"27.40"
"Maxim De Cuyper";"Sporting Charleroi v Club Brugge KV";"RB";"101.10";"10319.3";"1435.0";"608.9";"161.1";"770.0";"51.6";"8.0";"59.6";"95.3";"3.6";"81.0";"20.5";"28.00"
"Maxim De Cuyper";"Club Brugge KV v KV Kortrijk";"RB";"100.81";"10856.1";"1572.2";"577.6";"193.7";"771.4";"48.2";"11.6";"59.8";"114.3";"4.5";"102.7";"17.9";"28.50"
"Maxim De Cuyper";"Royal Antwerp FC v Club Brugge KV";"RB";"99.23";"9753.7";"1453.0";"538.7";"177.8";"716.5";"46.3";"12.7";"59.0";"120.6";"3.6";"93.4";"19.0";"29.40"
"Maxim De Cuyper";"Club Brugge KV v KAS Eupen";"RB";"97.15";"10104.3";"1553.6";"612.4";"191.8";"804.1";"51.0";"10.2";"61.1";"100.1";"6.5";"80.6";"22.2";"28.80"
"Maxim De Cuyper";"KSV Cercle Brugge v Club Brugge KV";"RB";"107.44";"9853.6";"1450.0";"542.0";"98.0";"640.0";"50.3";"7.5";"57.8";"94.7";"9.2";"87.1";"18.4";"26.20"
"Maxim De Cuyper";"Club Brugge KV v RSC Anderlecht";"RB";"99.33";"10343.7";"1552.1";"661.4";"135.0";"796.4";"56.2";"9.1";"65.2";"93.3";"7.2";"70.7";"16.3";"26.60"
"Maxim De Cuyper";"KRC Genk v Club Brugge KV";"LB";"99.00";"9714.5";"1373.6";"515.5";"120.9";"636.4";"42.7";"11.8";"54.5";"119.1";"4.5";"94.5";"17.3";"27.70"
