"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Malick Martin Fofana";"KAA Gent v Breidablik UBK";"LF";"93.75";"10816.3";"1606.1";"643.2";"217.9";"861.1";"56.6";"15.4";"72.0";"101.8";"2.9";"100.8";"11.5";"27.60"
"Malick Martin Fofana";"KAA Gent v Maccabi Tel Aviv FC";"LWB";"69.71";"10603.5";"1593.2";"686.8";"245.3";"932.1";"58.1";"11.6";"69.7";"133.0";"3.9";"91.7";"25.8";"29.60"
"Malick Martin Fofana";"Royal Antwerp FC v KAA Gent";"LW";"97.79";"11388.3";"1502.0";"543.0";"188.7";"731.7";"47.9";"13.8";"61.7";"86.5";"2.8";"89.3";"21.2";"28.20"
"Malick Martin Fofana";"KAA Gent v KAS Eupen";"LWB";"84.72";"11113.0";"1928.1";"637.4";"120.0";"757.4";"48.9";"8.5";"57.4";"99.9";"4.2";"80.7";"15.9";"26.80"
"Malick Martin Fofana";"Racing White Daring Molenbeek v KAA Gent";"CF";"104.07";"9528.4";"1206.4";"436.7";"96.0";"532.7";"39.8";"6.1";"45.8";"83.9";"1.7";"77.8";"13.0";"27.70"
"Malick Martin Fofana";"KAA Gent v Pogoń Szczecin";"LWB";"80.15";"10868.5";"1679.9";"715.3";"204.4";"919.7";"56.1";"14.6";"70.7";"93.2";"4.5";"76.4";"20.2";"28.90"
"Malick Martin Fofana";"KV Mechelen v KAA Gent";"LWB";"78.86";"11105.6";"1707.3";"655.1";"159.8";"814.9";"54.8";"10.3";"65.1";"121.0";"9.1";"94.7";"22.8";"28.30"
"Malick Martin Fofana";"MSK Zilina v KAA Gent";"LW";"76.85";"10398.3";"1506.1";"794.0";"380.6";"1174.6";"51.5";"26.9";"78.5";"96.0";"15.2";"76.1";"22.3";"29.30"
"Malick Martin Fofana";"KAA Gent v MSK Zilina";"LW";"74.20";"11058.4";"1413.1";"705.9";"293.5";"999.5";"64.3";"13.3";"77.6";"104.3";"7.3";"94.6";"24.3";"30.50"
"Malick Martin Fofana";"KAA Gent v Royale Union Saint-Gilloise";"LWB";"86.66";"10759.3";"1815.4";"664.7";"329.2";"993.9";"57.1";"16.6";"73.7";"109.0";"5.2";"93.5";"19.7";"29.90"
"Malick Martin Fofana";"KAA Gent v FC Zorya Lugansk";"LWB";"71.89";"9965.2";"1446.0";"638.5";"155.2";"793.7";"52.6";"11.3";"63.8";"115.2";"2.5";"88.9";"12.5";"27.90"
"Malick Martin Fofana";"KRC Genk v KAA Gent";"LWB";"105.13";"10193.4";"1593.2";"707.1";"380.1";"1087.2";"54.8";"18.0";"72.8";"124.1";"6.8";"100.2";"23.1";"29.70"
"Malick Martin Fofana";"KAA Gent v KRC Genk";"LF";"103.98";"9626.7";"1267.2";"497.7";"121.2";"618.9";"47.6";"6.1";"53.7";"90.0";"1.7";"66.6";"20.8";"28.50"
"Malick Martin Fofana";"KAA Gent v Racing White Daring Molenbeek";"LWB";"99.08";"10025.5";"1334.4";"512.3";"217.1";"729.4";"39.1";"13.6";"52.7";"105.4";"10.0";"79.9";"19.1";"29.80"
"Malick Martin Fofana";"Club Brugge KV v KAA Gent";"LWB";"98.35";"11079.1";"1851.2";"614.9";"223.3";"838.2";"51.2";"10.1";"61.3";"105.2";"7.3";"84.2";"16.5";"29.10"
"Malick Martin Fofana";"KAA Gent v Oud-Heverlee Leuven";"LWB";"93.72";"11143.4";"1715.1";"647.2";"323.6";"970.9";"52.8";"14.4";"67.2";"110.4";"4.8";"79.7";"21.1";"29.80"
"Malick Martin Fofana";"KV Kortrijk v KAA Gent";"LWB";"78.53";"10716.8";"1735.1";"779.3";"167.3";"946.6";"61.9";"12.6";"74.5";"120.3";"11.5";"107.7";"25.2";"26.60"
