"Player";"Match";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Matías Alejandro Galarza";"KRC Genk v KVC Westerlo";"102.37";"9977.6";"1116.5";"410.6";"235.6";"646.2";"32.5";"6.2";"38.7";"68.6";"1.8";"64.2";"12.3";"30.10"
"Matías Alejandro Galarza";"Royale Union Saint-Gilloise v KRC Genk";"102.55";"9877.6";"1372.6";"552.9";"246.6";"799.5";"40.4";"10.5";"50.9";"67.6";"3.5";"64.1";"9.7";"29.20"
"Matías Alejandro Galarza";"KRC Genk v RSC Anderlecht";"101.52";"10147.2";"1469.9";"595.7";"123.2";"719.0";"39.0";"7.1";"46.1";"69.1";"1.8";"74.5";"11.5";"28.60"
"Matías Alejandro Galarza";"KRC Genk v Sporting Charleroi";"101.29";"10182.6";"1354.1";"398.1";"127.9";"526.0";"35.5";"5.3";"40.9";"74.6";"1.8";"69.3";"7.1";"28.50"
"Matías Alejandro Galarza";"Racing White Daring Molenbeek v KRC Genk";"65.72";"10943.2";"1799.5";"498.5";"91.8";"590.2";"46.6";"4.1";"50.7";"68.5";"2.7";"72.6";"11.0";"28.10"
"Matías Alejandro Galarza";"Royal Antwerp FC v KRC Genk";"68.97";"9648.5";"1157.5";"493.3";"113.5";"606.8";"40.5";"6.5";"47.0";"92.6";"1.3";"66.6";"13.0";"27.30"
"Matías Alejandro Galarza";"KV Kortrijk v KRC Genk";"99.72";"10006.3";"1405.2";"465.7";"130.0";"595.7";"42.4";"7.2";"49.6";"79.4";"4.5";"74.9";"9.9";"27.00"
"Matías Alejandro Galarza";"KRC Genk v Oud-Heverlee Leuven";"98.90";"10146.6";"1478.8";"476.8";"152.9";"629.7";"40.0";"6.4";"46.4";"97.4";"3.6";"80.1";"10.9";"29.30"
"Matías Alejandro Galarza";"Standard de Liège v KRC Genk";"101.09";"10019.4";"1510.8";"560.0";"166.5";"726.5";"41.8";"7.1";"49.0";"97.0";"2.7";"81.0";"16.9";"27.80"
"Matías Alejandro Galarza";"KAA Gent v KRC Genk";"81.33";"9585.4";"1294.7";"428.3";"223.5";"651.8";"29.9";"11.1";"40.9";"78.6";"3.3";"71.9";"13.3";"29.80"
"Matías Alejandro Galarza";"KRC Genk v KSV Cercle Brugge";"101.72";"9495.5";"1351.1";"514.1";"156.6";"670.7";"44.2";"8.8";"53.1";"83.2";"4.4";"78.7";"15.0";"26.80"
"Matías Alejandro Galarza";"Sint-Truidense VV v KRC Genk";"110.98";"9937.5";"1425.7";"419.3";"81.9";"501.2";"33.2";"4.1";"37.3";"94.9";"1.6";"71.4";"15.4";"30.50"
"Matías Alejandro Galarza";"Oud-Heverlee Leuven v KRC Genk";"101.73";"10064.3";"1488.1";"559.1";"125.6";"684.8";"46.0";"7.1";"53.1";"78.7";"3.5";"68.1";"10.6";"27.70"
"Matías Alejandro Galarza";"KV Mechelen v KRC Genk";"100.15";"9754.9";"1331.8";"518.5";"130.3";"648.8";"39.5";"4.5";"44.0";"88.1";"0.9";"69.2";"13.5";"29.70"
"Matías Alejandro Galarza";"KRC Genk v Royale Union Saint-Gilloise";"99.37";"9298.0";"1312.4";"515.3";"128.6";"644.0";"41.7";"5.4";"47.1";"89.7";"4.5";"77.0";"10.9";"27.80"
"Matías Alejandro Galarza";"KRC Genk v KSV Cercle Brugge";"97.90";"9531.4";"1277.8";"572.7";"44.1";"616.9";"41.4";"2.8";"44.1";"67.1";"1.8";"65.3";"18.4";"25.70"
