"Player";"Match";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Mandela Keita";"KV Mechelen v Royal Antwerp FC";"96.05";"11561.8";"1893.7";"688.7";"105.9";"794.6";"58.1";"5.6";"63.7";"101.2";"4.7";"81.5";"11.2";"27.40"
"Mandela Keita";"Royal Antwerp FC v Racing White Daring Molenbeek";"98.86";"10910.0";"1351.0";"666.4";"175.7";"842.1";"46.4";"7.3";"53.7";"69.2";"4.6";"61.9";"14.6";"30.00"
"Mandela Keita";"Royal Antwerp FC v KAS Eupen";"98.22";"11244.0";"1573.3";"561.7";"154.9";"716.6";"44.9";"12.8";"57.7";"87.0";"5.5";"82.5";"9.2";"27.50"
"Mandela Keita";"KVC Westerlo v Royal Antwerp FC";"96.37";"10968.7";"1438.2";"424.9";"80.3";"505.2";"39.2";"4.7";"43.9";"65.4";"1.9";"60.7";"12.1";"27.60"
"Mandela Keita";"Royale Union Saint-Gilloise v Royal Antwerp FC";"101.12";"10076.0";"1300.3";"494.0";"133.5";"627.5";"44.5";"7.1";"51.6";"69.4";"4.5";"58.7";"8.0";"27.10"
"Mandela Keita";"KSV Cercle Brugge v Royal Antwerp FC";"103.83";"10281.1";"1468.4";"330.3";"63.3";"393.5";"37.3";"5.2";"42.5";"84.1";"4.3";"67.6";"9.5";"26.30"
"Mandela Keita";"Royal Antwerp FC v RSC Anderlecht";"98.73";"11222.4";"1673.7";"608.0";"90.2";"698.3";"51.0";"6.4";"57.4";"87.5";"4.6";"75.7";"9.1";"26.20"
"Mandela Keita";"Royal Antwerp FC v KVC Westerlo";"82.90";"11569.7";"1811.9";"546.1";"107.5";"653.6";"47.8";"5.4";"53.2";"99.9";"5.4";"87.9";"11.9";"29.10"
"Mandela Keita";"KRC Genk v Royal Antwerp FC";"76.45";"11193.2";"1908.3";"533.3";"102.4";"635.7";"47.1";"4.7";"51.8";"109.5";"8.2";"84.8";"17.7";"29.00"
"Mandela Keita";"Royal Antwerp FC v Sporting Charleroi";"95.56";"11700.2";"1812.1";"599.0";"181.8";"780.8";"50.9";"9.4";"60.3";"97.9";"6.6";"82.9";"13.2";"29.30"
"Mandela Keita";"KAS Eupen v Royal Antwerp FC";"104.63";"9855.0";"1351.3";"418.9";"104.9";"523.8";"32.7";"6.0";"38.7";"92.9";"5.2";"77.4";"10.3";"27.20"
"Mandela Keita";"Standard de Liège v Royal Antwerp FC";"90.72";"11666.7";"2056.5";"660.7";"79.4";"740.1";"56.5";"4.0";"60.5";"116.1";"5.0";"100.2";"17.9";"26.20"
"Mandela Keita";"Racing White Daring Molenbeek v Royal Antwerp FC";"99.52";"9797.6";"1321.2";"310.2";"74.2";"384.3";"27.1";"3.6";"30.7";"86.8";"4.5";"81.4";"11.8";"27.40"
"Mandela Keita";"Royal Antwerp FC v KV Mechelen";"87.60";"11110.3";"1665.4";"616.4";"89.4";"705.8";"50.3";"5.1";"55.5";"103.8";"5.1";"94.5";"9.2";"26.30"
"Mandela Keita";"KAA Gent v Royal Antwerp FC";"81.62";"11027.8";"1740.0";"661.6";"144.4";"806.1";"54.0";"9.9";"64.0";"94.8";"7.7";"73.9";"19.8";"27.30"
"Mandela Keita";"Royal Antwerp FC v Sint-Truidense VV";"84.50";"11112.1";"1663.7";"572.0";"120.4";"692.3";"49.0";"5.3";"54.3";"105.4";"7.5";"96.9";"16.0";"27.80"
