"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Mark McKenzie";"KRC Genk v KV Mechelen";"LCB";"95.20";"10107.0";"1245.1";"470.8";"104.9";"575.7";"41.6";"6.6";"48.2";"90.8";"3.8";"77.5";"14.2";"26.90"
"Mark McKenzie";"KRC Genk v RSC Anderlecht";"LCB";"86.47";"9232.1";"1184.5";"245.6";"82.2";"327.9";"18.7";"2.1";"20.8";"79.1";"2.1";"60.4";"10.4";"28.80"
"Mark McKenzie";"KRC Genk v KAS Eupen";"LCB";"98.18";"10401.6";"1345.7";"401.5";"81.6";"483.1";"27.5";"5.5";"33.0";"78.8";"3.7";"75.2";"10.1";"27.60"
"Mark McKenzie";"Racing White Daring Molenbeek v KRC Genk";"LCB";"96.40";"9803.8";"1380.8";"401.5";"155.0";"556.4";"33.6";"5.6";"39.2";"75.6";"6.5";"66.3";"12.1";"30.50"
"Mark McKenzie";"Royal Antwerp FC v KRC Genk";"LCB";"106.83";"9111.2";"1138.2";"354.7";"150.0";"504.6";"33.7";"6.7";"40.4";"82.6";"3.4";"54.8";"16.0";"28.70"
"Mark McKenzie";"KRC Genk v Oud-Heverlee Leuven";"LCB";"98.90";"9392.2";"1198.5";"336.7";"62.8";"399.5";"26.4";"3.6";"30.0";"81.0";"6.4";"71.0";"10.9";"27.70"
"Mark McKenzie";"Standard de Liège v KRC Genk";"LCB";"101.09";"8924.3";"1069.2";"406.0";"144.2";"550.2";"30.3";"7.1";"37.4";"85.5";"3.6";"65.9";"14.2";"28.80"
"Mark McKenzie";"KRC Genk v KAA Gent";"LCB";"105.13";"8993.2";"1212.2";"320.2";"149.8";"470.0";"24.8";"7.7";"32.5";"107.0";"5.1";"78.8";"15.4";"30.00"
"Mark McKenzie";"KAA Gent v KRC Genk";"LCB";"103.98";"9056.3";"1089.7";"344.5";"214.7";"559.1";"30.3";"8.7";"38.9";"77.0";"8.7";"58.0";"15.6";"30.30"
"Mark McKenzie";"KRC Genk v KV Kortrijk";"LCB";"93.41";"10017.4";"1144.6";"334.3";"107.9";"442.2";"29.9";"5.8";"35.6";"88.6";"6.7";"68.4";"12.5";"28.20"
"Mark McKenzie";"KRC Genk v Royal Antwerp FC";"LCB";"97.90";"9171.0";"1117.9";"299.7";"96.5";"396.2";"26.7";"5.5";"32.2";"79.1";"5.5";"59.8";"16.5";"28.80"
"Mark McKenzie";"KRC Genk v KSV Cercle Brugge";"LCB";"101.72";"9054.9";"1254.6";"385.8";"144.2";"530.0";"39.8";"6.2";"46.0";"90.2";"6.2";"73.4";"15.0";"29.00"
"Mark McKenzie";"Sint-Truidense VV v KRC Genk";"LCB";"110.98";"8888.1";"1091.5";"263.6";"141.1";"404.7";"27.6";"6.5";"34.1";"89.2";"4.1";"67.3";"9.7";"30.00"
"Mark McKenzie";"Oud-Heverlee Leuven v KRC Genk";"LCB";"101.73";"9314.1";"1504.9";"433.5";"121.2";"554.7";"35.4";"7.1";"42.5";"69.9";"7.1";"61.0";"17.7";"28.40"
"Mark McKenzie";"KRC Genk v Royale Union Saint-Gilloise";"LCB";"95.74";"9416.4";"1202.3";"398.6";"127.8";"526.4";"34.8";"6.6";"41.4";"71.4";"5.6";"61.1";"13.2";"27.20"
"Mark McKenzie";"KV Mechelen v KRC Genk";"LCB";"100.15";"9335.2";"1145.8";"407.1";"160.9";"567.9";"31.5";"6.3";"37.7";"81.8";"1.8";"62.0";"15.3";"30.40"
"Mark McKenzie";"KRC Genk v Racing White Daring Molenbeek";"LCB";"100.53";"9511.2";"1419.9";"413.6";"175.5";"589.1";"35.8";"9.0";"44.8";"85.9";"4.5";"55.5";"10.7";"29.60"
"Mark McKenzie";"Sporting Charleroi v KRC Genk";"LCB";"99.43";"9337.6";"1142.3";"444.4";"141.2";"585.6";"33.5";"8.1";"41.6";"86.9";"2.7";"64.3";"13.6";"28.60"
"Mark McKenzie";"KRC Genk v Club Brugge KV";"LCB";"99.00";"8991.8";"1106.4";"360.9";"111.8";"472.7";"28.2";"8.2";"36.4";"87.3";"4.5";"71.8";"17.3";"30.40"
"Mark McKenzie";"KRC Genk v Standard de Liège";"LCB";"99.30";"8856.8";"1047.7";"329.9";"100.6";"430.5";"30.8";"8.2";"39.0";"79.8";"4.5";"57.1";"12.7";"30.60"
"Mark McKenzie";"KVC Westerlo v KRC Genk";"LCB";"102.53";"9047.4";"1138.5";"433.6";"145.7";"579.3";"35.1";"7.9";"43.0";"66.7";"7.0";"45.6";"12.3";"28.80"
"Mark McKenzie";"KRC Genk v Royale Union Saint-Gilloise";"LCB";"99.37";"8715.6";"1061.5";"365.0";"134.0";"499.0";"29.0";"4.5";"33.5";"86.9";"4.5";"64.3";"10.0";"31.60"
"Mark McKenzie";"KRC Genk v KSV Cercle Brugge";"LCB";"97.90";"9260.2";"1216.2";"251.0";"42.3";"293.3";"25.7";"2.8";"28.5";"67.1";"5.5";"60.7";"11.0";"25.60"
