"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Mickaël Nadé";"AS Saint-Étienne v Angers SCO";"LCB";"97.35";"8433.3";"745.1";"288.4";"151.6";"440.1";"22.2";"9.2";"31.4";"69.3";"6.5";"54.5";"12.9";"30.60"
"Mickaël Nadé";"AS Saint-Étienne v Paris FC";"LCB";"72.07";"9133.6";"1098.9";"414.6";"231.0";"645.6";"33.7";"12.5";"46.2";"81.2";"11.2";"64.9";"17.5";"29.60"
"Mickaël Nadé";"AJ Auxerre v AS Saint-Étienne";"LCB";"101.27";"8798.3";"1041.6";"438.1";"139.5";"577.7";"33.8";"10.7";"44.4";"68.4";"5.3";"63.1";"16.0";"27.20"
"Mickaël Nadé";"AS Saint-Étienne v Pau FC";"LCB";"100.58";"8855.9";"937.8";"313.2";"83.2";"396.4";"25.9";"5.4";"31.3";"45.6";"7.2";"47.4";"14.3";"28.80"
"Mickaël Nadé";"AS Saint-Étienne v Stade Lavallois Mayenne FC";"LCB";"94.25";"9395.3";"1238.5";"442.1";"137.5";"579.6";"35.3";"5.7";"41.1";"58.2";"23.9";"69.7";"19.1";"27.20"
"Mickaël Nadé";"Pau FC v AS Saint-Étienne";"LCB";"96.48";"8903.0";"1184.7";"413.2";"85.8";"499.1";"28.9";"3.7";"32.6";"74.6";"7.5";"61.6";"14.9";"28.10"
"Mickaël Nadé";"AS Saint-Étienne v Amiens Sporting Club";"LCB";"98.76";"8791.3";"1041.6";"331.7";"111.2";"442.9";"30.1";"6.4";"36.5";"72.0";"2.7";"61.1";"15.5";"27.00"
"Mickaël Nadé";"AS Saint-Étienne v ES Troyes AC";"LCB";"69.17";"8821.7";"1221.8";"296.7";"101.5";"398.1";"37.7";"5.2";"42.9";"78.1";"6.5";"55.9";"13.0";"28.10"
"Mickaël Nadé";"Angers SCO v AS Saint-Étienne";"LCB";"96.16";"8673.4";"951.9";"350.0";"152.6";"502.6";"28.1";"11.2";"39.3";"83.3";"9.4";"63.6";"13.1";"29.40"
"Mickaël Nadé";"AS Saint-Étienne v FC Annecy";"LCB";"87.10";"9101.3";"1155.2";"404.0";"78.5";"482.5";"35.1";"7.2";"42.4";"75.4";"9.3";"59.9";"14.5";"27.00"
"Mickaël Nadé";"Paris FC v AS Saint-Étienne";"LCB";"95.10";"8595.0";"879.2";"343.5";"122.1";"465.6";"26.5";"4.7";"31.2";"71.0";"12.3";"62.5";"12.3";"29.50"
"Mickaël Nadé";"AS Saint-Étienne v AJ Auxerre";"LCB";"101.13";"8520.3";"993.2";"312.4";"87.2";"399.6";"29.4";"4.4";"33.8";"85.4";"6.2";"61.4";"10.7";"28.50"
"Mickaël Nadé";"SC Bastia v AS Saint-Étienne";"LCB";"82.58";"8248.0";"882.8";"249.6";"71.9";"321.5";"28.3";"4.4";"32.7";"69.8";"5.4";"57.8";"9.8";"26.10"
"Mickaël Nadé";"Valenciennes FC v AS Saint-Étienne";"LCB";"80.33";"8396.1";"881.7";"253.2";"51.5";"304.7";"22.4";"5.6";"28.0";"79.5";"5.6";"63.9";"10.1";"26.60"
"Mickaël Nadé";"AS Saint-Étienne v US Concarneau";"LCB";"95.54";"7997.7";"932.6";"280.7";"116.8";"397.5";"21.7";"7.5";"29.2";"72.5";"2.8";"53.7";"11.3";"31.20"
"Mickaël Nadé";"AC Ajaccio v AS Saint-Étienne";"LCB";"102.87";"7629.0";"459.3";"192.5";"106.7";"299.2";"15.7";"2.6";"18.4";"61.2";"0.9";"50.7";"9.6";"33.20"
"Mickaël Nadé";"AS Saint-Étienne v Girondins de Bordeaux";"LCB";"78.34";"8898.9";"1274.1";"329.7";"172.3";"502.0";"39.1";"9.2";"48.3";"89.6";"8.0";"66.6";"17.2";"27.90"
