"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Mathias Knutsen Rasmussen";"Royale Union Saint-Gilloise v KAS Eupen";"LM";"77.40";"11061.6";"1754.7";"610.5";"112.8";"723.3";"43.0";"5.8";"48.8";"84.9";"4.7";"89.5";"9.3";"27.60"
"Mathias Knutsen Rasmussen";"KSV Cercle Brugge v Royale Union Saint-Gilloise";"LM";"92.51";"9999.1";"1593.6";"505.9";"93.4";"599.3";"48.6";"7.8";"56.4";"85.6";"3.9";"82.7";"10.7";"27.40"
"Mathias Knutsen Rasmussen";"Sint-Truidense VV v Royale Union Saint-Gilloise";"LM";"98.43";"11605.9";"2008.8";"566.9";"64.0";"630.9";"47.5";"2.7";"50.3";"104.2";"1.8";"103.3";"14.6";"26.20"
"Mathias Knutsen Rasmussen";"Royale Union Saint-Gilloise v KV Kortrijk";"LM";"99.10";"11482.0";"2081.5";"734.7";"205.2";"940.0";"52.7";"10.9";"63.6";"85.4";"3.6";"87.2";"19.1";"27.50"
"Mathias Knutsen Rasmussen";"Royale Union Saint-Gilloise v Sint-Truidense VV";"RM";"104.51";"11022.9";"2009.1";"629.5";"132.6";"762.1";"49.9";"7.8";"57.7";"92.1";"0.9";"87.8";"11.2";"26.40"
"Mathias Knutsen Rasmussen";"Royale Union Saint-Gilloise v Racing White Daring Molenbeek";"RDM";"100.25";"10328.7";"1682.4";"539.6";"130.2";"669.7";"32.3";"6.3";"38.6";"84.4";"4.5";"73.6";"11.7";"27.30"
"Mathias Knutsen Rasmussen";"Royale Union Saint-Gilloise v KVC Westerlo";"RM";"69.93";"11386.1";"1975.5";"790.2";"148.0";"938.2";"51.5";"6.4";"57.9";"87.5";"9.0";"79.8";"14.2";"27.00"
"Mathias Knutsen Rasmussen";"KV Kortrijk v Royale Union Saint-Gilloise";"RM";"96.25";"10669.1";"1767.3";"616.2";"199.2";"815.4";"53.3";"8.4";"61.7";"105.7";"10.3";"91.6";"15.0";"30.40"
"Mathias Knutsen Rasmussen";"Oud-Heverlee Leuven v Royale Union Saint-Gilloise";"RM";"73.52";"10263.3";"1749.3";"662.3";"143.2";"805.5";"57.5";"9.8";"67.3";"95.5";"6.1";"86.9";"12.2";"27.70"
"Mathias Knutsen Rasmussen";"Royale Union Saint-Gilloise v KAA Gent";"RM";"70.01";"11991.4";"2208.5";"740.5";"282.8";"1023.3";"68.1";"11.6";"79.7";"92.6";"2.6";"93.8";"12.9";"29.10"
"Mathias Knutsen Rasmussen";"Royal Antwerp FC v Royale Union Saint-Gilloise";"RM";"76.40";"11919.1";"2184.0";"776.3";"113.1";"889.4";"57.7";"7.1";"64.8";"103.7";"5.9";"97.8";"15.3";"25.70"
