"Player";"Match";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Mats Rits";"Standard de Liège v RSC Anderlecht";"82.12";"10716.3";"1711.9";"532.6";"149.1";"681.7";"34.0";"6.6";"40.6";"93.2";"4.4";"85.5";"15.3";"29.90"
"Mats Rits";"RSC Anderlecht v KV Mechelen";"99.40";"11636.6";"2150.4";"533.3";"71.5";"604.8";"51.6";"7.2";"58.9";"84.2";"3.6";"88.7";"19.9";"25.50"
"Mats Rits";"KAS Eupen v RSC Anderlecht";"99.37";"11223.5";"1624.8";"829.6";"211.9";"1041.6";"69.7";"15.4";"85.1";"128.6";"5.4";"96.0";"13.6";"26.80"
"Mats Rits";"RSC Anderlecht v Club Brugge KV";"100.75";"11422.6";"1854.5";"862.9";"203.7";"1066.6";"55.4";"12.5";"67.9";"102.7";"1.8";"81.3";"20.5";"28.80"
"Mats Rits";"RSC Anderlecht v Oud-Heverlee Leuven";"100.40";"10334.8";"1525.7";"484.1";"121.0";"605.1";"40.3";"8.1";"48.4";"91.4";"3.6";"79.8";"12.5";"27.80"
"Mats Rits";"KRC Genk v RSC Anderlecht";"101.52";"10700.4";"1690.6";"650.7";"138.3";"789.0";"47.9";"9.8";"57.6";"86.9";"4.4";"85.1";"17.7";"26.70"
"Mats Rits";"RSC Anderlecht v Sporting Charleroi";"68.05";"11633.2";"2245.7";"773.7";"181.2";"954.9";"68.8";"10.6";"79.4";"123.0";"9.3";"95.2";"18.5";"28.00"
"Mats Rits";"RSC Anderlecht v KVC Westerlo";"87.65";"11344.2";"1919.1";"814.3";"100.6";"914.9";"61.6";"8.2";"69.8";"87.3";"3.1";"72.9";"17.5";"26.60"
"Mats Rits";"KSV Cercle Brugge v RSC Anderlecht";"100.18";"10116.7";"1681.8";"372.8";"78.2";"451.0";"37.7";"6.3";"44.0";"86.2";"6.3";"82.7";"19.8";"26.20"
"Mats Rits";"KAA Gent v RSC Anderlecht";"100.55";"10337.2";"1416.0";"606.0";"195.1";"801.1";"53.7";"11.6";"65.3";"106.5";"4.5";"91.3";"17.9";"27.80"
"Mats Rits";"RSC Anderlecht v Racing White Daring Molenbeek";"92.11";"10623.9";"1584.8";"409.4";"107.5";"516.9";"34.2";"7.8";"42.0";"88.9";"5.9";"95.8";"12.7";"27.80"
"Mats Rits";"KVC Westerlo v RSC Anderlecht";"96.49";"11491.3";"2101.5";"753.7";"157.6";"911.3";"58.8";"6.5";"65.3";"74.6";"9.3";"80.2";"19.6";"27.80"
"Mats Rits";"RSC Anderlecht v Standard de Liège";"91.33";"10035.7";"1608.2";"485.8";"103.5";"589.3";"48.3";"5.9";"54.2";"102.5";"3.9";"86.7";"17.7";"27.10"
"Mats Rits";"Royal Antwerp FC v RSC Anderlecht";"98.73";"10865.1";"1663.6";"589.8";"132.2";"722.0";"45.6";"8.2";"53.8";"94.8";"2.7";"93.0";"13.7";"27.10"
"Mats Rits";"RSC Anderlecht v KRC Genk";"103.45";"10325.9";"1771.3";"423.7";"99.2";"522.9";"39.1";"4.3";"43.5";"94.0";"2.6";"83.5";"14.8";"26.50"
"Mats Rits";"Oud-Heverlee Leuven v RSC Anderlecht";"84.09";"10670.7";"1562.6";"446.3";"97.4";"543.7";"35.3";"4.3";"39.6";"93.1";"5.4";"91.0";"12.8";"27.30"
"Mats Rits";"RSC Anderlecht v Royale Union Saint-Gilloise";"100.02";"10554.9";"1508.1";"484.1";"172.8";"656.9";"40.5";"8.1";"48.6";"85.5";"3.6";"80.1";"18.9";"28.20"
