"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Matisse Samoise";"KSV Cercle Brugge v KAA Gent";"RWB";"100.62";"10901.6";"1868.5";"702.1";"186.0";"888.2";"59.9";"14.3";"74.2";"91.2";"7.2";"76.0";"14.3";"27.20"
"Matisse Samoise";"KAA Gent v Maccabi Tel Aviv FC";"RWB";"99.08";"11780.5";"2165.5";"809.3";"277.0";"1086.4";"75.4";"14.5";"89.9";"110.8";"3.6";"99.9";"17.3";"28.30"
"Matisse Samoise";"Royal Antwerp FC v KAA Gent";"RWB";"81.39";"11804.3";"1906.4";"653.5";"144.9";"798.4";"55.3";"10.0";"65.2";"112.8";"3.3";"106.2";"18.8";"27.30"
"Matisse Samoise";"KAA Gent v KAS Eupen";"RWB";"103.24";"11522.0";"1849.0";"735.8";"205.7";"941.5";"59.3";"11.3";"70.6";"102.0";"7.8";"84.6";"15.7";"28.10"
"Matisse Samoise";"Racing White Daring Molenbeek v KAA Gent";"RWB";"74.45";"10260.8";"1378.1";"309.5";"53.2";"362.7";"35.1";"3.6";"38.7";"105.2";"7.3";"99.1";"13.3";"25.50"
"Matisse Samoise";"Oud-Heverlee Leuven v KAA Gent";"RWB";"103.58";"10914.2";"1918.5";"792.4";"318.0";"1110.4";"59.1";"13.9";"73.0";"99.9";"4.3";"84.3";"13.0";"28.70"
"Matisse Samoise";"Apoel Nicosia FC v KAA Gent";"RWB";"67.45";"11008.2";"1689.3";"657.8";"208.2";"866.0";"61.4";"12.0";"73.4";"92.1";"13.3";"82.7";"25.4";"28.00"
"Matisse Samoise";"KAA Gent v Apoel Nicosia FC";"RWB";"80.95";"11549.4";"1782.2";"707.1";"159.0";"866.1";"63.4";"11.1";"74.5";"101.2";"5.6";"93.4";"13.3";"28.20"
"Matisse Samoise";"KAA Gent v Sint-Truidense VV";"RWB";"69.45";"11972.8";"1984.0";"727.0";"347.3";"1074.3";"68.7";"11.7";"80.3";"105.0";"10.4";"102.4";"15.6";"30.40"
"Matisse Samoise";"KAA Gent v Standard de Liège";"RWB";"91.28";"11175.1";"1843.8";"808.5";"230.7";"1039.2";"67.0";"10.8";"77.9";"106.5";"5.9";"86.8";"17.7";"27.90"
"Matisse Samoise";"KVC Westerlo v KAA Gent";"RWB";"86.07";"10838.3";"1789.1";"739.3";"217.5";"956.8";"56.5";"12.5";"69.0";"71.1";"12.5";"64.8";"17.8";"29.10"
"Matisse Samoise";"KAA Gent v Pogoń Szczecin";"RWB";"95.57";"11166.9";"1794.9";"721.4";"212.8";"934.2";"69.7";"11.3";"81.0";"97.9";"6.6";"79.1";"21.7";"29.30"
"Matisse Samoise";"KV Mechelen v KAA Gent";"RWB";"95.66";"11635.3";"1747.1";"732.0";"253.1";"985.1";"57.4";"13.2";"70.6";"109.1";"5.6";"106.3";"15.1";"28.30"
"Matisse Samoise";"KAA Gent v KV Kortrijk";"RWB";"99.27";"11830.5";"2108.8";"829.6";"280.1";"1109.7";"72.5";"14.5";"87.0";"102.4";"5.4";"94.3";"19.0";"28.10"
"Matisse Samoise";"KAA Gent v MSK Zilina";"RWB";"93.60";"11405.8";"1508.7";"816.3";"287.5";"1103.8";"62.5";"13.5";"76.0";"90.4";"7.7";"91.3";"16.3";"29.00"
"Matisse Samoise";"Sporting Charleroi v KAA Gent";"RWB";"98.35";"11324.4";"1812.8";"690.0";"180.3";"870.3";"61.3";"8.2";"69.5";"102.5";"11.0";"86.0";"15.6";"27.50"
"Matisse Samoise";"KAA Gent v RSC Anderlecht";"RWB";"100.55";"11127.6";"1909.2";"669.5";"131.6";"801.1";"53.7";"7.2";"60.9";"107.4";"4.5";"92.2";"16.1";"27.20"
"Matisse Samoise";"KAA Gent v Royale Union Saint-Gilloise";"RWB";"99.85";"11622.9";"2116.4";"850.9";"295.6";"1146.5";"73.9";"16.2";"90.1";"101.0";"4.5";"95.5";"16.2";"29.50"
"Matisse Samoise";"KRC Genk v KAA Gent";"RWB";"105.13";"11710.4";"2194.1";"790.2";"297.1";"1087.2";"64.2";"13.7";"77.9";"115.6";"4.3";"107.9";"14.6";"28.70"
"Matisse Samoise";"KAA Gent v KRC Genk";"RWB";"92.80";"11396.4";"2357.7";"925.2";"294.8";"1220.0";"67.9";"15.5";"83.4";"112.5";"3.9";"86.3";"20.4";"27.80"
"Matisse Samoise";"KAA Gent v Racing White Daring Molenbeek";"RWB";"99.08";"11457.1";"1890.3";"807.5";"258.0";"1065.5";"68.1";"14.5";"82.7";"99.9";"13.6";"93.6";"20.9";"28.60"
"Matisse Samoise";"Club Brugge KV v KAA Gent";"RWB";"98.35";"11486.3";"1836.6";"681.7";"185.8";"867.5";"53.1";"7.3";"60.4";"98.8";"8.2";"86.9";"21.0";"27.30"
"Matisse Samoise";"KAA Gent v Oud-Heverlee Leuven";"RWB";"76.88";"11786.2";"2018.2";"789.0";"304.4";"1093.4";"69.1";"16.4";"85.5";"107.7";"7.0";"80.8";"16.4";"28.90"
"Matisse Samoise";"KV Kortrijk v KAA Gent";"RWB";"94.47";"11496.0";"1710.1";"730.7";"342.0";"1072.7";"68.6";"16.2";"84.8";"117.2";"10.5";"108.6";"22.9";"29.50"
"Matisse Samoise";"KAA Gent v KV Mechelen";"RWB";"97.05";"12169.7";"1955.8";"722.4";"187.3";"909.7";"66.8";"11.1";"77.9";"107.6";"2.8";"82.5";"16.7";"28.30"
"Matisse Samoise";"RSC Anderlecht v KAA Gent";"RWB";"79.45";"11786.7";"1828.3";"757.8";"218.6";"976.5";"68.0";"14.7";"82.7";"116.7";"11.3";"95.2";"20.4";"28.80"
"Matisse Samoise";"KAA Gent v KSV Cercle Brugge";"LWB";"100.00";"11231.1";"1708.2";"622.8";"191.7";"814.5";"55.8";"15.3";"71.1";"102.6";"5.4";"87.3";"13.5";"27.60"
"Matisse Samoise";"Maccabi Haifa FC v KAA Gent";"RWB";"82.14";"11486.1";"1827.6";"585.1";"200.5";"785.6";"51.5";"9.9";"61.4";"115.0";"3.3";"84.4";"20.8";"27.60"
"Matisse Samoise";"KAS Eupen v KAA Gent";"RWB";"94.90";"11250.5";"1915.7";"688.5";"193.5";"882.0";"60.7";"11.4";"72.1";"116.6";"7.6";"117.6";"19.0";"27.90"
"Matisse Samoise";"KAA Gent v Royal Antwerp FC";"RWB";"89.33";"12404.3";"2241.7";"856.4";"209.6";"1065.9";"67.5";"10.1";"77.6";"102.8";"7.1";"100.8";"16.1";"27.10"
"Matisse Samoise";"Royale Union Saint-Gilloise v KAA Gent";"RW";"95.38";"11657.2";"1745.6";"764.3";"353.8";"1118.2";"54.7";"19.8";"74.5";"76.4";"8.5";"76.4";"18.9";"29.60"
"Matisse Samoise";"KAA Gent v Sporting Charleroi";"RWB";"96.36";"11053.9";"1699.9";"546.4";"177.5";"723.8";"43.9";"12.1";"56.0";"99.9";"2.8";"82.2";"12.1";"28.50"
"Matisse Samoise";"KAA Gent v Standard de Liège";"RWB";"65.87";"12504.6";"2408.8";"900.4";"228.2";"1128.6";"71.0";"10.9";"82.0";"105.2";"0.0";"97.0";"16.4";"28.70"
"Matisse Samoise";"KVC Westerlo v KAA Gent";"RWB";"98.33";"11366.9";"1849.8";"754.2";"227.0";"981.2";"57.7";"15.6";"73.2";"73.2";"7.3";"76.0";"16.5";"28.10"
