"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Momodou Lamin Sonko";"Malmo FF v BK Hacken";"RF";"64.77";"10221.4";"1424.3";"658.6";"159.8";"818.4";"54.2";"15.3";"69.5";"90.3";"9.7";"87.5";"22.2";"29.10"
"Momodou Lamin Sonko";"BK Hacken v IFK Göteborg";"RF";"82.58";"10314.4";"1530.2";"659.4";"383.6";"1043.0";"52.3";"22.9";"75.2";"76.3";"12.0";"81.7";"14.2";"29.60"
"Momodou Lamin Sonko";"BK Hacken v Mjällby AIF";"LF";"95.60";"9747.5";"1172.1";"479.2";"109.2";"588.4";"41.4";"5.6";"47.1";"77.2";"8.5";"79.1";"12.2";"29.10"
"Momodou Lamin Sonko";"Djurgardens IF v BK Hacken";"RF";"82.07";"10297.3";"1478.3";"620.7";"185.3";"806.0";"52.6";"6.6";"59.2";"96.5";"5.5";"79.0";"15.4";"32.50"
"Momodou Lamin Sonko";"IFK Norrköping v BK Hacken";"LF";"62.83";"9823.7";"1409.5";"658.9";"236.4";"895.3";"57.3";"15.8";"73.1";"98.8";"8.6";"75.9";"18.6";"28.50"
"Momodou Lamin Sonko";"IFK Värnamo v BK Hacken";"LF";"80.86";"10993.4";"1522.6";"730.2";"224.8";"955.0";"47.9";"14.5";"62.3";"75.7";"15.6";"59.0";"25.6";"29.90"
"Momodou Lamin Sonko";"BK Hacken v Varbergs BoIS FC";"LF";"68.15";"10337.8";"1271.8";"487.3";"177.0";"664.3";"40.9";"11.9";"52.8";"67.4";"9.2";"74.0";"17.2";"29.70"
"Momodou Lamin Sonko";"BK Hacken v Halmstads BK";"LF";"86.09";"10075.7";"1285.9";"566.6";"291.7";"858.3";"47.0";"16.7";"63.8";"75.3";"4.2";"79.5";"16.7";"30.10"
"Momodou Lamin Sonko";"Kalmar FF v BK Hacken";"LF";"61.91";"10693.6";"1596.2";"594.6";"171.5";"766.1";"59.6";"13.1";"72.7";"116.3";"5.8";"101.8";"16.0";"29.40"
"Momodou Lamin Sonko";"BK Hacken v AIK";"LW";"98.18";"11148.7";"1556.5";"806.7";"389.6";"1196.3";"59.6";"14.7";"74.3";"88.0";"11.9";"85.3";"18.3";"30.40"
"Momodou Lamin Sonko";"BK Hacken v IFK Norrköping";"LF";"87.07";"9736.0";"1160.8";"517.9";"296.7";"814.5";"44.4";"11.4";"55.8";"80.6";"7.2";"75.5";"12.4";"31.30"
"Momodou Lamin Sonko";"Molde FK v BK Hacken";"LW";"96.49";"9614.7";"1449.5";"604.4";"301.3";"905.7";"55.0";"16.8";"71.8";"93.3";"11.2";"71.8";"21.5";"30.70"
"Momodou Lamin Sonko";"Mjällby AIF v BK Hacken";"LF";"60.32";"9613.2";"1225.0";"314.8";"89.5";"404.3";"29.8";"1.5";"31.3";"94.0";"4.5";"82.1";"13.4";"27.90"
"Momodou Lamin Sonko";"BK Hacken v Malmo FF";"LF";"102.00";"9266.5";"1214.1";"502.9";"106.8";"609.7";"45.9";"7.9";"53.8";"78.5";"5.3";"64.4";"12.4";"28.00"
"Momodou Lamin Sonko";"BK Hacken v Molde FK";"LF";"99.17";"9142.5";"916.6";"415.6";"148.8";"564.5";"29.0";"10.9";"39.9";"91.7";"3.6";"70.8";"11.8";"29.00"
"Momodou Lamin Sonko";"IF Brommapojkarna v BK Hacken";"LF";"96.22";"9965.3";"1509.7";"635.1";"151.5";"786.6";"55.2";"4.7";"59.9";"96.3";"5.6";"79.5";"23.4";"26.50"
"Momodou Lamin Sonko";"Qarabağ FK v BK Hacken";"LF";"86.21";"9132.6";"960.4";"457.3";"187.9";"645.2";"45.9";"13.6";"59.5";"89.8";"8.4";"66.8";"12.5";"31.20"
