"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Nathan Ngoy";"Standard de Liège v RSC Anderlecht";"LB";"103.00";"8987.8";"1126.3";"429.0";"171.3";"600.3";"40.2";"12.2";"52.4";"97.0";"6.1";"73.4";"14.0";"29.60"
"Nathan Ngoy";"Standard de Liège v Club Brugge KV";"LCB";"102.82";"8698.9";"957.6";"323.9";"107.7";"431.5";"28.9";"6.1";"35.0";"84.0";"2.6";"68.3";"9.6";"27.70"
"Nathan Ngoy";"Oud-Heverlee Leuven v Standard de Liège";"LCB";"97.31";"9513.3";"1081.2";"517.9";"227.5";"745.5";"36.1";"12.0";"48.1";"67.5";"7.4";"57.3";"12.0";"30.10"
"Nathan Ngoy";"Standard de Liège v KVC Westerlo";"LCB";"97.59";"10001.5";"1281.9";"522.0";"240.7";"762.7";"39.7";"12.9";"52.6";"83.9";"12.9";"64.6";"14.8";"30.10"
"Nathan Ngoy";"Standard de Liège v Racing White Daring Molenbeek";"LCB";"98.57";"9201.8";"1127.6";"411.8";"128.7";"540.5";"34.7";"9.1";"43.8";"78.5";"10.0";"63.0";"10.0";"29.00"
"Nathan Ngoy";"KV Kortrijk v Standard de Liège";"LCB";"85.09";"9828.2";"1506.2";"533.1";"147.0";"680.1";"45.5";"5.3";"50.8";"91.0";"7.4";"77.2";"19.0";"30.00"
"Nathan Ngoy";"Standard de Liège v KSV Cercle Brugge";"LCB";"91.43";"8500.9";"951.9";"302.2";"87.6";"389.8";"25.6";"3.9";"29.5";"90.6";"4.9";"64.0";"8.9";"28.30"
"Nathan Ngoy";"KAA Gent v Standard de Liège";"LCB";"101.23";"9092.5";"1106.9";"363.6";"150.3";"513.9";"30.2";"8.9";"39.1";"82.7";"6.2";"57.8";"15.1";"28.10"
"Nathan Ngoy";"Sporting Charleroi v Standard de Liège";"LCB";"91.32";"8309.1";"863.3";"291.7";"72.9";"364.7";"24.6";"4.9";"29.6";"95.6";"3.9";"65.0";"9.9";"27.90"
"Nathan Ngoy";"Royal Antwerp FC v Standard de Liège";"LWB";"63.82";"9767.2";"1518.8";"614.9";"197.4";"812.3";"45.1";"11.3";"56.4";"84.6";"12.7";"62.0";"22.6";"30.50"
"Nathan Ngoy";"Standard de Liège v KRC Genk";"LCB";"101.09";"9293.8";"1155.6";"326.7";"97.9";"424.7";"29.4";"7.1";"36.5";"91.7";"6.2";"65.0";"9.8";"27.20"
"Nathan Ngoy";"RSC Anderlecht v Standard de Liège";"LB";"106.00";"8859.1";"1147.9";"372.7";"110.4";"483.1";"35.7";"8.5";"44.2";"99.3";"6.8";"76.4";"20.4";"29.00"
"Nathan Ngoy";"Standard de Liège v Sporting Charleroi";"LCB";"100.35";"9034.1";"1151.6";"436.8";"155.2";"591.9";"35.9";"11.7";"47.5";"95.1";"10.8";"70.9";"17.0";"28.00"
