"Player";"Match";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Noah Sadiki";"Sint-Truidense VV v Royale Union Saint-Gilloise";"86.10";"11816.0";"2027.9";"565.5";"73.2";"638.7";"53.3";"5.2";"58.5";"101.4";"5.2";"93.0";"13.6";"26.20"
"Noah Sadiki";"Royale Union Saint-Gilloise v KRC Genk";"82.60";"10887.2";"1691.0";"616.7";"224.5";"841.2";"46.9";"12.0";"58.8";"69.7";"5.4";"71.9";"14.2";"28.80"
"Noah Sadiki";"Royale Union Saint-Gilloise v Royal Antwerp FC";"76.27";"10865.6";"1563.5";"488.5";"162.8";"651.4";"38.9";"5.9";"44.8";"80.2";"4.7";"69.6";"8.3";"28.10"
"Noah Sadiki";"KVC Westerlo v Royale Union Saint-Gilloise";"63.51";"11468.6";"1765.7";"763.8";"235.2";"999.1";"59.5";"9.9";"69.4";"80.8";"8.5";"76.5";"18.4";"28.40"
"Noah Sadiki";"Royale Union Saint-Gilloise v KV Kortrijk";"63.60";"11605.2";"1805.7";"635.4";"267.5";"902.8";"58.0";"12.7";"70.8";"90.6";"8.5";"86.3";"14.2";"28.20"
"Noah Sadiki";"Royale Union Saint-Gilloise v Sint-Truidense VV";"104.51";"11363.9";"1869.6";"504.6";"114.5";"619.2";"37.0";"6.9";"43.9";"87.0";"6.0";"92.1";"12.1";"27.20"
"Noah Sadiki";"RSC Anderlecht v Royale Union Saint-Gilloise";"85.75";"11814.9";"1937.5";"722.1";"195.2";"917.3";"54.6";"11.5";"66.1";"92.4";"5.2";"77.7";"24.1";"27.50"
"Noah Sadiki";"KRC Genk v Royale Union Saint-Gilloise";"88.52";"11076.1";"1815.9";"819.5";"258.2";"1077.7";"62.0";"9.2";"71.2";"83.4";"4.1";"70.2";"19.3";"28.60"
"Noah Sadiki";"Royale Union Saint-Gilloise v Standard de Liège";"106.30";"11349.5";"1794.1";"647.7";"151.6";"799.2";"43.2";"8.5";"51.6";"71.1";"3.4";"53.3";"13.5";"27.80"
"Noah Sadiki";"Oud-Heverlee Leuven v Royale Union Saint-Gilloise";"106.22";"10375.2";"1554.8";"483.0";"156.8";"639.7";"36.4";"11.0";"47.4";"78.8";"2.5";"77.1";"8.5";"27.80"
"Noah Sadiki";"Royal Antwerp FC v Royale Union Saint-Gilloise";"101.10";"11276.3";"1751.0";"687.2";"142.4";"829.7";"53.4";"9.8";"63.2";"95.3";"4.5";"97.0";"19.6";"26.30"
"Noah Sadiki";"KRC Genk v Royale Union Saint-Gilloise";"88.12";"10681.1";"1556.5";"601.6";"265.5";"867.1";"51.1";"11.2";"62.3";"88.9";"6.1";"89.9";"16.3";"29.90"
"Noah Sadiki";"Royale Union Saint-Gilloise v KSV Cercle Brugge";"89.83";"9969.8";"1313.5";"315.6";"141.3";"456.9";"28.1";"5.0";"33.1";"94.2";"4.0";"80.2";"11.0";"28.80"
"Noah Sadiki";"RSC Anderlecht v Royale Union Saint-Gilloise";"80.19";"10621.8";"1721.7";"703.7";"138.0";"841.8";"58.4";"10.1";"68.5";"110.0";"3.4";"75.2";"21.3";"27.30"
