"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Omri Gandelman";"KAA Gent v Breidablik UBK";"RM";"93.75";"11716.8";"2070.7";"875.5";"161.3";"1036.8";"74.9";"6.7";"81.6";"108.5";"2.9";"92.2";"22.1";"26.90"
"Omri Gandelman";"KAA Gent v Maccabi Tel Aviv FC";"LM";"99.08";"11614.3";"2139.2";"992.8";"239.8";"1232.6";"72.7";"12.7";"85.4";"109.0";"2.7";"96.3";"26.3";"27.60"
"Omri Gandelman";"KAA Gent v Royale Union Saint-Gilloise";"AM";"82.50";"11884.4";"2517.8";"975.3";"253.1";"1228.4";"78.5";"9.8";"88.4";"90.5";"5.5";"84.0";"30.5";"26.90"
"Omri Gandelman";"KAA Gent v FC Zorya Lugansk";"LM";"102.32";"11404.8";"2204.3";"827.7";"141.6";"969.3";"65.1";"6.2";"71.2";"96.8";"3.5";"84.4";"19.4";"26.60"
"Omri Gandelman";"KRC Genk v KAA Gent";"LM";"105.13";"11391.0";"2347.4";"761.1";"129.3";"890.3";"61.6";"4.3";"65.9";"108.7";"1.7";"103.6";"25.7";"26.20"
"Omri Gandelman";"Maccabi Tel Aviv FC v KAA Gent";"LM";"75.00";"12510.0";"2671.2";"949.2";"60.0";"1009.2";"70.8";"4.8";"75.6";"88.8";"2.4";"102.0";"25.2";"25.70"
"Omri Gandelman";"KAA Gent v KV Mechelen";"LM";"64.45";"13585.9";"2644.8";"1052.9";"40.5";"1093.4";"78.2";"4.2";"82.4";"114.5";"5.6";"90.8";"26.5";"25.00"
"Omri Gandelman";"KAA Gent v KVC Westerlo";"LM";"101.31";"11952.0";"2333.7";"901.7";"148.4";"1050.0";"63.1";"10.7";"73.7";"89.7";"1.8";"79.1";"23.1";"26.40"
"Omri Gandelman";"Sint-Truidense VV v KAA Gent";"LM";"100.42";"12416.5";"1873.1";"490.2";"53.8";"544.0";"44.8";"4.5";"49.3";"91.4";"1.8";"112.9";"21.5";"25.30"
"Omri Gandelman";"Maccabi Haifa FC v KAA Gent";"LM";"95.50";"11925.2";"2264.6";"814.2";"137.6";"951.8";"61.3";"4.7";"66.0";"108.4";"2.8";"88.6";"35.8";"26.20"
"Omri Gandelman";"KAA Gent v Maccabi Haifa FC";"LM";"96.37";"11454.3";"2053.6";"637.9";"43.0";"680.8";"50.4";"3.7";"54.2";"105.5";"2.8";"86.9";"31.8";"25.30"
"Omri Gandelman";"Royale Union Saint-Gilloise v KAA Gent";"AM";"95.38";"12246.9";"2202.3";"1015.3";"241.6";"1256.9";"73.6";"16.0";"89.6";"97.2";"2.8";"90.6";"19.8";"27.20"
"Omri Gandelman";"KAA Gent v Sporting Charleroi";"LM";"67.43";"12248.7";"2294.4";"995.7";"100.1";"1095.8";"69.4";"8.0";"77.4";"113.5";"6.7";"96.1";"13.3";"26.60"
"Omri Gandelman";"KAA Gent v Standard de Liège";"LM";"95.80";"12141.5";"2261.3";"940.4";"100.5";"1040.9";"63.9";"7.5";"71.4";"87.4";"1.9";"75.2";"17.8";"25.70"
