"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Oliver Sørensen Jensen";"Odense BK v FC Midtjylland";"RW";"100.28";"12119.7";"2626.9";"1053.6";"362.6";"1416.2";"77.2";"15.3";"92.4";"86.2";"1.8";"75.4";"18.8";"28.70"
"Oliver Sørensen Jensen";"FC Copenhagen v FC Midtjylland";"RW";"103.12";"12290.3";"2391.4";"1141.6";"373.5";"1515.1";"88.1";"27.1";"115.2";"89.9";"3.5";"88.1";"18.3";"28.30"
"Oliver Sørensen Jensen";"FC Midtjylland v Odense BK";"RW";"66.69";"11732.8";"2332.0";"900.1";"310.4";"1210.5";"66.1";"17.5";"83.7";"102.6";"6.7";"94.5";"24.3";"28.50"
"Oliver Sørensen Jensen";"FC Midtjylland v Randers FC";"RW";"97.85";"11445.7";"2035.5";"819.5";"397.3";"1216.9";"69.0";"20.2";"89.2";"83.7";"4.6";"78.2";"27.6";"30.70"
"Oliver Sørensen Jensen";"FC Midtjylland v Lyngby Boldklub";"LW";"98.40";"11907.6";"2113.7";"1078.4";"359.5";"1437.8";"81.4";"27.4";"108.8";"97.0";"7.3";"86.0";"22.9";"28.50"
"Oliver Sørensen Jensen";"FC Midtjylland v AGF";"RW";"101.22";"10757.9";"1945.5";"834.9";"240.1";"1075.0";"56.0";"19.6";"75.6";"62.2";"5.3";"68.5";"25.8";"28.00"
"Oliver Sørensen Jensen";"FC Nordsjaelland v FC Midtjylland";"LM";"80.08";"12535.7";"2758.0";"1099.2";"231.5";"1330.7";"80.9";"11.2";"92.2";"112.4";"11.2";"118.0";"23.6";"27.80"
"Oliver Sørensen Jensen";"FC Midtjylland v Broendby IF";"RCB";"96.55";"10657.4";"1667.6";"781.1";"348.6";"1129.8";"46.6";"17.7";"64.3";"65.3";"4.7";"58.7";"16.8";"29.70"
"Oliver Sørensen Jensen";"Vejle Boldklub v FC Midtjylland";"RWB";"99.06";"10807.1";"2020.6";"809.5";"330.7";"1140.2";"60.9";"16.4";"77.2";"83.6";"5.5";"78.1";"16.4";"29.90"
"Oliver Sørensen Jensen";"Lyngby Boldklub v FC Midtjylland";"RW";"97.25";"10941.6";"1836.1";"822.7";"273.0";"1095.7";"58.3";"13.9";"72.2";"76.8";"11.1";"73.1";"16.7";"29.30"
"Oliver Sørensen Jensen";"FC Midtjylland v Silkeborg IF";"RWB";"97.10";"11535.0";"2021.5";"1102.1";"660.9";"1762.9";"76.9";"31.5";"108.4";"97.3";"7.4";"88.1";"28.7";"31.60"
"Oliver Sørensen Jensen";"FC Midtjylland v Hvidovre IF";"RW";"96.98";"11734.9";"2146.5";"915.0";"437.1";"1352.1";"69.6";"21.3";"90.9";"85.4";"8.4";"90.0";"26.9";"31.00"
"Oliver Sørensen Jensen";"FC Midtjylland v FC Nordsjaelland";"RW";"98.97";"11656.3";"2031.5";"1045.8";"466.5";"1512.3";"66.4";"22.7";"89.1";"86.4";"10.0";"95.5";"18.2";"30.60"
"Oliver Sørensen Jensen";"Silkeborg IF v FC Midtjylland";"LW";"101.50";"11299.2";"1942.8";"861.9";"357.3";"1219.2";"71.8";"17.7";"89.6";"102.9";"5.3";"108.2";"25.7";"29.80"
"Oliver Sørensen Jensen";"AGF v FC Midtjylland";"RM";"108.60";"11086.7";"2298.9";"972.9";"265.2";"1238.1";"72.9";"12.4";"85.4";"77.9";"4.1";"72.1";"11.6";"28.70"
"Oliver Sørensen Jensen";"FC Midtjylland v FC Copenhagen";"RW";"98.27";"12492.1";"2340.9";"846.2";"358.1";"1204.3";"78.8";"22.9";"101.7";"83.3";"9.2";"88.8";"17.4";"30.60"
"Oliver Sørensen Jensen";"Randers FC v FC Midtjylland";"RM";"94.58";"12137.3";"2542.6";"1027.7";"276.0";"1303.7";"76.1";"13.3";"89.4";"94.2";"3.8";"88.5";"30.5";"28.00"
"Oliver Sørensen Jensen";"FC Midtjylland v Vejle Boldklub";"RM";"100.25";"11425.7";"1959.8";"785.5";"228.9";"1014.5";"53.0";"11.7";"64.6";"78.1";"1.8";"79.0";"18.9";"29.10"
"Oliver Sørensen Jensen";"FC Midtjylland v FC Nordsjaelland";"RM";"97.20";"11787.0";"2588.0";"938.9";"330.6";"1269.4";"75.0";"20.4";"95.4";"99.1";"4.6";"99.1";"13.9";"29.50"
"Oliver Sørensen Jensen";"AGF v FC Midtjylland";"RM";"101.87";"11229.0";"2287.3";"1054.0";"339.3";"1393.2";"69.8";"12.4";"82.2";"68.0";"8.8";"69.8";"16.8";"29.30"
"Oliver Sørensen Jensen";"FC Midtjylland v FC Copenhagen";"RM";"99.23";"11652.0";"2487.9";"1014.0";"354.6";"1368.6";"76.2";"20.0";"96.1";"72.6";"7.3";"74.4";"16.3";"29.50"
