"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Owen Wijndal";"KV Mechelen v Royal Antwerp FC";"LB";"67.38";"10896.7";"1355.7";"746.7";"199.0";"945.7";"56.1";"13.4";"69.5";"108.2";"4.0";"81.5";"16.0";"28.00"
"Owen Wijndal";"Royal Antwerp FC v KAA Gent";"LB";"97.79";"10629.0";"1518.6";"517.2";"54.3";"571.5";"44.2";"7.4";"51.5";"82.8";"1.8";"94.8";"18.4";"25.60"
"Owen Wijndal";"Sporting Charleroi v Royal Antwerp FC";"LB";"77.15";"10501.4";"1495.5";"692.9";"263.6";"956.6";"64.2";"12.8";"77.0";"108.5";"4.7";"82.8";"16.3";"30.40"
"Owen Wijndal";"Royal Antwerp FC v KAS Eupen";"LB";"98.22";"9921.8";"1013.4";"547.0";"185.1";"732.1";"49.5";"9.2";"58.6";"99.0";"7.3";"79.7";"12.8";"30.70"
"Owen Wijndal";"KVC Westerlo v Royal Antwerp FC";"LB";"66.05";"10845.0";"1554.7";"670.4";"279.3";"949.7";"68.1";"12.3";"80.4";"84.5";"4.1";"84.5";"17.7";"29.20"
"Owen Wijndal";"Royal Antwerp FC v Oud-Heverlee Leuven";"LB";"100.34";"9980.4";"1445.0";"662.8";"267.3";"930.1";"52.9";"13.5";"66.4";"92.4";"2.7";"79.8";"16.1";"29.80"
"Owen Wijndal";"KSV Cercle Brugge v Royal Antwerp FC";"LB";"103.83";"9352.8";"1244.7";"393.5";"227.1";"620.6";"37.3";"8.7";"45.9";"89.3";"5.2";"78.0";"12.1";"29.50"
"Owen Wijndal";"Standard de Liège v Royal Antwerp FC";"LB";"97.75";"10636.1";"1406.9";"578.2";"282.7";"860.9";"46.0";"12.0";"58.0";"108.6";"4.6";"79.2";"23.0";"29.30"
"Owen Wijndal";"Racing White Daring Molenbeek v Royal Antwerp FC";"LB";"99.52";"9066.0";"1001.1";"415.1";"161.0";"576.1";"34.4";"9.9";"44.3";"83.2";"3.6";"71.4";"17.2";"28.70"
"Owen Wijndal";"Royal Antwerp FC v KV Mechelen";"LB";"103.01";"10080.8";"1203.1";"629.9";"344.2";"974.2";"53.3";"14.9";"68.1";"94.4";"4.4";"83.9";"14.0";"30.40"
"Owen Wijndal";"KAA Gent v Royal Antwerp FC";"LB";"99.82";"10707.7";"1636.4";"701.5";"185.7";"887.2";"55.9";"11.7";"67.6";"104.6";"4.5";"77.5";"21.6";"27.50"
"Owen Wijndal";"Royal Antwerp FC v Sint-Truidense VV";"LB";"97.52";"10380.6";"1470.2";"698.6";"253.8";"952.4";"57.2";"16.6";"73.8";"94.1";"3.7";"95.1";"21.2";"30.00"
"Owen Wijndal";"KV Kortrijk v Royal Antwerp FC";"LB";"96.28";"9620.7";"1184.4";"458.0";"166.4";"624.4";"38.3";"7.5";"45.8";"96.3";"7.5";"74.8";"14.0";"28.60"
"Owen Wijndal";"Royal Antwerp FC v Royale Union Saint-Gilloise";"LB";"89.75";"10405.9";"1195.3";"649.8";"292.8";"942.6";"50.1";"15.0";"65.2";"105.3";"4.0";"85.2";"18.1";"27.70"
