"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Paxten Aaronson";"Eintracht Frankfurt v Levski Sofia";"LF";"89.05";"11348.8";"1693.9";"501.3";"161.7";"663.0";"58.6";"8.1";"66.7";"116.2";"3.0";"96.0";"22.2";"29.40"
"Paxten Aaronson";"Aberdeen v Eintracht Frankfurt";"LW";"87.20";"10916.6";"1558.5";"660.6";"282.8";"943.3";"55.7";"14.4";"70.2";"104.2";"8.3";"104.2";"18.6";"31.70"
"Paxten Aaronson";"Heracles Almelo v Vitesse";"RDM";"97.75";"11565.1";"1985.1";"907.8";"233.9";"1141.7";"69.1";"13.8";"82.9";"99.4";"7.4";"80.1";"16.6";"29.10"
"Paxten Aaronson";"Vitesse v FC Volendam";"RDM";"95.45";"10303.1";"1235.2";"561.0";"219.7";"780.7";"43.4";"13.2";"56.6";"91.5";"3.8";"71.7";"13.2";"28.30"
"Paxten Aaronson";"Excelsior Rotterdam v Vitesse";"RM";"96.70";"10740.4";"1887.5";"699.9";"228.0";"927.9";"50.3";"15.8";"66.1";"74.5";"10.2";"81.0";"18.6";"29.80"
"Paxten Aaronson";"Vitesse v FC Twente";"RM";"98.94";"10520.9";"1611.0";"564.9";"143.7";"708.6";"47.3";"6.4";"53.7";"91.9";"2.7";"81.0";"13.6";"29.10"
"Paxten Aaronson";"RKC Waalwijk v Vitesse";"CF";"95.93";"11133.4";"1799.4";"779.6";"249.6";"1029.2";"63.8";"14.1";"77.9";"79.7";"7.5";"76.9";"16.9";"31.30"
"Paxten Aaronson";"Vitesse v Almere City FC";"RM";"101.17";"9749.0";"1289.9";"367.4";"152.1";"519.5";"29.4";"7.1";"36.5";"99.6";"4.4";"75.6";"12.5";"29.70"
"Paxten Aaronson";"AZ Alkmaar v Vitesse";"RM";"97.88";"10415.1";"1514.4";"634.5";"145.3";"779.7";"51.5";"8.3";"59.8";"102.1";"9.2";"87.4";"12.0";"28.50"
"Paxten Aaronson";"Vitesse v Sparta Rotterdam";"RM";"99.25";"10570.6";"1818.1";"615.7";"146.9";"762.6";"41.7";"10.0";"51.7";"98.8";"9.1";"88.0";"15.4";"27.60"
"Paxten Aaronson";"Vitesse v NEC Nijmegen";"RM";"97.48";"10043.3";"1381.2";"501.3";"220.7";"722.0";"50.8";"7.4";"58.2";"73.9";"8.3";"71.1";"13.8";"31.30"
"Paxten Aaronson";"PSV Eindhoven v Vitesse";"DM";"94.64";"10659.4";"1501.6";"615.3";"119.8";"735.1";"51.4";"10.5";"61.8";"93.2";"5.7";"78.0";"17.1";"27.30"
