"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Patrick Berg";"Sarpsborg v FK Bodo/Glimt";"DM";"98.70";"11990.9";"2293.3";"589.1";"179.6";"768.7";"42.9";"7.3";"50.2";"120.4";"5.5";"99.4";"13.7";"27.50"
"Patrick Berg";"FK Bodo/Glimt v Stabæk Fotball";"DM";"94.19";"12115.9";"2483.4";"749.1";"147.1";"896.3";"53.5";"10.5";"64.0";"95.6";"5.7";"109.9";"17.2";"26.90"
"Patrick Berg";"FK Bodo/Glimt v SK Brann";"DM";"96.65";"12554.4";"2395.0";"853.0";"276.6";"1129.5";"63.3";"13.0";"76.4";"124.8";"8.4";"113.6";"25.1";"29.50"
"Patrick Berg";"FK Bodo/Glimt v Odds BK";"DM";"95.05";"12853.8";"2510.2";"878.7";"215.9";"1094.6";"62.5";"13.3";"75.7";"120.3";"12.3";"125.0";"16.1";"28.20"
"Patrick Berg";"Lillestrom SK v FK Bodo/Glimt";"DM";"100.28";"10854.2";"1923.3";"588.8";"166.0";"754.8";"57.4";"9.9";"67.3";"96.9";"4.5";"79.9";"9.0";"28.10"
"Patrick Berg";"FK Bodo/Glimt v Viking FK";"DM";"104.15";"11474.0";"2062.7";"595.4";"203.9";"799.3";"44.9";"9.5";"54.4";"111.5";"6.9";"97.6";"9.5";"28.30"
"Patrick Berg";"FK Bodo/Glimt v Rosenborg BK";"DM";"103.14";"11608.2";"2403.1";"636.1";"144.0";"780.1";"53.2";"7.0";"60.2";"90.8";"5.2";"77.7";"14.8";"28.90"
"Patrick Berg";"Valerenga IF Oslo v FK Bodo/Glimt";"DM";"95.23";"11449.6";"1923.2";"488.6";"98.3";"586.9";"46.3";"5.7";"52.0";"133.3";"1.9";"105.8";"16.1";"26.60"
"Patrick Berg";"FK Bodo/Glimt v Hamarkameratene Fotball";"DM";"94.63";"12422.0";"2318.7";"474.6";"104.6";"579.2";"44.7";"4.8";"49.5";"90.4";"9.5";"91.3";"7.6";"28.10"
"Patrick Berg";"Strømsgodset IF v FK Bodo/Glimt";"DM";"101.63";"10610.0";"1496.6";"505.7";"166.5";"672.1";"39.9";"6.2";"46.0";"87.7";"3.5";"73.5";"10.6";"29.80"
