"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Pieter Gerkens";"FC Zorya Lugansk v KAA Gent";"AM";"61.22";"11535.9";"1928.8";"626.3";"185.2";"811.5";"61.7";"8.8";"70.6";"116.1";"7.4";"88.2";"11.8";"28.10"
"Pieter Gerkens";"Pogoń Szczecin v KAA Gent";"RM";"98.02";"10673.8";"1647.2";"554.6";"84.5";"639.1";"45.9";"6.4";"52.3";"90.0";"3.7";"93.7";"8.3";"26.60"
"Pieter Gerkens";"KAA Gent v FC Zorya Lugansk";"AM";"102.32";"11181.4";"2106.6";"882.2";"139.0";"1021.2";"70.4";"7.0";"77.4";"100.3";"1.8";"100.3";"14.1";"26.10"
"Pieter Gerkens";"Maccabi Tel Aviv FC v KAA Gent";"AM";"64.62";"11292.5";"1968.0";"529.2";"90.5";"619.8";"46.0";"4.2";"50.1";"101.7";"8.4";"96.1";"18.1";"27.10"
"Pieter Gerkens";"Sint-Truidense VV v KAA Gent";"RM";"74.82";"12037.3";"1924.6";"535.3";"126.3";"661.6";"42.1";"6.0";"48.1";"110.7";"6.0";"121.5";"14.4";"27.70"
"Pieter Gerkens";"RSC Anderlecht v KAA Gent";"LM";"100.27";"11408.2";"2024.0";"581.6";"198.4";"780.0";"50.3";"9.0";"59.2";"92.5";"5.4";"84.4";"10.8";"29.00"
"Pieter Gerkens";"KAA Gent v KSV Cercle Brugge";"RM";"76.20";"12133.5";"2114.2";"702.8";"94.5";"797.2";"57.9";"4.7";"62.6";"106.3";"3.5";"100.4";"11.8";"26.20"
"Pieter Gerkens";"KAS Eupen v KAA Gent";"LM";"94.90";"10966.0";"1704.2";"582.3";"144.2";"726.4";"48.4";"9.5";"57.9";"108.1";"8.5";"110.0";"11.4";"27.80"
"Pieter Gerkens";"KAA Gent v Maccabi Haifa FC";"RM";"96.37";"11778.4";"2046.2";"816.2";"159.7";"975.9";"64.4";"7.5";"71.9";"110.2";"4.7";"93.4";"9.3";"28.40"
"Pieter Gerkens";"KAA Gent v Royal Antwerp FC";"LM";"99.82";"11586.8";"2089.1";"613.1";"116.3";"729.4";"56.8";"8.1";"64.9";"109.1";"5.4";"82.9";"10.8";"26.70"
"Pieter Gerkens";"Standard de Liège v KAA Gent";"RM";"74.17";"10855.3";"2110.2";"621.3";"230.6";"851.8";"44.9";"8.5";"53.4";"92.2";"2.4";"86.2";"9.7";"29.50"
"Pieter Gerkens";"Royale Union Saint-Gilloise v KAA Gent";"RM";"95.38";"11909.1";"1963.6";"641.6";"208.5";"850.2";"44.3";"9.4";"53.8";"91.5";"5.7";"109.5";"9.4";"27.50"
