"Player";"Match";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Patrik Hrošovský";"KRC Genk v KVC Westerlo";"86.54";"11146.5";"1821.0";"658.3";"123.8";"782.1";"40.6";"6.2";"46.8";"109.2";"3.1";"95.7";"8.3";"27.10"
"Patrik Hrošovský";"Club Brugge KV v KRC Genk";"102.25";"11249.8";"2201.4";"688.3";"142.6";"830.9";"47.5";"6.2";"53.7";"99.5";"2.6";"87.1";"16.7";"27.20"
"Patrik Hrošovský";"KRC Genk v KV Mechelen";"95.20";"12073.4";"1939.0";"788.4";"128.6";"917.0";"52.9";"9.5";"62.4";"108.7";"2.8";"111.6";"14.2";"27.20"
"Patrik Hrošovský";"KSV Cercle Brugge v KRC Genk";"101.85";"10002.1";"1648.9";"574.4";"177.6";"752.0";"44.2";"9.7";"53.9";"77.8";"3.5";"81.3";"19.4";"27.60"
"Patrik Hrošovský";"KRC Genk v KAS Eupen";"78.70";"11568.5";"2021.9";"478.0";"152.1";"630.1";"41.2";"6.9";"48.0";"88.1";"5.7";"117.8";"12.6";"29.70"
"Patrik Hrošovský";"Royal Antwerp FC v KRC Genk";"97.55";"10726.2";"1972.5";"619.1";"220.5";"839.6";"53.5";"9.2";"62.7";"109.8";"1.8";"96.0";"15.7";"28.00"
"Patrik Hrošovský";"KV Kortrijk v KRC Genk";"90.85";"10802.0";"1789.1";"592.4";"135.7";"728.1";"49.5";"8.9";"58.4";"95.1";"6.9";"95.1";"18.8";"27.50"
"Patrik Hrošovský";"KRC Genk v KAA Gent";"105.13";"10816.6";"2123.9";"722.5";"189.2";"911.7";"57.4";"7.7";"65.1";"113.9";"4.3";"99.3";"18.8";"27.30"
"Patrik Hrošovský";"KAS Eupen v KRC Genk";"98.93";"10333.7";"1695.7";"631.4";"78.2";"709.6";"48.2";"5.5";"53.7";"117.4";"5.5";"80.1";"20.0";"26.30"
"Patrik Hrošovský";"KRC Genk v KV Kortrijk";"93.41";"12048.5";"2209.3";"699.5";"117.5";"817.0";"54.9";"7.7";"62.6";"105.0";"5.8";"86.7";"13.5";"27.20"
"Patrik Hrošovský";"RSC Anderlecht v KRC Genk";"103.45";"10608.6";"1953.1";"547.2";"171.4";"718.6";"45.2";"8.7";"53.9";"88.7";"4.3";"77.4";"17.4";"28.50"
"Patrik Hrošovský";"KRC Genk v Royal Antwerp FC";"97.90";"11264.2";"2021.6";"715.2";"148.9";"864.1";"58.8";"8.3";"67.1";"100.2";"8.3";"89.2";"13.8";"26.20"
"Patrik Hrošovský";"KRC Genk v KSV Cercle Brugge";"101.72";"10612.1";"1940.3";"780.4";"260.1";"1040.5";"65.5";"10.6";"76.1";"115.9";"4.4";"90.2";"17.7";"28.00"
"Patrik Hrošovský";"Sint-Truidense VV v KRC Genk";"110.98";"10561.1";"1827.9";"493.9";"97.3";"591.2";"42.2";"6.5";"48.7";"103.0";"2.4";"88.4";"13.8";"26.60"
"Patrik Hrošovský";"Oud-Heverlee Leuven v KRC Genk";"101.73";"10602.2";"1903.0";"441.5";"123.9";"565.3";"35.4";"5.3";"40.7";"88.5";"3.5";"85.8";"20.3";"27.10"
"Patrik Hrošovský";"KRC Genk v Royale Union Saint-Gilloise";"95.74";"10812.4";"1929.0";"523.6";"124.1";"647.7";"45.1";"4.7";"49.8";"88.4";"3.8";"91.2";"12.2";"26.60"
"Patrik Hrošovský";"KV Mechelen v KRC Genk";"100.15";"10683.2";"1765.0";"620.1";"173.4";"793.5";"42.2";"8.1";"50.3";"97.1";"1.8";"87.2";"22.5";"28.70"
"Patrik Hrošovský";"KRC Genk v Racing White Daring Molenbeek";"100.53";"10774.4";"1821.8";"636.5";"122.6";"759.2";"49.2";"7.2";"56.4";"85.0";"6.3";"80.6";"11.6";"28.60"
"Patrik Hrošovský";"Sporting Charleroi v KRC Genk";"99.43";"10775.0";"1827.5";"618.2";"107.7";"725.9";"50.7";"7.2";"57.9";"101.4";"4.5";"98.7";"18.1";"26.70"
"Patrik Hrošovský";"KRC Genk v Club Brugge KV";"99.00";"10244.5";"1775.5";"503.6";"55.5";"559.1";"44.5";"6.4";"50.9";"100.9";"3.6";"81.8";"13.6";"25.30"
"Patrik Hrošovský";"KRC Genk v Standard de Liège";"99.30";"10667.7";"1722.1";"524.8";"70.7";"595.5";"55.3";"6.3";"61.6";"89.7";"5.4";"79.8";"19.0";"26.50"
"Patrik Hrošovský";"KVC Westerlo v KRC Genk";"87.43";"10423.7";"1478.2";"494.1";"153.4";"647.5";"36.0";"6.2";"42.2";"76.2";"4.1";"70.0";"12.4";"27.90"
"Patrik Hrošovský";"KRC Genk v Royale Union Saint-Gilloise";"99.37";"10342.3";"1911.0";"816.0";"179.3";"995.4";"61.6";"10.0";"71.6";"96.0";"7.2";"90.6";"19.0";"26.90"
"Patrik Hrošovský";"KRC Genk v KSV Cercle Brugge";"97.90";"10732.9";"2087.7";"706.9";"121.3";"828.3";"56.1";"6.4";"62.5";"90.1";"2.8";"80.0";"20.2";"26.30"
