"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Philip Zinckernagel";"Standard de Liège v Club Brugge KV";"LW";"65.90";"10311.1";"1517.3";"863.1";"285.4";"1148.6";"58.7";"17.8";"76.5";"88.8";"6.8";"81.9";"24.6";"28.70"
"Philip Zinckernagel";"Club Brugge KV v Sint-Truidense VV";"LW";"98.42";"11149.9";"1742.0";"814.8";"289.0";"1103.7";"67.7";"15.5";"83.2";"87.8";"4.6";"75.0";"25.6";"29.00"
"Philip Zinckernagel";"Club Brugge KV v KRC Genk";"LW";"69.00";"10711.3";"1683.9";"838.7";"348.3";"1187.0";"60.0";"14.3";"74.3";"104.3";"2.6";"66.5";"19.6";"30.60"
"Philip Zinckernagel";"RSC Anderlecht v Club Brugge KV";"LW";"71.55";"11153.5";"1647.8";"627.7";"163.5";"791.2";"51.6";"12.6";"64.2";"93.1";"3.8";"73.0";"15.1";"28.40"
"Philip Zinckernagel";"Club Brugge KV v Sporting Charleroi";"LW";"70.70";"11225.2";"1861.1";"849.1";"244.4";"1093.5";"71.3";"10.2";"81.5";"106.9";"5.1";"84.0";"22.9";"29.10"
"Philip Zinckernagel";"Club Brugge KV v Royal Antwerp FC";"LW";"62.95";"11144.6";"1644.2";"729.2";"134.4";"863.5";"58.6";"11.4";"70.1";"95.8";"7.1";"82.9";"15.7";"27.60"
"Philip Zinckernagel";"KAS Eupen v Club Brugge KV";"LW";"71.70";"10609.2";"1467.4";"818.4";"385.4";"1203.8";"67.8";"16.3";"84.1";"109.2";"8.8";"81.6";"23.8";"30.50"
"Philip Zinckernagel";"Club Brugge KV v KSV Cercle Brugge";"LW";"89.80";"10172.6";"1416.1";"718.6";"505.1";"1223.7";"56.1";"22.0";"78.2";"86.2";"6.0";"59.1";"20.0";"30.70"
"Philip Zinckernagel";"Oud-Heverlee Leuven v Club Brugge KV";"RW";"73.45";"11238.7";"1648.1";"764.6";"278.1";"1042.8";"71.1";"14.7";"85.8";"117.6";"4.9";"67.4";"20.8";"32.00"
"Philip Zinckernagel";"Club Brugge KV v Standard de Liège";"RW";"76.33";"11327.5";"1818.2";"865.5";"234.6";"1100.1";"74.3";"15.3";"89.6";"86.1";"7.1";"88.4";"18.9";"27.90"
"Philip Zinckernagel";"Club Brugge KV v KAA Gent";"LW";"67.52";"11091.4";"1530.2";"934.4";"286.6";"1221.0";"77.3";"18.7";"96.0";"86.6";"8.0";"74.6";"26.7";"28.30"
"Philip Zinckernagel";"Racing White Daring Molenbeek v Club Brugge KV";"LW";"100.78";"10056.5";"1247.6";"576.9";"238.4";"815.3";"55.4";"9.8";"65.2";"78.6";"8.0";"65.2";"11.6";"31.00"
"Philip Zinckernagel";"Club Brugge KV v KVC Westerlo";"LW";"77.85";"11016.2";"1634.7";"739.9";"146.8";"886.7";"67.1";"10.4";"77.5";"84.4";"2.3";"79.8";"18.5";"29.20"
"Philip Zinckernagel";"Sporting Charleroi v Club Brugge KV";"LW";"84.80";"10830.8";"1596.2";"725.9";"308.8";"1034.8";"65.8";"14.9";"80.7";"90.2";"5.3";"71.1";"21.2";"29.20"
"Philip Zinckernagel";"Club Brugge KV v KV Kortrijk";"LF";"70.43";"11164.7";"1645.9";"696.4";"250.5";"946.9";"58.8";"15.3";"74.1";"115.0";"5.1";"71.6";"16.6";"27.80"
"Philip Zinckernagel";"Royal Antwerp FC v Club Brugge KV";"LF";"73.30";"10556.9";"1480.8";"713.4";"369.6";"1082.9";"55.3";"17.2";"72.4";"108.0";"3.7";"84.7";"24.6";"29.90"
"Philip Zinckernagel";"Club Brugge KV v Oud-Heverlee Leuven";"LW";"61.35";"10615.2";"1668.0";"479.7";"80.7";"560.4";"52.8";"4.4";"57.2";"83.6";"0.0";"68.9";"13.2";"26.20"
