"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Rafiu Durosinmi";"FK Astana v FC Viktoria Plzeň";"CF";"94.12";"11205.1";"2105.6";"935.2";"381.5";"1316.7";"85.1";"22.0";"107.1";"92.8";"16.3";"77.5";"21.0";"29.80"
"Rafiu Durosinmi";"AC Sparta Prague v FC Viktoria Plzeň";"CF";"81.35";"10595.3";"1906.2";"846.3";"306.5";"1152.8";"74.1";"18.8";"92.9";"97.4";"12.2";"79.7";"17.7";"29.80"
"Rafiu Durosinmi";"FC Viktoria Plzeň v FK Pardubice";"CF";"97.48";"9777.4";"1417.2";"795.9";"428.4";"1224.3";"66.5";"17.5";"84.0";"82.2";"16.6";"62.8";"21.2";"31.30"
"Rafiu Durosinmi";"FC Fastav Zlin v FC Viktoria Plzeň";"CF";"64.11";"9883.0";"1481.0";"633.1";"324.3";"957.4";"44.9";"16.8";"61.8";"85.6";"9.8";"74.4";"22.5";"32.00"
"Rafiu Durosinmi";"FC Viktoria Plzeň v KF Ballkani";"CF";"87.89";"9909.3";"1623.1";"615.4";"242.7";"858.1";"60.4";"14.3";"74.8";"90.1";"12.3";"91.1";"16.4";"30.10"
"Rafiu Durosinmi";"FC Viktoria Plzeň v FK Jablonec";"CF";"98.50";"9397.5";"1534.1";"784.0";"343.6";"1127.5";"66.7";"19.2";"85.9";"84.1";"11.9";"68.5";"23.8";"29.70"
"Rafiu Durosinmi";"FC Viktoria Plzeň v Tobol Kostanay";"CF";"88.07";"10211.0";"1777.1";"897.2";"361.8";"1259.0";"68.5";"21.5";"89.9";"103.2";"12.3";"83.8";"22.5";"30.70"
"Rafiu Durosinmi";"FC Viktoria Plzeň v SK Sigma Olomouc";"CF";"65.81";"10040.7";"1464.7";"700.2";"302.2";"1002.4";"54.7";"17.8";"72.5";"83.4";"6.8";"72.5";"26.0";"30.90"
"Rafiu Durosinmi";"SK Dynamo České Budějovic v FC Viktoria Plzeň";"CF";"73.54";"9980.3";"1648.5";"637.6";"236.2";"873.8";"58.7";"14.7";"73.4";"71.0";"7.3";"80.8";"22.0";"28.20"
"Rafiu Durosinmi";"FC Viktoria Plzeň v Gzira United FC";"CF";"60.08";"9903.3";"1439.6";"624.7";"148.3";"773.0";"61.4";"9.0";"70.4";"100.4";"15.0";"76.4";"27.0";"28.90"
"Rafiu Durosinmi";"FC Viktoria Plzeň v FC Baník Ostrava";"CF";"102.03";"9519.6";"1589.5";"814.2";"373.1";"1187.3";"67.0";"19.4";"86.4";"80.3";"13.2";"70.6";"27.3";"29.00"
"Rafiu Durosinmi";"FK Teplice v FC Viktoria Plzeň";"CF";"100.83";"9595.4";"1386.2";"732.8";"200.8";"933.7";"68.7";"13.4";"82.1";"74.1";"13.4";"66.9";"20.5";"28.00"
