"Player";"Match";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Raphael Onyedika";"KV Kortrijk v Club Brugge KV";"97.35";"10627.1";"1472.7";"351.3";"145.1";"496.5";"25.0";"3.7";"28.7";"90.6";"5.5";"80.4";"12.0";"29.30"
"Raphael Onyedika";"Standard de Liège v Club Brugge KV";"102.82";"10129.2";"1384.8";"438.5";"86.7";"525.2";"35.0";"6.1";"41.1";"98.0";"4.4";"81.4";"7.0";"26.70"
"Raphael Onyedika";"RSC Anderlecht v Club Brugge KV";"100.75";"11395.8";"1952.8";"359.1";"63.4";"422.5";"29.5";"2.7";"32.2";"116.1";"0.9";"86.7";"15.2";"27.00"
"Raphael Onyedika";"Club Brugge KV v Sporting Charleroi";"100.32";"10866.9";"1627.4";"474.6";"57.4";"532.0";"38.6";"2.7";"41.3";"100.5";"2.7";"92.4";"9.9";"25.70"
"Raphael Onyedika";"Club Brugge KV v Royal Antwerp FC";"97.63";"11275.1";"1721.1";"638.8";"87.6";"726.4";"43.3";"6.5";"49.8";"97.7";"5.5";"94.0";"10.1";"26.60"
"Raphael Onyedika";"KAA Gent v Club Brugge KV";"102.70";"10285.6";"1643.1";"374.2";"21.0";"395.2";"33.3";"1.8";"35.1";"90.3";"1.8";"82.4";"14.9";"24.30"
"Raphael Onyedika";"Club Brugge KV v Racing White Daring Molenbeek";"96.75";"10440.9";"1290.2";"352.6";"119.1";"471.6";"30.7";"6.5";"37.2";"81.9";"6.5";"88.4";"11.2";"27.70"
"Raphael Onyedika";"KAS Eupen v Club Brugge KV";"95.43";"10212.8";"1423.1";"563.0";"66.0";"629.0";"50.9";"4.7";"55.6";"110.3";"6.6";"100.0";"16.0";"26.30"
"Raphael Onyedika";"KVC Westerlo v Club Brugge KV";"95.65";"11320.3";"1883.7";"559.9";"104.4";"664.3";"45.2";"4.7";"49.9";"88.4";"6.6";"91.3";"16.0";"27.10"
"Raphael Onyedika";"Club Brugge KV v KV Mechelen";"84.01";"10890.8";"1614.5";"538.9";"141.4";"680.3";"38.6";"6.4";"45.0";"97.5";"3.2";"92.1";"12.9";"27.00"
"Raphael Onyedika";"Club Brugge KV v KSV Cercle Brugge";"65.70";"10617.8";"1824.7";"490.4";"156.2";"646.6";"37.0";"8.2";"45.2";"104.1";"8.2";"84.9";"16.4";"28.10"
"Raphael Onyedika";"Club Brugge KV v Standard de Liège";"99.98";"10686.9";"1574.4";"388.9";"90.0";"478.9";"30.6";"5.4";"36.0";"82.8";"1.8";"79.2";"15.3";"28.40"
"Raphael Onyedika";"Club Brugge KV v KAA Gent";"89.45";"11166.2";"1809.1";"418.6";"65.4";"484.0";"42.3";"3.0";"45.3";"114.7";"7.0";"92.6";"15.1";"26.00"
"Raphael Onyedika";"Racing White Daring Molenbeek v Club Brugge KV";"80.78";"10025.0";"1555.3";"469.1";"57.9";"527.0";"34.5";"3.3";"37.9";"98.0";"3.3";"88.0";"11.1";"25.40"
"Raphael Onyedika";"Club Brugge KV v Royale Union Saint-Gilloise";"88.08";"10992.5";"1941.4";"583.4";"106.3";"689.7";"48.0";"5.1";"53.1";"110.4";"2.0";"89.9";"12.3";"27.20"
"Raphael Onyedika";"KRC Genk v Club Brugge KV";"80.88";"10592.4";"1778.2";"393.9";"31.2";"425.1";"34.5";"3.3";"37.8";"110.2";"5.6";"85.7";"15.6";"25.60"
"Raphael Onyedika";"Sint-Truidense VV v Club Brugge KV";"101.55";"11336.2";"1935.6";"566.3";"87.7";"654.1";"45.2";"2.7";"47.9";"119.6";"3.5";"110.8";"9.7";"26.80"
"Raphael Onyedika";"KSV Cercle Brugge v Club Brugge KV";"104.22";"9489.6";"1744.4";"353.2";"50.1";"403.3";"41.5";"2.6";"44.0";"98.4";"7.8";"91.5";"13.0";"25.50"
"Raphael Onyedika";"Club Brugge KV v RSC Anderlecht";"99.68";"10686.6";"1818.4";"438.8";"62.3";"501.1";"42.4";"3.6";"46.0";"101.1";"4.5";"85.8";"15.3";"25.90"
