"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Rokas Pukštas";"NK Slaven v HNK Hajduk Split";"RDM";"99.90";"10819.8";"1950.5";"533.3";"100.9";"634.2";"49.5";"4.5";"54.1";"92.8";"3.6";"92.8";"23.4";"27.30"
"Rokas Pukštas";"HNK Hajduk Split v HNK Rijeka";"RDM";"97.37";"11037.2";"1952.1";"667.4";"175.6";"843.0";"56.4";"7.4";"63.8";"98.0";"3.7";"93.4";"17.6";"28.00"
"Rokas Pukštas";"GNK Dinamo Zagreb v HNK Hajduk Split";"RDM";"96.50";"11790.5";"2414.6";"520.4";"72.7";"593.2";"42.0";"2.8";"44.8";"121.2";"0.9";"115.6";"15.9";"27.20"
"Rokas Pukštas";"NK Osijek v HNK Hajduk Split";"RM";"99.25";"10864.4";"2019.4";"762.6";"111.5";"874.2";"60.8";"5.4";"66.2";"98.8";"5.4";"94.3";"11.8";"27.00"
"Rokas Pukštas";"HNK Hajduk Split v NK Varaždin";"RDM";"96.40";"11567.4";"2113.7";"873.9";"162.4";"1036.3";"62.6";"12.1";"74.7";"105.5";"5.6";"108.3";"16.8";"27.20"
"Rokas Pukštas";"NK Istra 1961 v HNK Hajduk Split";"RM";"98.29";"10440.3";"1868.9";"624.5";"94.3";"718.8";"46.7";"5.5";"52.2";"98.9";"1.8";"90.7";"19.2";"26.00"
"Rokas Pukštas";"HNK Hajduk Split v HNK Gorica";"RM";"93.28";"11281.8";"1875.6";"793.1";"174.6";"967.7";"54.0";"8.7";"62.7";"81.0";"4.8";"91.7";"17.4";"27.80"
"Rokas Pukštas";"NK Lokomotiva Zagreb v HNK Hajduk Split";"RM";"97.45";"11107.5";"1982.9";"699.1";"81.3";"780.4";"58.2";"6.5";"64.6";"112.7";"4.6";"86.8";"22.2";"26.20"
"Rokas Pukštas";"GNK Dinamo Zagreb v HNK Hajduk Split";"RDM";"99.20";"10864.4";"2015.0";"674.1";"104.3";"778.4";"53.5";"5.4";"59.0";"113.4";"5.4";"88.9";"18.1";"27.00"
"Rokas Pukštas";"HNK Hajduk Split v HNK Rijeka";"RDM";"61.63";"11338.0";"2124.8";"781.3";"140.2";"921.5";"58.4";"5.8";"64.3";"119.7";"7.3";"103.7";"13.1";"27.90"
"Rokas Pukštas";"NK Osijek v HNK Hajduk Split";"RDM";"95.80";"11733.8";"2390.9";"708.4";"123.1";"831.4";"53.5";"6.6";"60.1";"88.3";"3.8";"81.7";"19.7";"27.30"
"Rokas Pukštas";"NK Rudeš Zagreb v HNK Hajduk Split";"RDM";"102.65";"10837.7";"1779.0";"666.3";"148.2";"814.5";"47.3";"9.6";"57.0";"76.3";"3.5";"70.1";"21.0";"27.30"
"Rokas Pukštas";"NK Varaždin v HNK Hajduk Split";"RDM";"101.37";"10511.1";"1707.3";"467.0";"73.7";"540.7";"35.5";"5.3";"40.8";"89.7";"5.3";"80.8";"17.8";"26.10"
"Rokas Pukštas";"HNK Hajduk Split v NK Lokomotiva Zagreb";"RDM";"99.38";"11841.8";"2384.5";"1007.0";"224.6";"1231.6";"73.4";"13.6";"86.9";"106.0";"4.5";"113.2";"29.9";"26.60"
"Rokas Pukštas";"HNK Hajduk Split v NK Osijek";"RDM";"100.08";"11089.9";"1946.0";"553.1";"223.9";"777.0";"41.4";"8.1";"49.5";"80.9";"1.8";"89.0";"17.1";"27.50"
