"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Ross Sykes";"KVC Westerlo v Royale Union Saint-Gilloise";"RCB";"96.36";"9965.8";"1396.3";"427.8";"111.1";"538.9";"32.7";"6.5";"39.2";"71.0";"6.5";"60.7";"14.0";"29.30"
"Ross Sykes";"Royale Union Saint-Gilloise v KV Kortrijk";"RCB";"99.10";"10443.1";"1514.8";"521.3";"255.2";"776.5";"42.7";"10.9";"53.6";"80.8";"7.3";"79.9";"11.8";"29.20"
"Ross Sykes";"Sporting Charleroi v Royale Union Saint-Gilloise";"RCB";"93.92";"10923.2";"1574.4";"519.4";"160.0";"679.4";"43.1";"4.8";"47.9";"78.6";"6.7";"69.0";"18.2";"27.70"
"Ross Sykes";"Royale Union Saint-Gilloise v Sint-Truidense VV";"LCB";"104.51";"9831.0";"1261.6";"378.9";"99.0";"477.9";"31.9";"5.2";"37.0";"82.7";"4.3";"60.3";"12.1";"28.90"
"Ross Sykes";"RSC Anderlecht v Royale Union Saint-Gilloise";"LCB";"100.02";"9808.9";"1219.3";"395.9";"109.8";"505.7";"35.1";"6.3";"41.4";"83.7";"5.4";"70.2";"18.0";"27.40"
"Ross Sykes";"Royale Union Saint-Gilloise v Racing White Daring Molenbeek";"LCB";"100.25";"9276.5";"1072.8";"338.5";"94.3";"432.7";"29.6";"2.7";"32.3";"77.2";"5.4";"55.7";"10.8";"27.80"
"Ross Sykes";"KRC Genk v Royale Union Saint-Gilloise";"LCB";"95.74";"9658.0";"1141.2";"452.2";"205.9";"658.0";"38.5";"9.4";"47.9";"74.3";"6.6";"62.0";"14.1";"28.70"
"Ross Sykes";"Royale Union Saint-Gilloise v KVC Westerlo";"RCB";"100.85";"9672.9";"1334.2";"373.9";"71.4";"445.3";"30.3";"2.7";"33.0";"70.5";"3.6";"58.9";"12.5";"28.20"
"Ross Sykes";"KV Kortrijk v Royale Union Saint-Gilloise";"RCB";"96.25";"9679.8";"1068.8";"414.2";"161.8";"576.0";"29.0";"8.4";"37.4";"95.4";"5.6";"71.1";"13.1";"28.60"
"Ross Sykes";"Royale Union Saint-Gilloise v Standard de Liège";"LCB";"106.30";"8964.4";"1000.8";"261.6";"93.1";"354.8";"20.3";"4.2";"24.6";"67.7";"2.5";"56.7";"10.2";"29.20"
"Ross Sykes";"Oud-Heverlee Leuven v Royale Union Saint-Gilloise";"RCB";"106.22";"8924.6";"999.0";"319.4";"134.7";"454.2";"25.4";"7.6";"33.0";"77.1";"3.4";"64.4";"13.6";"30.70"
"Ross Sykes";"Royale Union Saint-Gilloise v KAA Gent";"RCB";"95.38";"10726.8";"1361.6";"475.6";"242.5";"718.1";"41.5";"12.3";"53.8";"75.5";"3.8";"72.7";"14.2";"29.50"
"Ross Sykes";"Royal Antwerp FC v Royale Union Saint-Gilloise";"RCB";"101.10";"10070.0";"1253.4";"497.6";"232.3";"730.0";"43.6";"11.6";"55.2";"93.5";"4.5";"89.9";"16.9";"29.70"
"Ross Sykes";"KRC Genk v Royale Union Saint-Gilloise";"LCB";"99.37";"9462.8";"1222.7";"533.5";"205.6";"739.1";"39.9";"11.8";"51.6";"85.1";"1.8";"57.1";"13.6";"31.00"
"Ross Sykes";"Royale Union Saint-Gilloise v KSV Cercle Brugge";"RCB";"104.33";"9171.7";"1137.8";"352.8";"182.0";"534.8";"23.3";"6.0";"29.3";"86.3";"4.3";"59.5";"10.4";"27.50"
"Ross Sykes";"RSC Anderlecht v Royale Union Saint-Gilloise";"RCB";"101.39";"9498.0";"1263.1";"356.8";"92.3";"449.2";"26.6";"4.4";"31.1";"88.8";"5.3";"57.7";"15.1";"26.70"
