"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Sven Kums";"KSV Cercle Brugge v KAA Gent";"RM";"100.62";"10152.1";"1831.8";"424.9";"25.9";"450.8";"42.0";"2.7";"44.7";"89.4";"3.6";"86.8";"10.7";"24.40"
"Sven Kums";"KAA Gent v Maccabi Tel Aviv FC";"RM";"97.31";"10773.0";"1788.7";"596.5";"78.6";"675.2";"52.7";"3.7";"56.4";"99.9";"4.6";"88.8";"7.4";"25.90"
"Sven Kums";"Royal Antwerp FC v KAA Gent";"RM";"97.79";"11365.3";"1556.3";"366.3";"6.4";"372.7";"30.4";"0.9";"31.3";"94.8";"0.9";"115.0";"10.1";"24.30"
"Sven Kums";"Racing White Daring Molenbeek v KAA Gent";"RM";"104.07";"10290.3";"1360.3";"339.9";"29.4";"369.3";"26.8";"1.7";"28.5";"93.4";"4.3";"89.1";"8.6";"24.90"
"Sven Kums";"Oud-Heverlee Leuven v KAA Gent";"LM";"103.58";"9653.4";"1601.4";"416.2";"29.5";"445.7";"39.1";"3.5";"42.6";"99.9";"2.6";"81.7";"7.0";"24.90"
"Sven Kums";"FC Zorya Lugansk v KAA Gent";"LM";"94.62";"10645.5";"1548.5";"565.0";"58.0";"623.0";"44.7";"3.8";"48.5";"102.7";"4.8";"89.4";"12.4";"26.10"
"Sven Kums";"KAA Gent v Club Brugge KV";"LM";"102.70";"10323.3";"1711.5";"353.2";"21.9";"375.1";"37.7";"2.6";"40.3";"91.1";"2.6";"83.3";"13.1";"24.90"
"Sven Kums";"Apoel Nicosia FC v KAA Gent";"LM";"82.07";"10223.8";"1806.1";"318.0";"50.4";"368.5";"29.6";"2.2";"31.8";"86.6";"2.2";"81.2";"15.4";"26.10"
"Sven Kums";"KAA Gent v Apoel Nicosia FC";"RM";"96.43";"10818.1";"1644.5";"566.5";"71.9";"638.4";"40.1";"4.7";"44.8";"99.9";"4.7";"91.5";"10.3";"26.10"
"Sven Kums";"KAA Gent v Standard de Liège";"RM";"101.23";"10936.4";"2122.2";"556.6";"32.9";"589.4";"44.5";"1.8";"46.2";"94.2";"3.6";"80.0";"8.0";"24.70"
"Sven Kums";"KVC Westerlo v KAA Gent";"LM";"102.55";"10484.9";"1810.5";"424.8";"56.2";"480.9";"39.5";"2.6";"42.1";"67.6";"5.3";"69.3";"7.9";"25.20"
"Sven Kums";"KAA Gent v Pogoń Szczecin";"RM";"95.57";"11217.7";"2102.9";"549.0";"23.5";"572.6";"49.9";"1.9";"51.8";"105.5";"6.6";"88.5";"12.2";"24.70"
"Sven Kums";"KV Mechelen v KAA Gent";"LM";"95.66";"11530.8";"1924.9";"567.3";"90.3";"657.6";"48.9";"5.6";"54.6";"112.0";"2.8";"113.8";"12.2";"26.20"
"Sven Kums";"KAA Gent v KV Kortrijk";"RM";"99.27";"11602.9";"2097.9";"576.6";"25.4";"602.0";"55.3";"0.9";"56.2";"117.0";"2.7";"103.4";"16.3";"24.20"
"Sven Kums";"Sporting Charleroi v KAA Gent";"RM";"80.59";"11064.9";"1910.8";"472.4";"7.8";"480.2";"40.2";"0.0";"40.2";"98.3";"2.2";"88.2";"10.1";"24.00"
"Sven Kums";"KAA Gent v RSC Anderlecht";"RM";"100.55";"10901.1";"2039.9";"461.9";"18.8";"480.7";"41.2";"0.9";"42.1";"110.1";"1.8";"82.3";"9.8";"24.50"
"Sven Kums";"KAA Gent v Royale Union Saint-Gilloise";"RM";"99.85";"10846.0";"1857.7";"618.3";"82.9";"701.3";"59.5";"4.5";"64.0";"102.8";"0.0";"91.9";"14.4";"25.30"
"Sven Kums";"KAA Gent v FC Zorya Lugansk";"RM";"60.37";"11616.4";"2207.9";"517.3";"102.9";"620.2";"53.7";"3.0";"56.7";"96.9";"0.0";"92.4";"11.9";"26.50"
"Sven Kums";"KRC Genk v KAA Gent";"RM";"105.13";"10829.4";"1952.7";"520.5";"59.9";"580.4";"38.5";"1.7";"40.2";"116.4";"0.9";"93.3";"9.4";"24.20"
"Sven Kums";"KAA Gent v KRC Genk";"LM";"103.98";"10297.5";"1909.4";"340.2";"62.3";"402.5";"32.0";"2.6";"34.6";"90.0";"3.5";"75.3";"9.5";"24.70"
