"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Toby Alderweireld";"KV Mechelen v Royal Antwerp FC";"RCB";"96.05";"9885.5";"1299.6";"434.8";"75.0";"509.7";"41.2";"6.6";"47.8";"78.7";"5.6";"67.5";"15.0";"26.40"
"Toby Alderweireld";"Royal Antwerp FC v KAA Gent";"RCB";"97.79";"10097.0";"1292.2";"498.8";"65.3";"564.2";"35.9";"6.4";"42.3";"75.5";"2.8";"63.5";"14.7";"26.50"
"Toby Alderweireld";"Royal Antwerp FC v Racing White Daring Molenbeek";"RCB";"98.86";"9920.4";"1178.0";"456.1";"81.0";"537.1";"36.4";"4.6";"41.0";"87.4";"4.6";"70.1";"9.1";"27.50"
"Toby Alderweireld";"Sporting Charleroi v Royal Antwerp FC";"RCB";"100.72";"9514.7";"1085.7";"326.2";"93.8";"420.0";"22.3";"5.4";"27.7";"82.2";"2.7";"55.4";"12.5";"27.80"
"Toby Alderweireld";"Royal Antwerp FC v KAS Eupen";"RCB";"98.22";"9461.8";"1173.8";"284.1";"36.7";"320.7";"33.9";"2.7";"36.7";"99.0";"7.3";"72.4";"7.3";"25.90"
"Toby Alderweireld";"KVC Westerlo v Royal Antwerp FC";"RCB";"96.37";"9663.1";"1264.5";"265.2";"56.0";"321.3";"25.2";"4.7";"29.9";"77.5";"5.6";"65.4";"10.3";"26.10"
"Toby Alderweireld";"Club Brugge KV v Royal Antwerp FC";"RCB";"97.63";"9217.6";"1121.9";"211.1";"20.3";"231.4";"19.4";"1.8";"21.2";"77.4";"6.5";"65.5";"10.1";"24.50"
"Toby Alderweireld";"Oud-Heverlee Leuven v Royal Antwerp FC";"RCB";"100.68";"9054.5";"968.1";"386.2";"153.8";"539.9";"29.5";"7.2";"36.7";"69.7";"4.5";"53.6";"10.7";"29.20"
"Toby Alderweireld";"Royal Antwerp FC v KV Kortrijk";"RCB";"95.32";"9612.8";"1075.4";"398.4";"127.5";"525.9";"35.9";"6.6";"42.5";"87.8";"2.8";"67.0";"11.3";"28.40"
"Toby Alderweireld";"RSC Anderlecht v Royal Antwerp FC";"RCB";"103.34";"9104.5";"902.3";"224.7";"71.4";"296.1";"25.3";"3.5";"28.7";"67.9";"0.9";"59.2";"13.1";"29.60"
"Toby Alderweireld";"Royal Antwerp FC v KSV Cercle Brugge";"RCB";"97.67";"9234.1";"1151.8";"223.9";"110.6";"334.5";"23.0";"5.5";"28.6";"70.0";"0.9";"52.5";"10.1";"28.20"
"Toby Alderweireld";"Royal Antwerp FC v KRC Genk";"RCB";"106.83";"8807.9";"1160.9";"365.6";"84.2";"449.9";"34.5";"4.2";"38.8";"91.8";"0.8";"64.9";"11.0";"26.60"
