"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Toluwalase Emmanuel Arokodare";"KRC Genk v KVC Westerlo";"CF";"69.70";"9627.5";"1255.1";"503.6";"215.6";"719.2";"47.8";"7.7";"55.5";"93.0";"10.3";"63.3";"22.0";"29.00"
"Toluwalase Emmanuel Arokodare";"FK Cukaricki Belgrade v KRC Genk";"CF";"79.35";"9204.2";"1194.3";"587.5";"229.1";"816.6";"49.9";"12.5";"62.4";"77.1";"13.6";"71.5";"21.6";"30.10"
"Toluwalase Emmanuel Arokodare";"KRC Genk v Sporting Charleroi";"CF";"64.79";"9704.3";"1183.5";"523.7";"254.2";"777.9";"55.6";"11.1";"66.7";"82.0";"13.9";"76.4";"19.4";"29.80"
"Toluwalase Emmanuel Arokodare";"Olympiakos Le Pirée v KRC Genk";"CF";"72.98";"9287.3";"1211.0";"439.0";"37.0";"476.0";"40.7";"2.5";"43.2";"90.0";"7.4";"69.1";"12.3";"25.00"
"Toluwalase Emmanuel Arokodare";"KV Kortrijk v KRC Genk";"CF";"78.27";"9734.8";"1245.3";"604.8";"230.0";"834.8";"47.1";"10.3";"57.5";"89.7";"11.5";"82.8";"19.5";"32.50"
"Toluwalase Emmanuel Arokodare";"KRC Genk v Oud-Heverlee Leuven";"CF";"94.37";"9384.3";"1164.5";"479.7";"207.0";"686.7";"45.8";"6.7";"52.5";"83.9";"16.2";"74.4";"21.9";"32.20"
"Toluwalase Emmanuel Arokodare";"Fiorentina v KRC Genk";"CF";"62.68";"9565.7";"1262.1";"570.0";"182.4";"752.4";"48.8";"10.1";"58.9";"89.0";"5.7";"64.6";"15.8";"27.30"
"Toluwalase Emmanuel Arokodare";"KRC Genk v KSV Cercle Brugge";"CF";"101.72";"8652.3";"1119.2";"377.8";"190.2";"568.0";"40.7";"10.6";"51.3";"80.5";"11.5";"66.4";"20.3";"29.80"
"Toluwalase Emmanuel Arokodare";"Sint-Truidense VV v KRC Genk";"CF";"86.43";"9014.6";"1091.3";"388.4";"151.0";"539.4";"37.5";"6.2";"43.7";"118.7";"7.3";"84.3";"14.6";"30.80"
"Toluwalase Emmanuel Arokodare";"Oud-Heverlee Leuven v KRC Genk";"CF";"101.73";"9689.2";"1391.6";"557.4";"221.2";"778.5";"56.6";"12.4";"69.0";"82.3";"7.1";"70.8";"15.9";"31.50"
"Toluwalase Emmanuel Arokodare";"KV Mechelen v KRC Genk";"CF";"100.15";"9061.1";"1092.8";"410.7";"175.2";"585.9";"32.4";"9.9";"42.2";"84.5";"10.8";"62.0";"18.0";"30.30"
"Toluwalase Emmanuel Arokodare";"KRC Genk v Racing White Daring Molenbeek";"CF";"67.55";"9586.2";"967.3";"542.3";"174.5";"716.8";"49.3";"9.3";"58.6";"85.3";"4.0";"66.6";"18.7";"29.30"
"Toluwalase Emmanuel Arokodare";"Sporting Charleroi v KRC Genk";"CF";"99.43";"8707.6";"980.3";"321.3";"51.6";"372.9";"26.2";"5.4";"31.7";"87.8";"7.2";"63.4";"13.6";"26.40"
"Toluwalase Emmanuel Arokodare";"KRC Genk v Standard de Liège";"CF";"64.03";"9260.0";"1357.8";"591.8";"158.8";"750.6";"52.0";"18.3";"70.3";"92.8";"12.7";"80.1";"28.1";"28.00"
"Toluwalase Emmanuel Arokodare";"KVC Westerlo v KRC Genk";"CF";"102.53";"8843.8";"1155.2";"520.5";"187.8";"708.4";"40.4";"12.3";"52.7";"70.2";"7.0";"54.4";"15.8";"29.60"
"Toluwalase Emmanuel Arokodare";"KRC Genk v Royale Union Saint-Gilloise";"CF";"99.37";"9008.2";"1053.3";"554.3";"365.0";"919.3";"50.7";"18.1";"68.8";"86.0";"11.8";"67.9";"20.8";"32.80"
