"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Thierno Barry";"FC Basel v FC Luzern";"CF";"88.37";"9974.7";"1191.6";"630.4";"560.1";"1190.6";"44.8";"21.4";"66.2";"69.3";"6.1";"66.2";"19.4";"32.20"
"Thierno Barry";"FC Basel v Servette FC";"LW";"74.32";"9930.0";"1300.6";"709.6";"278.5";"988.2";"61.8";"15.7";"77.5";"87.2";"18.2";"78.7";"26.6";"30.20"
"Thierno Barry";"FC Basel v FC Zürich";"LW";"71.55";"9922.0";"1401.3";"602.5";"313.2";"915.7";"47.8";"11.3";"59.1";"79.2";"11.3";"73.0";"17.6";"31.10"
"Thierno Barry";"Grasshopper Club Zürich v FC Basel";"CF";"95.24";"9600.1";"1217.1";"631.2";"256.1";"887.3";"54.8";"12.3";"67.1";"80.3";"11.3";"69.0";"12.3";"28.10"
"Thierno Barry";"FC St. Gallen v FC Basel";"CF";"70.03";"9769.8";"1385.4";"809.7";"204.3";"1014.0";"59.1";"11.6";"70.7";"82.3";"10.3";"56.5";"19.3";"28.70"
"Thierno Barry";"FC Basel v FC St. Gallen";"CF";"71.21";"9868.3";"1266.4";"759.6";"463.8";"1223.4";"69.5";"24.0";"93.5";"82.2";"3.8";"67.0";"22.7";"31.60"
"Thierno Barry";"FC Zürich v FC Basel";"CF";"97.74";"10343.5";"1516.6";"732.0";"313.1";"1045.1";"68.1";"15.7";"83.8";"92.1";"7.4";"71.8";"17.5";"28.90"
"Thierno Barry";"FC Basel v BSC Young Boys";"CF";"94.72";"10907.0";"1656.1";"799.1";"557.7";"1356.8";"65.6";"25.7";"91.2";"100.7";"10.5";"78.9";"22.8";"30.90"
"Thierno Barry";"FC Winterthur v FC Basel";"CF";"86.39";"9655.3";"1043.9";"641.7";"295.9";"937.6";"55.2";"14.6";"69.8";"84.4";"11.5";"67.7";"20.8";"30.70"
"Thierno Barry";"FC Basel v Lugano";"CF";"67.20";"10723.7";"1625.9";"887.9";"447.3";"1335.3";"81.7";"17.4";"99.1";"104.5";"13.4";"81.7";"32.1";"31.10"
"Thierno Barry";"FC Basel v FC St. Gallen";"CF";"98.88";"10508.2";"1544.6";"804.6";"411.4";"1216.0";"59.2";"19.1";"78.3";"83.7";"11.8";"72.8";"20.9";"30.20"
"Thierno Barry";"Grasshopper Club Zürich v FC Basel";"CF";"96.31";"9773.8";"1271.8";"574.7";"218.7";"793.4";"59.8";"11.2";"71.0";"83.2";"10.3";"70.1";"17.8";"29.50"
"Thierno Barry";"Yverdon Sport FC v FC Basel";"CF";"95.70";"9750.5";"1385.3";"640.4";"384.6";"1025.1";"46.1";"20.7";"66.8";"59.2";"9.4";"48.0";"22.6";"29.40"
"Thierno Barry";"FC Basel v FC Lausanne-Sports";"CF";"100.07";"9891.3";"1162.9";"581.9";"280.6";"862.5";"56.7";"12.6";"69.3";"80.0";"10.8";"68.4";"21.6";"31.00"
"Thierno Barry";"BSC Young Boys v FC Basel";"CF";"94.87";"10122.3";"1397.4";"703.0";"473.4";"1176.3";"64.5";"19.0";"83.5";"74.9";"11.4";"74.0";"31.3";"32.20"
"Thierno Barry";"FC Basel v FC Winterthur";"CF";"96.58";"10379.2";"1354.0";"557.3";"318.7";"876.0";"47.5";"12.1";"59.6";"80.1";"9.3";"83.9";"23.3";"31.00"
"Thierno Barry";"FC Basel v FC Zürich";"CF";"98.62";"9258.3";"1096.0";"542.1";"432.6";"974.7";"44.7";"16.4";"61.1";"73.9";"11.0";"68.4";"17.3";"31.70"
"Thierno Barry";"FC Stade Lausanne-Ouchy v FC Basel";"CF";"93.10";"10561.2";"1425.9";"853.6";"530.7";"1384.3";"64.8";"28.0";"92.8";"67.7";"14.5";"58.0";"34.8";"30.80"
"Thierno Barry";"FC Basel v Servette FC";"CF";"97.50";"9581.5";"1130.8";"589.8";"373.8";"963.7";"46.2";"14.8";"60.9";"84.9";"9.2";"69.2";"22.2";"30.70"
"Thierno Barry";"FC Luzern v FC Basel";"CF";"99.22";"9244.9";"1171.0";"626.8";"319.3";"946.1";"52.6";"15.4";"68.0";"78.0";"9.1";"68.0";"20.9";"29.80"
