"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Till Cissokho";"Dunkerque v US Quevilly-Rouen";"LCB";"98.08";"9384.5";"944.2";"336.8";"47.7";"384.5";"28.4";"4.6";"33.0";"56.0";"5.5";"53.2";"5.5";"26.40"
"Till Cissokho";"US Quevilly-Rouen v Angers SCO";"LCB";"98.25";"9742.9";"1124.0";"344.4";"92.5";"436.9";"25.6";"5.5";"31.1";"59.5";"4.6";"55.0";"9.2";"28.10"
"Till Cissokho";"US Quevilly-Rouen v US Concarneau";"LCB";"104.22";"8350.6";"850.6";"262.5";"123.5";"386.0";"21.6";"6.9";"28.5";"79.4";"4.3";"62.2";"9.5";"28.90"
"Till Cissokho";"En Avant de Guingamp v US Quevilly-Rouen";"LCB";"97.89";"9015.6";"896.4";"322.7";"55.2";"377.9";"26.7";"5.5";"32.2";"75.4";"4.6";"53.3";"8.3";"26.40"
"Till Cissokho";"Grenoble Foot 38 v US Quevilly-Rouen";"LCB";"96.38";"9996.4";"1160.7";"330.6";"113.0";"443.6";"30.8";"5.6";"36.4";"76.6";"4.7";"57.0";"15.9";"28.80"
"Till Cissokho";"ES Troyes AC v US Quevilly-Rouen";"LCB";"100.52";"9381.4";"989.4";"188.9";"56.4";"245.3";"21.5";"1.8";"23.3";"63.6";"1.8";"50.1";"10.7";"28.00"
"Till Cissokho";"US Quevilly-Rouen v Stade Lavallois Mayenne FC";"LCB";"96.68";"9261.6";"1006.3";"243.9";"52.1";"296.0";"26.1";"2.8";"28.9";"68.9";"2.8";"53.1";"9.3";"26.60"
"Till Cissokho";"US Quevilly-Rouen v AC Ajaccio";"LCB";"101.40";"9160.7";"900.9";"216.6";"52.4";"268.9";"17.8";"2.7";"20.4";"67.5";"4.4";"53.3";"10.7";"28.90"
"Till Cissokho";"Amiens Sporting Club v US Quevilly-Rouen";"LCB";"97.84";"9820.5";"1264.8";"386.3";"109.5";"495.8";"34.0";"8.3";"42.3";"75.4";"4.6";"62.6";"10.1";"27.40"
"Till Cissokho";"US Quevilly-Rouen v Rodez Aveyron";"LCB";"101.42";"9409.1";"1014.3";"250.2";"118.0";"368.3";"23.1";"6.2";"29.3";"65.7";"1.8";"52.4";"8.9";"31.40"
"Till Cissokho";"SM Caen v US Quevilly-Rouen";"LCB";"101.49";"8881.2";"868.2";"195.1";"38.1";"233.2";"19.5";"2.7";"22.2";"71.8";"1.8";"55.0";"8.0";"27.10"
"Till Cissokho";"AJ Auxerre v US Quevilly-Rouen";"LCB";"99.75";"9558.5";"895.9";"252.6";"44.2";"296.8";"25.3";"3.6";"28.9";"86.6";"8.1";"69.5";"9.0";"26.80"
"Till Cissokho";"Angers SCO v US Quevilly-Rouen";"LCB";"98.20";"10380.2";"1347.3";"406.0";"101.7";"507.7";"28.4";"3.7";"32.1";"65.1";"5.5";"55.9";"7.3";"27.50"
"Till Cissokho";"US Quevilly-Rouen v Grenoble Foot 38";"LCB";"97.43";"9663.2";"1115.9";"333.5";"94.2";"427.7";"26.8";"4.6";"31.4";"78.5";"4.6";"62.8";"7.4";"27.30"
"Till Cissokho";"Stade Lavallois Mayenne FC v US Quevilly-Rouen";"LCB";"102.53";"10044.6";"1076.2";"309.0";"90.4";"399.4";"20.2";"4.4";"24.6";"90.4";"4.4";"72.0";"9.7";"28.60"
"Till Cissokho";"US Quevilly-Rouen v SC Bastia";"LCB";"98.17";"9430.0";"1170.7";"298.9";"47.7";"346.5";"23.8";"1.8";"25.7";"66.0";"4.6";"57.8";"7.3";"26.80"
"Till Cissokho";"Pau FC v US Quevilly-Rouen";"LCB";"100.68";"9506.0";"882.3";"222.6";"23.2";"245.8";"18.8";"2.7";"21.5";"67.9";"0.0";"48.3";"6.3";"26.40"
"Till Cissokho";"US Quevilly-Rouen v Paris FC";"LCB";"94.45";"10469.3";"1257.8";"286.8";"66.7";"353.5";"28.6";"3.8";"32.4";"88.6";"2.9";"62.9";"13.3";"27.80"
"Till Cissokho";"FC Annecy v US Quevilly-Rouen";"LCB";"97.99";"9607.1";"1005.7";"336.2";"164.4";"500.6";"24.8";"7.3";"32.1";"61.5";"3.7";"51.4";"11.0";"29.20"
"Till Cissokho";"Girondins de Bordeaux v US Quevilly-Rouen";"LCB";"98.93";"10304.6";"1028.9";"262.0";"86.4";"348.4";"30.0";"3.6";"33.7";"71.9";"1.8";"63.7";"15.5";"26.80"
"Till Cissokho";"US Quevilly-Rouen v ES Troyes AC";"LCB";"100.60";"9934.9";"1213.1";"314.9";"62.6";"377.5";"27.7";"2.7";"30.4";"54.6";"4.5";"42.0";"7.2";"26.70"
"Till Cissokho";"US Quevilly-Rouen v SM Caen";"LCB";"100.75";"9827.2";"1122.9";"419.9";"144.7";"564.6";"30.4";"7.1";"37.5";"72.4";"1.8";"51.8";"11.6";"30.50"
"Till Cissokho";"Rodez Aveyron v US Quevilly-Rouen";"LCB";"99.81";"10115.4";"1292.2";"374.2";"136.2";"510.4";"31.6";"5.4";"37.0";"70.3";"1.8";"57.7";"8.1";"27.50"
"Till Cissokho";"US Quevilly-Rouen v AJ Auxerre";"LCB";"102.58";"10054.6";"1180.9";"325.5";"49.1";"374.6";"29.8";"3.5";"33.3";"68.4";"7.0";"62.3";"7.9";"25.80"
"Till Cissokho";"US Quevilly-Rouen v Pau FC";"LCB";"102.33";"9002.6";"839.9";"286.7";"126.6";"413.4";"17.6";"7.0";"24.6";"72.1";"4.4";"56.3";"7.9";"30.40"
"Till Cissokho";"US Quevilly-Rouen v FC Annecy";"LCB";"97.75";"9806.5";"1092.9";"313.0";"61.7";"374.7";"22.1";"7.4";"29.5";"57.1";"7.4";"53.4";"10.1";"28.50"
"Till Cissokho";"US Concarneau v US Quevilly-Rouen";"LCB";"95.63";"10248.9";"1224.4";"324.7";"109.2";"433.9";"22.6";"4.7";"27.3";"63.1";"4.7";"63.1";"11.3";"27.60"
