"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Thorgan Hazard";"Standard de Liège v RSC Anderlecht";"LF";"71.52";"10911.5";"2086.4";"718.5";"242.9";"961.4";"61.7";"10.1";"71.7";"95.6";"11.3";"75.5";"17.6";"28.70"
"Thorgan Hazard";"RSC Anderlecht v KV Mechelen";"LF";"83.58";"11394.8";"1836.0";"705.3";"345.7";"1051.0";"62.5";"14.0";"76.5";"81.8";"3.2";"75.4";"15.1";"30.90"
"Thorgan Hazard";"KAS Eupen v RSC Anderlecht";"LF";"82.47";"11551.5";"2021.1";"844.7";"218.3";"1062.9";"87.3";"10.9";"98.2";"139.7";"8.7";"86.2";"25.1";"28.40"
"Thorgan Hazard";"RSC Anderlecht v Club Brugge KV";"AM";"80.40";"11885.8";"2284.7";"810.4";"201.5";"1011.9";"63.8";"12.3";"76.1";"106.3";"6.7";"81.7";"16.8";"27.70"
"Thorgan Hazard";"RSC Anderlecht v Oud-Heverlee Leuven";"LF";"82.77";"10600.6";"1902.9";"664.4";"236.0";"900.3";"64.2";"14.1";"78.3";"102.2";"8.7";"84.8";"18.5";"29.50"
"Thorgan Hazard";"KSV Cercle Brugge v RSC Anderlecht";"LF";"90.48";"10031.5";"1546.8";"490.4";"115.4";"605.8";"52.7";"9.0";"61.7";"92.5";"13.9";"72.6";"16.9";"27.30"
"Thorgan Hazard";"KAA Gent v RSC Anderlecht";"LF";"100.55";"10693.5";"1963.8";"844.1";"130.7";"974.7";"73.4";"9.0";"82.3";"91.3";"5.4";"85.9";"16.1";"26.90"
"Thorgan Hazard";"Oud-Heverlee Leuven v RSC Anderlecht";"LW";"89.74";"10230.6";"1810.2";"687.0";"164.5";"851.5";"63.2";"9.0";"72.2";"92.3";"9.0";"77.2";"15.0";"27.10"
"Thorgan Hazard";"KV Mechelen v RSC Anderlecht";"LF";"98.49";"11737.7";"1995.7";"848.0";"254.9";"1103.0";"71.3";"17.4";"88.6";"95.9";"1.8";"73.1";"17.4";"27.30"
"Thorgan Hazard";"RSC Anderlecht v KAA Gent";"LF";"85.12";"11202.4";"2025.8";"720.0";"241.1";"961.1";"61.3";"14.8";"76.1";"98.3";"6.3";"65.6";"21.1";"29.50"
"Thorgan Hazard";"Sporting Charleroi v RSC Anderlecht";"LF";"96.07";"10009.9";"1677.8";"702.6";"182.7";"885.3";"58.1";"12.2";"70.3";"89.9";"4.7";"82.4";"17.8";"28.10"
"Thorgan Hazard";"RSC Anderlecht v Sint-Truidense VV";"LF";"82.68";"11637.5";"1985.5";"658.6";"180.7";"839.3";"54.4";"8.7";"63.1";"88.2";"6.5";"77.3";"16.3";"27.30"
"Thorgan Hazard";"Club Brugge KV v RSC Anderlecht";"LF";"99.33";"10817.6";"1879.2";"801.0";"340.7";"1141.6";"64.3";"17.2";"81.5";"82.5";"8.2";"61.6";"17.2";"30.00"
"Thorgan Hazard";"RSC Anderlecht v KAS Eupen";"LF";"94.60";"11587.7";"2075.9";"846.7";"333.0";"1179.7";"67.5";"20.0";"87.5";"104.7";"1.9";"79.9";"21.9";"29.70"
"Thorgan Hazard";"Racing White Daring Molenbeek v RSC Anderlecht";"LF";"97.57";"10449.1";"1671.4";"636.5";"219.5";"856.0";"56.3";"10.1";"66.4";"95.9";"10.1";"71.9";"15.7";"28.40"
"Thorgan Hazard";"RSC Anderlecht v Royal Antwerp FC";"LF";"97.28";"10431.2";"1613.5";"707.8";"123.0";"830.8";"62.9";"12.0";"74.9";"93.4";"5.6";"84.2";"15.7";"27.20"
"Thorgan Hazard";"Club Brugge KV v RSC Anderlecht";"LF";"78.90";"11503.8";"2176.4";"779.1";"222.4";"1001.5";"67.3";"12.5";"79.8";"90.1";"9.1";"70.7";"16.0";"27.90"
