"Player";"Match";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Théo Leoni";"Standard de Liège v RSC Anderlecht";"103.00";"10315.9";"1593.8";"574.1";"125.8";"699.9";"49.8";"5.2";"55.0";"77.8";"4.4";"70.8";"9.6";"27.30"
"Théo Leoni";"RSC Anderlecht v KV Mechelen";"95.88";"11714.6";"1928.0";"766.0";"148.3";"914.3";"58.2";"7.5";"65.7";"86.4";"2.8";"77.0";"17.8";"27.10"
"Théo Leoni";"KAS Eupen v RSC Anderlecht";"99.37";"11442.7";"1796.9";"838.7";"237.3";"1076.0";"72.5";"10.0";"82.4";"122.3";"2.7";"95.1";"19.0";"27.90"
"Théo Leoni";"RSC Anderlecht v Club Brugge KV";"100.75";"11415.5";"1843.8";"664.6";"117.9";"782.5";"46.5";"6.3";"52.7";"90.2";"2.7";"74.1";"17.9";"27.10"
"Théo Leoni";"KV Kortrijk v RSC Anderlecht";"77.13";"11513.4";"1800.5";"774.8";"129.5";"904.3";"54.8";"8.2";"63.0";"91.0";"3.5";"79.3";"22.2";"26.20"
"Théo Leoni";"RSC Anderlecht v Oud-Heverlee Leuven";"82.77";"10759.3";"1947.4";"556.7";"56.5";"613.3";"48.9";"3.3";"52.2";"94.6";"4.3";"82.6";"15.2";"26.30"
"Théo Leoni";"KRC Genk v RSC Anderlecht";"101.52";"11148.0";"1823.6";"614.4";"145.4";"759.8";"39.9";"7.1";"47.0";"79.8";"2.7";"79.8";"11.5";"27.00"
"Théo Leoni";"RSC Anderlecht v Sporting Charleroi";"99.38";"11103.7";"2181.6";"614.0";"145.8";"759.8";"55.2";"9.1";"64.3";"113.2";"4.5";"80.6";"18.1";"26.80"
"Théo Leoni";"RSC Anderlecht v KVC Westerlo";"101.40";"10969.5";"1822.2";"691.4";"172.2";"863.6";"56.8";"9.8";"66.6";"79.9";"0.9";"74.6";"12.4";"29.00"
"Théo Leoni";"Sint-Truidense VV v RSC Anderlecht";"99.51";"11361.5";"1975.3";"774.2";"202.6";"976.8";"56.1";"9.9";"66.0";"98.6";"3.6";"85.0";"19.9";"29.30"
"Théo Leoni";"RSC Anderlecht v Royal Antwerp FC";"103.34";"11315.8";"1794.1";"570.4";"163.7";"734.2";"52.3";"10.5";"62.7";"82.7";"2.6";"85.3";"14.8";"27.00"
"Théo Leoni";"RSC Anderlecht v Racing White Daring Molenbeek";"64.93";"11361.9";"1943.3";"510.1";"105.3";"615.4";"41.6";"1.4";"43.0";"115.0";"1.4";"92.9";"16.6";"31.10"
"Théo Leoni";"Royal Antwerp FC v RSC Anderlecht";"96.61";"11389.5";"1928.4";"702.4";"129.5";"831.9";"52.2";"6.5";"58.7";"95.0";"4.7";"81.0";"18.6";"27.60"
"Théo Leoni";"RSC Anderlecht v KRC Genk";"103.45";"10830.4";"1960.9";"663.8";"57.4";"721.2";"47.0";"3.5";"50.5";"92.2";"2.6";"87.0";"14.8";"25.40"
"Théo Leoni";"RSC Anderlecht v KSV Cercle Brugge";"103.36";"10159.0";"1694.5";"397.1";"62.7";"459.8";"35.7";"3.5";"39.2";"89.7";"0.9";"72.3";"13.9";"25.60"
"Théo Leoni";"Oud-Heverlee Leuven v RSC Anderlecht";"102.04";"10753.4";"1573.5";"582.1";"65.3";"647.4";"40.6";"6.2";"46.7";"88.2";"4.4";"87.3";"12.3";"25.50"
"Théo Leoni";"RSC Anderlecht v Royale Union Saint-Gilloise";"72.79";"11920.5";"2278.7";"693.6";"105.1";"798.7";"53.2";"6.2";"59.3";"97.7";"2.5";"91.5";"14.8";"25.80"
"Théo Leoni";"KV Mechelen v RSC Anderlecht";"68.50";"12249.2";"2280.9";"752.8";"127.4";"880.3";"56.5";"9.2";"65.7";"118.2";"5.3";"109.1";"19.7";"25.80"
"Théo Leoni";"RSC Anderlecht v KAS Eupen";"83.77";"11594.6";"1973.6";"555.4";"77.4";"632.8";"46.2";"5.4";"51.6";"94.5";"5.4";"96.7";"22.6";"27.00"
"Théo Leoni";"Racing White Daring Molenbeek v RSC Anderlecht";"97.57";"10969.4";"1592.1";"483.3";"110.7";"594.0";"42.4";"8.3";"50.7";"83.0";"4.6";"91.3";"10.1";"26.10"
"Théo Leoni";"RSC Anderlecht v Royal Antwerp FC";"100.47";"10881.2";"1658.1";"493.6";"119.1";"612.7";"41.2";"5.4";"46.6";"104.8";"1.8";"71.7";"14.3";"28.10"
"Théo Leoni";"Club Brugge KV v RSC Anderlecht";"99.68";"11320.4";"2014.3";"514.6";"109.2";"623.9";"43.3";"6.3";"49.7";"87.6";"4.5";"80.4";"13.5";"27.30"
"Théo Leoni";"RSC Anderlecht v Royale Union Saint-Gilloise";"101.39";"10750.5";"1904.0";"614.3";"195.3";"809.5";"49.7";"10.7";"60.4";"102.1";"2.7";"83.4";"15.1";"26.90"
