"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Tomáš  Rigo";"FK Teplice v FC Baník Ostrava";"RDM";"99.63";"9846.4";"1215.0";"476.1";"224.0";"700.1";"29.8";"12.6";"42.5";"65.9";"4.5";"69.6";"11.7";"28.70"
"Tomáš  Rigo";"FC Baník Ostrava v FK Pardubice";"LDM";"67.57";"11380.2";"1756.8";"631.3";"177.1";"808.5";"41.3";"6.7";"48.0";"71.9";"5.3";"67.9";"12.0";"29.20"
"Tomáš  Rigo";"SK Sigma Olomouc v FC Baník Ostrava";"LDM";"98.33";"10622.8";"1621.9";"405.5";"129.1";"534.5";"35.7";"8.2";"43.9";"89.7";"4.6";"72.3";"11.0";"27.20"
"Tomáš  Rigo";"FC Baník Ostrava v FC Fastav Zlin";"LDM";"78.73";"11129.7";"1813.0";"443.5";"74.3";"517.8";"38.9";"4.6";"43.4";"72.0";"6.9";"70.9";"11.4";"26.70"
"Tomáš  Rigo";"FC Baník Ostrava v FK Jablonec";"LDM";"97.40";"10679.9";"1442.4";"472.2";"132.1";"604.3";"33.3";"7.4";"40.7";"67.5";"2.8";"72.1";"11.1";"28.00"
"Tomáš  Rigo";"FC Bohemians 1905 v FC Baník Ostrava";"LDM";"98.51";"9952.0";"1308.3";"322.5";"82.2";"404.7";"24.7";"4.6";"29.2";"71.3";"3.7";"56.6";"7.3";"26.90"
"Tomáš  Rigo";"FC Baník Ostrava v FK Mladá Boleslav";"LM";"97.45";"9807.2";"1270.8";"363.0";"109.9";"472.9";"31.4";"5.5";"36.9";"80.3";"2.8";"70.2";"6.5";"27.50"
"Tomáš  Rigo";"MFK Karviná v FC Baník Ostrava";"LDM";"96.53";"11068.9";"1781.7";"727.2";"151.0";"878.3";"46.6";"7.5";"54.1";"75.5";"4.7";"71.8";"12.1";"29.00"
"Tomáš  Rigo";"FC Baník Ostrava v AC Sparta Prague";"LDM";"102.96";"10277.1";"1739.5";"665.2";"138.1";"803.3";"50.7";"7.9";"58.6";"72.6";"4.4";"72.6";"10.5";"26.80"
"Tomáš  Rigo";"1.FC Slovácko v FC Baník Ostrava";"LDM";"72.80";"11398.4";"1964.4";"747.9";"191.6";"939.6";"44.5";"11.1";"55.6";"58.1";"2.5";"71.7";"11.1";"27.00"
"Tomáš  Rigo";"FC Hradec Kralove v FC Baník Ostrava";"LDM";"100.74";"10087.3";"1399.0";"456.5";"114.4";"570.9";"37.5";"6.3";"43.8";"75.0";"4.5";"69.7";"8.9";"29.50"
"Tomáš  Rigo";"FC Baník Ostrava v SK Slavia Prague";"LDM";"87.86";"11015.9";"1615.4";"707.8";"381.1";"1088.9";"42.0";"14.3";"56.3";"85.0";"4.1";"76.8";"13.3";"29.20"
"Tomáš  Rigo";"SK Dynamo České Budějovic v FC Baník Ostrava";"LDM";"61.13";"11289.4";"1908.1";"690.5";"262.1";"952.6";"45.6";"10.3";"55.9";"78.0";"4.4";"83.9";"14.7";"27.60"
"Tomáš  Rigo";"FC Baník Ostrava v FC Viktoria Plzeň";"LDM";"95.82";"11613.0";"2016.6";"829.4";"141.8";"971.2";"55.4";"8.5";"63.9";"84.5";"2.8";"74.2";"15.0";"26.70"
"Tomáš  Rigo";"FC Baník Ostrava v FC Bohemians 1905";"LDM";"100.46";"10435.2";"1626.9";"491.8";"102.1";"594.0";"35.8";"6.3";"42.1";"75.3";"1.8";"70.8";"11.6";"27.00"
"Tomáš  Rigo";"FC Fastav Zlin v FC Baník Ostrava";"LDM";"94.04";"10959.1";"1548.5";"606.8";"207.7";"814.4";"41.2";"9.6";"50.7";"63.2";"4.8";"68.9";"8.6";"28.60"
"Tomáš  Rigo";"FC Baník Ostrava v SK Sigma Olomouc";"RDM";"99.33";"10756.0";"1705.2";"448.5";"51.6";"500.2";"41.7";"2.7";"44.4";"74.3";"3.6";"69.8";"10.9";"25.30"
"Tomáš  Rigo";"FK Jablonec v FC Baník Ostrava";"RM";"98.18";"10211.9";"1460.3";"552.8";"198.0";"750.8";"42.2";"9.2";"51.3";"56.8";"4.6";"62.3";"11.0";"27.90"
"Tomáš  Rigo";"FC Baník Ostrava v MFK Karviná";"LM";"67.92";"10974.4";"1804.8";"616.2";"108.7";"724.8";"53.0";"2.7";"55.7";"78.2";"4.0";"47.7";"14.6";"28.00"
