"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Thibo Somers";"KSV Cercle Brugge v KAA Gent";"RW";"100.62";"10946.3";"1786.2";"949.9";"361.4";"1311.3";"74.2";"17.0";"91.2";"92.1";"8.9";"76.9";"30.4";"29.50"
"Thibo Somers";"KV Kortrijk v KSV Cercle Brugge";"LF";"104.28";"10077.1";"1666.6";"686.1";"277.9";"964.0";"64.7";"15.5";"80.3";"108.7";"7.8";"89.8";"25.0";"29.00"
"Thibo Somers";"Racing White Daring Molenbeek v KSV Cercle Brugge";"RF";"103.21";"9907.8";"1568.7";"589.5";"158.7";"748.2";"49.7";"8.7";"58.4";"105.5";"5.2";"75.0";"27.0";"28.00"
"Thibo Somers";"KSV Cercle Brugge v Oud-Heverlee Leuven";"RW";"107.74";"10014.9";"1633.9";"847.0";"274.8";"1121.9";"65.2";"15.0";"80.2";"87.7";"15.9";"74.3";"26.7";"29.40"
"Thibo Somers";"KV Mechelen v KSV Cercle Brugge";"RW";"100.31";"10695.7";"1994.5";"829.9";"263.8";"1093.7";"70.9";"17.0";"87.9";"100.5";"6.3";"96.0";"35.9";"28.00"
"Thibo Somers";"Sint-Truidense VV v KSV Cercle Brugge";"RF";"95.56";"12023.2";"2251.9";"1170.7";"283.5";"1454.2";"89.5";"22.6";"112.1";"120.6";"15.1";"95.1";"28.3";"27.60"
"Thibo Somers";"Standard de Liège v KSV Cercle Brugge";"RF";"103.35";"10264.4";"1711.2";"692.3";"154.1";"846.4";"63.6";"7.8";"71.4";"114.1";"11.3";"78.4";"20.9";"28.30"
"Thibo Somers";"Club Brugge KV v KSV Cercle Brugge";"RW";"96.22";"11312.2";"2117.6";"1055.1";"428.4";"1483.5";"87.0";"21.5";"108.5";"90.7";"6.5";"90.7";"20.6";"28.20"
"Thibo Somers";"Oud-Heverlee Leuven v KSV Cercle Brugge";"RW";"104.66";"10548.7";"1649.3";"945.9";"386.1";"1332.0";"71.4";"18.1";"89.4";"92.0";"8.6";"74.8";"19.8";"29.40"
"Thibo Somers";"KSV Cercle Brugge v KV Kortrijk";"LW";"98.93";"10801.3";"1895.9";"1138.1";"327.5";"1465.6";"76.4";"20.9";"97.3";"84.6";"6.4";"83.7";"26.4";"28.30"
"Thibo Somers";"KSV Cercle Brugge v Standard de Liège";"RW";"102.86";"10603.0";"1889.1";"774.4";"147.9";"922.2";"67.4";"12.2";"79.6";"94.5";"7.0";"92.7";"14.9";"27.70"
"Thibo Somers";"KVC Westerlo v KSV Cercle Brugge";"RW";"102.37";"10462.9";"1922.7";"770.1";"317.4";"1087.5";"63.3";"17.6";"80.9";"79.1";"7.9";"81.8";"19.3";"28.50"
"Thibo Somers";"KSV Cercle Brugge v Racing White Daring Molenbeek";"LW";"98.27";"10350.0";"1633.0";"863.6";"351.7";"1215.3";"67.8";"21.1";"88.8";"98.9";"7.3";"81.5";"20.1";"28.40"
"Thibo Somers";"Royale Union Saint-Gilloise v KSV Cercle Brugge";"RW";"84.21";"10192.7";"1532.6";"628.4";"240.5";"868.9";"63.1";"11.8";"74.8";"99.4";"9.6";"80.2";"20.3";"28.90"
