"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Tarik Tissoudali";"KAA Gent v Breidablik UBK";"RF";"93.75";"10648.3";"1530.2";"671.0";"260.2";"931.2";"63.4";"14.4";"77.8";"95.0";"5.8";"81.6";"21.1";"29.60"
"Tarik Tissoudali";"KAA Gent v Maccabi Tel Aviv FC";"RF";"99.08";"10329.8";"1475.2";"625.9";"286.1";"912.0";"61.8";"11.8";"73.6";"100.8";"2.7";"85.4";"20.0";"30.30"
"Tarik Tissoudali";"Racing White Daring Molenbeek v KAA Gent";"RF";"74.45";"10166.6";"1292.3";"502.9";"188.6";"691.5";"45.9";"14.5";"60.4";"99.1";"2.4";"84.6";"14.5";"27.30"
"Tarik Tissoudali";"FC Zorya Lugansk v KAA Gent";"CF";"94.62";"10402.0";"1373.5";"498.4";"147.4";"645.8";"48.5";"7.6";"56.1";"98.0";"2.9";"82.8";"19.0";"29.20"
"Tarik Tissoudali";"KAA Gent v Club Brugge KV";"CF";"69.95";"10598.0";"1627.6";"755.3";"187.8";"943.1";"59.2";"12.9";"72.1";"102.9";"7.7";"74.6";"24.4";"28.80"
"Tarik Tissoudali";"KAA Gent v Standard de Liège";"RF";"76.17";"10241.8";"1488.8";"528.2";"109.9";"638.0";"54.4";"10.6";"65.0";"98.1";"7.1";"73.3";"15.4";"26.90"
"Tarik Tissoudali";"Pogoń Szczecin v KAA Gent";"CF";"98.02";"10351.6";"1492.0";"523.4";"140.5";"663.8";"43.2";"4.6";"47.7";"86.3";"2.8";"69.8";"11.9";"29.30"
"Tarik Tissoudali";"MSK Zilina v KAA Gent";"CF";"94.33";"11093.3";"1751.7";"800.5";"386.4";"1186.9";"63.9";"24.8";"88.7";"84.9";"9.5";"79.2";"20.0";"29.80"
"Tarik Tissoudali";"Sporting Charleroi v KAA Gent";"RF";"95.50";"10957.4";"1829.2";"741.7";"253.5";"995.2";"67.9";"15.1";"82.9";"86.7";"8.5";"77.3";"20.7";"28.90"
"Tarik Tissoudali";"KAA Gent v RSC Anderlecht";"CF";"84.16";"10422.3";"1589.1";"537.9";"86.6";"624.5";"50.3";"7.5";"57.7";"110.1";"8.6";"82.3";"18.2";"27.40"
"Tarik Tissoudali";"KAA Gent v Royale Union Saint-Gilloise";"RF";"82.50";"10413.8";"1621.1";"682.9";"249.8";"932.7";"67.6";"15.3";"82.9";"104.7";"3.3";"73.1";"19.6";"28.90"
"Tarik Tissoudali";"KRC Genk v KAA Gent";"RF";"105.13";"10083.8";"1465.6";"620.7";"194.3";"815.0";"58.2";"12.0";"70.2";"104.4";"10.3";"94.2";"18.0";"29.20"
"Tarik Tissoudali";"KAA Gent v KRC Genk";"CF";"103.98";"9772.9";"1252.5";"563.5";"248.4";"811.9";"50.2";"13.8";"64.1";"89.2";"6.9";"67.5";"21.6";"28.80"
"Tarik Tissoudali";"Maccabi Tel Aviv FC v KAA Gent";"RF";"96.83";"9690.6";"1145.1";"461.0";"183.1";"644.1";"40.0";"9.3";"49.3";"84.6";"8.4";"75.3";"14.9";"29.90"
"Tarik Tissoudali";"Club Brugge KV v KAA Gent";"RF";"88.78";"10976.8";"1441.5";"608.2";"267.6";"875.9";"49.7";"12.2";"61.8";"77.0";"9.1";"67.9";"17.2";"29.00"
"Tarik Tissoudali";"KV Kortrijk v KAA Gent";"CF";"94.47";"10698.6";"1536.7";"623.1";"308.7";"931.7";"59.1";"17.1";"76.2";"122.9";"10.5";"101.0";"21.9";"29.80"
"Tarik Tissoudali";"RSC Anderlecht v KAA Gent";"RF";"100.27";"10435.2";"1424.5";"491.0";"117.6";"608.6";"46.7";"8.1";"54.8";"92.5";"5.4";"79.9";"11.7";"28.70"
"Tarik Tissoudali";"KAA Gent v KSV Cercle Brugge";"LF";"100.00";"9757.8";"1091.7";"450.0";"162.0";"612.0";"45.0";"7.2";"52.2";"88.2";"7.2";"79.2";"14.4";"28.90"
"Tarik Tissoudali";"Maccabi Haifa FC v KAA Gent";"CF";"95.50";"10133.7";"1381.6";"532.5";"148.0";"680.4";"48.1";"9.4";"57.5";"97.1";"4.7";"79.2";"19.8";"29.10"
"Tarik Tissoudali";"KAA Gent v Maccabi Haifa FC";"RF";"96.37";"10448.5";"1466.2";"430.5";"159.7";"590.2";"46.7";"7.5";"54.2";"99.9";"4.7";"82.2";"13.1";"29.20"
"Tarik Tissoudali";"KAA Gent v Royal Antwerp FC";"RF";"99.82";"11187.3";"1776.2";"628.4";"166.8";"795.2";"61.3";"9.0";"70.3";"102.8";"10.8";"82.9";"18.9";"29.20"
"Tarik Tissoudali";"Standard de Liège v KAA Gent";"CF";"105.79";"9667.8";"1399.5";"507.0";"185.5";"692.5";"48.5";"12.8";"61.3";"80.0";"8.5";"69.8";"13.6";"28.70"
"Tarik Tissoudali";"Royale Union Saint-Gilloise v KAA Gent";"CF";"95.38";"10862.7";"1412.6";"574.6";"237.8";"812.4";"51.0";"12.3";"63.2";"79.3";"9.4";"69.8";"13.2";"28.50"
"Tarik Tissoudali";"KAA Gent v Sporting Charleroi";"CF";"77.91";"10125.1";"1261.5";"422.8";"172.1";"594.9";"39.3";"12.7";"52.0";"91.3";"8.1";"80.9";"11.6";"28.80"
"Tarik Tissoudali";"KAA Gent v Standard de Liège";"CF";"92.28";"10775.0";"1605.3";"540.3";"216.5";"756.8";"51.7";"10.7";"62.4";"94.6";"3.9";"88.8";"9.8";"30.40"
