"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Tsuyoshi Watanabe";"KAA Gent v Breidablik UBK";"CB";"93.75";"9588.5";"1363.2";"407.0";"131.5";"538.6";"41.3";"7.7";"49.0";"100.8";"10.6";"88.3";"13.4";"28.90"
"Tsuyoshi Watanabe";"KSV Cercle Brugge v KAA Gent";"RCB";"100.62";"9388.2";"1383.7";"453.5";"53.7";"507.2";"38.5";"2.7";"41.1";"77.8";"4.5";"63.5";"11.6";"25.10"
"Tsuyoshi Watanabe";"KAA Gent v Maccabi Tel Aviv FC";"CB";"99.08";"9801.2";"1602.3";"502.3";"166.2";"668.6";"40.0";"10.0";"50.0";"99.0";"4.5";"79.0";"13.6";"29.10"
"Tsuyoshi Watanabe";"Royal Antwerp FC v KAA Gent";"CB";"97.79";"9134.4";"824.6";"159.2";"37.7";"197.0";"19.3";"2.8";"22.1";"71.8";"1.8";"69.0";"9.2";"30.70"
"Tsuyoshi Watanabe";"KAA Gent v KAS Eupen";"CB";"103.24";"9213.6";"898.8";"247.6";"49.7";"297.3";"23.5";"3.5";"27.0";"83.7";"4.4";"69.7";"6.1";"26.90"
"Tsuyoshi Watanabe";"Racing White Daring Molenbeek v KAA Gent";"CB";"104.07";"8907.5";"928.8";"291.4";"79.6";"371.0";"24.2";"5.2";"29.4";"87.3";"4.3";"64.9";"9.5";"26.60"
"Tsuyoshi Watanabe";"Oud-Heverlee Leuven v KAA Gent";"CB";"103.58";"8272.7";"1044.4";"363.2";"101.7";"464.9";"28.7";"7.8";"36.5";"80.8";"5.2";"64.3";"9.6";"27.80"
"Tsuyoshi Watanabe";"FC Zorya Lugansk v KAA Gent";"CB";"94.62";"9445.1";"1175.6";"482.2";"276.8";"759.0";"35.2";"13.3";"48.5";"84.7";"5.7";"66.6";"13.3";"30.80"
"Tsuyoshi Watanabe";"KAA Gent v Club Brugge KV";"RCB";"102.70";"9248.0";"1231.3";"327.8";"71.0";"398.7";"28.0";"6.1";"34.2";"75.4";"7.0";"57.0";"11.4";"26.80"
"Tsuyoshi Watanabe";"Apoel Nicosia FC v KAA Gent";"CB";"101.22";"9120.0";"1285.7";"524.6";"143.2";"667.8";"39.1";"8.9";"48.0";"72.0";"5.3";"71.1";"11.6";"28.60"
"Tsuyoshi Watanabe";"KAA Gent v Apoel Nicosia FC";"CB";"96.43";"9212.8";"1021.1";"331.3";"84.0";"415.3";"29.9";"6.5";"36.4";"84.9";"3.7";"68.1";"13.1";"28.00"
