"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Vincent Janssen";"KV Mechelen v Royal Antwerp FC";"CF";"82.75";"10756.5";"1511.8";"488.3";"54.4";"542.7";"44.6";"6.5";"51.1";"78.3";"6.5";"76.1";"20.7";"25.70"
"Vincent Janssen";"Royal Antwerp FC v KAA Gent";"CF";"82.22";"9593.3";"1100.1";"428.0";"62.4";"490.4";"41.6";"7.7";"49.3";"84.3";"2.2";"70.1";"23.0";"26.10"
"Vincent Janssen";"Royal Antwerp FC v Racing White Daring Molenbeek";"CF";"98.86";"9001.8";"927.7";"301.3";"14.6";"315.9";"32.8";"2.7";"35.5";"77.4";"2.7";"58.3";"14.6";"24.70"
"Vincent Janssen";"Sporting Charleroi v Royal Antwerp FC";"CF";"100.72";"9737.2";"1444.9";"431.6";"71.5";"503.1";"42.9";"5.4";"48.3";"75.1";"4.5";"59.9";"9.8";"26.20"
"Vincent Janssen";"Royal Antwerp FC v KAS Eupen";"CF";"98.22";"9493.9";"1049.2";"521.4";"141.1";"662.5";"46.7";"11.0";"57.7";"92.5";"5.5";"67.8";"20.2";"27.10"
"Vincent Janssen";"KVC Westerlo v Royal Antwerp FC";"CF";"87.15";"9765.2";"1316.7";"436.8";"142.5";"579.3";"39.2";"9.3";"48.5";"70.2";"2.1";"68.2";"18.6";"28.40"
"Vincent Janssen";"Club Brugge KV v Royal Antwerp FC";"CF";"97.63";"9419.4";"1053.7";"492.3";"153.0";"645.3";"44.2";"12.0";"56.2";"78.4";"4.6";"67.3";"14.7";"29.30"
"Vincent Janssen";"Royale Union Saint-Gilloise v Royal Antwerp FC";"CF";"96.00";"9111.6";"1258.1";"518.4";"150.0";"668.4";"47.8";"9.4";"57.2";"73.1";"7.5";"56.3";"15.0";"27.40"
"Vincent Janssen";"Oud-Heverlee Leuven v Royal Antwerp FC";"CF";"82.65";"9414.9";"1232.7";"406.2";"77.3";"483.5";"35.9";"6.5";"42.5";"77.3";"4.4";"62.1";"14.2";"27.10"
"Vincent Janssen";"Royal Antwerp FC v KV Kortrijk";"CF";"74.52";"10514.5";"1851.4";"537.4";"125.6";"663.0";"51.9";"8.5";"60.4";"84.5";"2.4";"77.3";"18.1";"27.50"
"Vincent Janssen";"RSC Anderlecht v Royal Antwerp FC";"CF";"78.25";"10044.3";"1422.7";"533.7";"140.3";"674.0";"44.9";"8.1";"52.9";"74.8";"3.5";"61.0";"13.8";"27.10"
"Vincent Janssen";"Royal Antwerp FC v KSV Cercle Brugge";"CF";"83.37";"9097.2";"1075.2";"553.8";"289.3";"843.1";"37.8";"11.9";"49.7";"79.9";"2.2";"52.9";"14.0";"29.80"
"Vincent Janssen";"Royal Antwerp FC v KRC Genk";"CF";"90.35";"9792.9";"1555.9";"545.9";"158.4";"704.3";"57.8";"8.0";"65.7";"83.7";"3.0";"59.8";"17.9";"32.60"
"Vincent Janssen";"Royal Antwerp FC v Standard de Liège";"CF";"73.59";"10174.1";"1637.6";"544.2";"68.5";"612.7";"48.9";"7.3";"56.3";"90.5";"3.7";"75.8";"17.1";"26.30"
"Vincent Janssen";"Sint-Truidense VV v Royal Antwerp FC";"CF";"101.95";"10296.8";"1296.8";"689.5";"216.3";"905.7";"55.6";"15.9";"71.5";"89.2";"3.5";"76.8";"20.3";"29.00"
"Vincent Janssen";"Royal Antwerp FC v Oud-Heverlee Leuven";"CF";"75.95";"9996.6";"1277.4";"546.3";"60.4";"606.7";"40.3";"5.9";"46.2";"99.5";"3.6";"68.7";"19.0";"26.40"
"Vincent Janssen";"KSV Cercle Brugge v Royal Antwerp FC";"CF";"80.35";"9454.8";"1357.6";"454.8";"227.4";"682.1";"47.0";"13.4";"60.5";"87.4";"6.7";"70.6";"17.9";"30.10"
"Vincent Janssen";"Royal Antwerp FC v RSC Anderlecht";"CF";"98.73";"9205.1";"1077.5";"444.8";"87.5";"532.4";"45.6";"7.3";"52.9";"78.4";"4.6";"65.6";"13.7";"27.30"
"Vincent Janssen";"Royal Antwerp FC v KVC Westerlo";"CF";"99.64";"9666.6";"1201.3";"326.1";"100.3";"426.3";"36.1";"3.6";"39.7";"77.7";"2.7";"76.8";"18.1";"29.90"
"Vincent Janssen";"KRC Genk v Royal Antwerp FC";"CF";"97.90";"9433.0";"1208.0";"437.6";"106.6";"544.2";"43.2";"7.4";"50.6";"75.4";"9.2";"58.8";"13.8";"27.10"
"Vincent Janssen";"Racing White Daring Molenbeek v Royal Antwerp FC";"CF";"99.52";"9389.8";"1127.7";"495.6";"141.1";"636.7";"38.9";"8.1";"47.0";"87.7";"3.6";"72.3";"18.1";"28.10"
"Vincent Janssen";"Royal Antwerp FC v KV Mechelen";"CF";"103.01";"9499.8";"946.2";"460.4";"105.7";"566.2";"37.6";"7.0";"44.6";"73.4";"1.7";"66.4";"9.6";"28.30"
"Vincent Janssen";"KAA Gent v Royal Antwerp FC";"CF";"99.82";"10136.9";"1322.7";"596.0";"140.7";"736.6";"51.4";"9.9";"61.3";"83.9";"0.9";"55.0";"16.2";"27.80"
