"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Willem Geubbels";"FC St. Gallen v BSC Young Boys";"CF";"61.93";"10697.4";"1575.3";"729.5";"356.0";"1085.6";"69.8";"17.4";"87.2";"88.6";"8.7";"79.9";"17.4";"31.10"
"Willem Geubbels";"Grasshopper Club Zürich v FC St. Gallen";"CF";"66.12";"10704.2";"1534.0";"748.6";"367.5";"1116.2";"57.2";"20.4";"77.6";"96.6";"8.2";"76.2";"19.1";"29.60"
"Willem Geubbels";"FC St. Gallen v Grasshopper Club Zürich";"CF";"73.65";"10729.1";"1685.1";"620.8";"338.5";"959.3";"55.0";"18.3";"73.3";"89.2";"8.6";"74.5";"15.9";"31.50"
"Willem Geubbels";"FC St. Gallen v FC Lausanne-Sports";"CF";"62.36";"10285.9";"1391.3";"741.8";"269.9";"1011.7";"60.6";"20.2";"80.8";"85.2";"10.1";"70.7";"11.5";"30.90"
"Willem Geubbels";"FC Zürich v FC St. Gallen";"CF";"61.15";"11197.4";"1701.4";"863.9";"369.4";"1233.4";"70.6";"25.0";"95.7";"83.9";"8.8";"76.5";"22.1";"30.30"
"Willem Geubbels";"Servette FC v FC St. Gallen";"CF";"67.97";"9794.5";"1391.6";"749.4";"271.4";"1020.9";"64.9";"17.2";"82.1";"102.0";"11.9";"80.8";"19.9";"31.10"
"Willem Geubbels";"FC St. Gallen v FC Luzern";"CF";"61.52";"11121.3";"1754.1";"832.4";"232.6";"1065.0";"79.0";"14.6";"93.6";"99.5";"8.8";"80.5";"13.2";"29.70"
"Willem Geubbels";"Lugano v FC St. Gallen";"CF";"67.42";"11452.2";"1771.4";"903.7";"405.8";"1309.6";"69.4";"26.7";"96.1";"85.4";"6.7";"70.8";"13.3";"29.70"
"Willem Geubbels";"FC St. Gallen v FC Basel";"CF";"62.93";"10314.3";"1341.5";"710.8";"234.5";"945.3";"58.6";"15.7";"74.4";"84.4";"10.0";"64.4";"20.0";"28.60"
"Willem Geubbels";"FC Stade Lausanne-Ouchy v FC St. Gallen";"CF";"73.03";"10769.7";"1822.7";"804.7";"207.0";"1011.8";"76.4";"14.8";"91.2";"101.1";"14.8";"88.7";"22.2";"29.30"
"Willem Geubbels";"FC St. Gallen v FC Winterthur";"CF";"77.85";"10897.1";"1802.3";"816.2";"403.5";"1219.7";"67.1";"23.1";"90.2";"80.9";"13.9";"72.8";"19.7";"29.60"
"Willem Geubbels";"FC Basel v FC St. Gallen";"CF";"76.75";"11025.1";"1918.4";"936.9";"343.6";"1280.5";"78.6";"25.8";"104.4";"90.3";"12.9";"77.4";"25.8";"29.50"
"Willem Geubbels";"FC St. Gallen v Yverdon Sport FC";"CF";"63.47";"11277.3";"1769.7";"863.6";"463.7";"1327.2";"69.5";"25.5";"95.0";"90.8";"9.9";"72.3";"19.9";"30.60"
"Willem Geubbels";"FC St. Gallen v FC Zürich";"CF";"80.10";"10015.7";"1252.8";"658.4";"352.8";"1011.2";"55.1";"20.2";"75.3";"80.9";"10.1";"62.9";"20.2";"31.20"
"Willem Geubbels";"FC Lausanne-Sports v FC St. Gallen";"CF";"65.16";"11215.5";"1624.3";"940.6";"404.7";"1345.3";"82.9";"26.2";"109.1";"78.7";"12.4";"69.1";"18.0";"30.00"
"Willem Geubbels";"Servette FC v FC St. Gallen";"RF";"68.33";"10219.7";"1405.4";"654.6";"329.3";"983.9";"61.9";"17.1";"79.0";"76.4";"10.5";"72.4";"15.8";"30.60"
"Willem Geubbels";"FC St. Gallen v Lugano";"CF";"65.47";"10508.0";"1490.1";"646.1";"165.0";"811.1";"55.0";"11.0";"66.0";"96.2";"12.4";"85.2";"17.9";"28.70"
"Willem Geubbels";"Grasshopper Club Zürich v FC St. Gallen";"CF";"84.76";"10985.6";"1658.6";"769.8";"238.9";"1008.7";"69.0";"12.7";"81.8";"92.4";"13.8";"90.3";"18.1";"29.00"
"Willem Geubbels";"FC St. Gallen v FC Luzern";"CF";"68.15";"10599.3";"1822.5";"755.4";"386.9";"1142.3";"64.7";"18.5";"83.2";"87.2";"14.5";"74.0";"19.8";"30.80"
"Willem Geubbels";"FC Lausanne-Sports v FC St. Gallen";"CF";"98.61";"9836.0";"1380.0";"631.6";"387.0";"1018.6";"53.8";"21.0";"74.8";"67.5";"15.5";"60.2";"21.0";"31.50"
"Willem Geubbels";"FC St. Gallen v Yverdon Sport FC";"CF";"72.62";"10450.0";"1543.0";"821.7";"383.0";"1204.6";"66.9";"21.1";"88.0";"96.7";"18.6";"78.1";"26.0";"29.40"
"Willem Geubbels";"FC Zürich v FC St. Gallen";"CF";"87.09";"9897.0";"1287.6";"751.3";"219.1";"970.4";"58.9";"10.3";"69.2";"71.3";"14.5";"61.0";"22.7";"30.60"
"Willem Geubbels";"Lugano v FC St. Gallen";"CF";"71.80";"10694.7";"1573.1";"796.0";"220.6";"1016.6";"51.4";"13.8";"65.2";"81.5";"10.0";"66.4";"18.8";"29.20"
"Willem Geubbels";"FC St. Gallen v Servette FC";"CF";"87.91";"10047.3";"1420.0";"541.6";"248.8";"790.4";"49.1";"16.4";"65.5";"80.9";"9.2";"68.6";"16.4";"31.70"
