"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Zeno Debast";"Standard de Liège v RSC Anderlecht";"RCB";"103.00";"9372.2";"1149.0";"430.8";"196.6";"627.4";"35.0";"9.6";"44.6";"76.0";"6.1";"61.2";"11.4";"31.00"
"Zeno Debast";"RSC Anderlecht v KV Mechelen";"RCB";"99.40";"10446.9";"1501.2";"343.2";"60.7";"403.8";"32.6";"4.5";"37.1";"67.9";"3.6";"58.9";"10.0";"25.70"
"Zeno Debast";"KAS Eupen v RSC Anderlecht";"RCB";"99.37";"10136.7";"1348.6";"458.3";"75.2";"533.5";"42.6";"4.5";"47.1";"116.8";"5.4";"80.6";"15.4";"27.50"
"Zeno Debast";"RSC Anderlecht v Club Brugge KV";"RCB";"100.75";"9865.6";"1058.6";"294.8";"76.8";"371.6";"26.8";"3.6";"30.4";"78.6";"0.0";"67.0";"5.4";"28.00"
"Zeno Debast";"RSC Anderlecht v Oud-Heverlee Leuven";"RCB";"100.40";"8965.9";"1081.1";"328.1";"41.2";"369.3";"29.6";"1.8";"31.4";"79.8";"2.7";"60.1";"7.2";"25.40"
"Zeno Debast";"KRC Genk v RSC Anderlecht";"RCB";"101.52";"9094.9";"948.6";"239.4";"35.5";"274.8";"19.5";"1.8";"21.3";"69.1";"4.4";"55.0";"9.8";"25.70"
"Zeno Debast";"RSC Anderlecht v Sporting Charleroi";"RCB";"99.38";"9659.3";"1183.6";"257.2";"135.8";"393.0";"29.0";"7.2";"36.2";"88.8";"4.5";"63.4";"13.6";"27.90"
"Zeno Debast";"RSC Anderlecht v KVC Westerlo";"RCB";"101.40";"9142.9";"967.5";"252.1";"71.0";"323.1";"28.4";"5.3";"33.7";"69.2";"0.9";"62.1";"8.9";"27.90"
"Zeno Debast";"RSC Anderlecht v Royal Antwerp FC";"RCB";"103.34";"9688.9";"1221.0";"353.6";"108.9";"462.5";"30.5";"6.1";"36.6";"74.9";"1.7";"57.5";"11.3";"32.50"
"Zeno Debast";"Royale Union Saint-Gilloise v RSC Anderlecht";"RCB";"101.28";"9170.6";"1099.2";"367.0";"113.7";"480.7";"31.1";"4.4";"35.5";"67.5";"5.3";"52.4";"7.1";"31.40"
"Zeno Debast";"KSV Cercle Brugge v RSC Anderlecht";"RCB";"100.18";"8894.0";"1045.7";"240.8";"29.6";"270.4";"19.8";"1.8";"21.6";"74.6";"5.4";"62.0";"7.2";"26.70"
"Zeno Debast";"KAA Gent v RSC Anderlecht";"RCB";"100.55";"8855.9";"944.3";"297.2";"83.2";"380.4";"26.0";"7.2";"33.1";"89.5";"0.9";"68.0";"10.7";"28.10"
"Zeno Debast";"RSC Anderlecht v Racing White Daring Molenbeek";"RCB";"99.91";"9253.1";"968.4";"334.2";"111.7";"445.9";"24.3";"9.0";"33.3";"84.7";"2.7";"57.7";"9.9";"28.40"
"Zeno Debast";"KVC Westerlo v RSC Anderlecht";"RCB";"96.49";"9558.7";"1190.2";"338.6";"86.7";"425.3";"28.9";"4.7";"33.6";"67.2";"5.6";"58.8";"8.4";"28.00"
"Zeno Debast";"RSC Anderlecht v Standard de Liège";"RCB";"106.00";"8646.8";"882.2";"388.0";"112.9";"500.9";"35.7";"9.3";"45.0";"83.2";"1.7";"65.4";"11.0";"29.90"
"Zeno Debast";"Royal Antwerp FC v RSC Anderlecht";"RCB";"98.73";"9165.0";"1071.1";"424.8";"81.1";"505.9";"37.4";"3.6";"41.0";"72.9";"7.3";"66.5";"11.9";"27.10"
"Zeno Debast";"RSC Anderlecht v KSV Cercle Brugge";"RCB";"103.36";"9053.1";"1079.7";"355.3";"127.1";"482.4";"28.7";"7.8";"36.6";"87.1";"2.6";"60.1";"9.6";"27.60"
"Zeno Debast";"Oud-Heverlee Leuven v RSC Anderlecht";"RCB";"102.04";"8824.5";"866.1";"310.5";"75.0";"385.4";"22.9";"5.3";"28.2";"72.3";"2.6";"56.4";"9.7";"28.20"
"Zeno Debast";"RSC Anderlecht v Royale Union Saint-Gilloise";"RCB";"100.02";"9371.6";"1232.8";"354.5";"139.5";"494.0";"31.5";"7.2";"38.7";"76.5";"3.6";"63.9";"12.6";"28.20"
"Zeno Debast";"KV Mechelen v RSC Anderlecht";"RCB";"98.49";"9495.3";"1167.8";"367.3";"126.1";"493.5";"35.6";"6.4";"42.0";"85.0";"3.7";"59.4";"11.0";"28.50"
"Zeno Debast";"RSC Anderlecht v KAA Gent";"RCB";"100.27";"9613.0";"1214.4";"401.2";"224.4";"625.6";"40.4";"8.1";"48.5";"88.9";"2.7";"71.8";"10.8";"32.70"
"Zeno Debast";"Sporting Charleroi v RSC Anderlecht";"RCB";"108.25";"8882.8";"1112.4";"332.6";"92.3";"424.8";"27.4";"3.3";"30.8";"82.3";"3.3";"70.7";"9.1";"28.70"
"Zeno Debast";"RSC Anderlecht v Sint-Truidense VV";"RCB";"95.18";"10900.6";"1394.7";"488.9";"169.3";"658.1";"39.7";"9.5";"49.2";"71.9";"2.8";"58.6";"9.5";"28.00"
"Zeno Debast";"Club Brugge KV v RSC Anderlecht";"RCB";"99.33";"9357.9";"1219.6";"316.2";"53.5";"369.7";"31.7";"2.7";"34.4";"78.8";"3.6";"68.9";"10.9";"25.90"
"Zeno Debast";"RSC Anderlecht v KAS Eupen";"RCB";"94.60";"9729.7";"1193.0";"348.2";"78.0";"426.2";"33.3";"3.8";"37.1";"86.6";"1.9";"66.6";"10.5";"27.50"
"Zeno Debast";"Racing White Daring Molenbeek v RSC Anderlecht";"RCB";"86.12";"9266.5";"1011.6";"359.5";"211.1";"570.6";"33.4";"7.3";"40.8";"82.6";"4.2";"75.2";"7.3";"31.90"
"Zeno Debast";"RSC Anderlecht v KV Kortrijk";"RCB";"102.80";"10409.5";"1379.8";"378.2";"138.3";"516.5";"25.4";"6.1";"31.5";"77.9";"5.3";"57.8";"12.3";"29.50"
"Zeno Debast";"RSC Anderlecht v Royal Antwerp FC";"RCB";"100.47";"8935.5";"964.8";"269.6";"38.5";"308.2";"22.4";"5.4";"27.8";"78.8";"4.5";"65.4";"10.7";"25.90"
"Zeno Debast";"Club Brugge KV v RSC Anderlecht";"RCB";"99.68";"9570.6";"1136.7";"482.1";"147.2";"629.3";"37.0";"8.1";"45.1";"64.1";"3.6";"55.1";"9.0";"29.30"
"Zeno Debast";"RSC Anderlecht v Royale Union Saint-Gilloise";"RCB";"73.05";"9179.9";"1128.5";"236.6";"86.2";"322.8";"19.7";"4.9";"24.6";"89.9";"3.7";"56.7";"9.9";"29.30"
