"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Zakaria El Ouahdi";"KRC Genk v KV Mechelen";"RB";"95.20";"11219.7";"1667.6";"779.0";"282.7";"1061.7";"73.7";"13.2";"87.0";"97.4";"4.7";"82.2";"19.9";"29.80"
"Zakaria El Ouahdi";"Standard de Liège v KRC Genk";"RB";"86.39";"10537.7";"1747.1";"693.8";"230.2";"924.1";"55.2";"12.5";"67.7";"109.4";"2.1";"90.6";"13.5";"28.30"
"Zakaria El Ouahdi";"KAA Gent v KRC Genk";"RB";"103.98";"10352.9";"1575.3";"682.9";"257.1";"940.0";"58.9";"11.3";"70.1";"96.1";"6.1";"80.5";"23.4";"29.90"
"Zakaria El Ouahdi";"Sint-Truidense VV v KRC Genk";"RB";"110.98";"10320.2";"1681.9";"576.6";"259.5";"836.1";"57.6";"13.0";"70.6";"106.2";"7.3";"78.7";"21.1";"32.00"
"Zakaria El Ouahdi";"Oud-Heverlee Leuven v KRC Genk";"RB";"95.03";"11109.1";"1824.1";"806.9";"323.9";"1130.8";"64.4";"18.9";"83.3";"84.3";"5.7";"73.9";"18.0";"29.80"
"Zakaria El Ouahdi";"KRC Genk v Royale Union Saint-Gilloise";"RB";"74.55";"10453.5";"1411.3";"616.9";"350.1";"967.0";"38.6";"12.1";"50.7";"85.7";"3.6";"76.1";"18.1";"32.50"
"Zakaria El Ouahdi";"KV Mechelen v KRC Genk";"RB";"100.15";"10715.5";"1751.5";"727.0";"330.7";"1057.7";"54.8";"17.1";"71.9";"98.0";"2.7";"70.1";"18.9";"28.50"
"Zakaria El Ouahdi";"KRC Genk v Racing White Daring Molenbeek";"RB";"100.53";"10397.5";"1633.8";"709.9";"315.1";"1025.1";"58.2";"14.3";"72.5";"91.3";"8.1";"66.2";"12.5";"31.40"
"Zakaria El Ouahdi";"Sporting Charleroi v KRC Genk";"RB";"99.43";"10828.4";"1756.9";"648.1";"115.0";"763.0";"48.9";"9.1";"57.9";"94.1";"0.0";"67.9";"16.3";"27.00"
"Zakaria El Ouahdi";"KRC Genk v Club Brugge KV";"RB";"81.28";"10364.2";"1730.7";"569.1";"163.9";"733.0";"55.4";"11.1";"66.4";"108.5";"1.1";"79.7";"17.7";"29.40"
"Zakaria El Ouahdi";"KRC Genk v Standard de Liège";"RB";"99.30";"10331.4";"1685.8";"634.4";"183.1";"817.5";"56.2";"11.8";"68.0";"97.0";"4.5";"71.6";"18.1";"28.50"
"Zakaria El Ouahdi";"KVC Westerlo v KRC Genk";"RB";"90.35";"10224.2";"1580.9";"589.7";"289.9";"879.6";"48.8";"11.0";"59.8";"75.7";"9.0";"55.8";"14.9";"31.30"
