"Player";"Match";"Position";"Minutes Played";"Distance P90";"Running Distance P90";"HSR Distance P90";"Sprinting Distance P90";"HI Distance P90";"Count HSR P90";"Count Sprint P90";"Count HI P90";"Count Medium Acceleration P90";"Count High Acceleration P90";"Count Medium Deceleration P90";"Count High Deceleration P90";"PSV-99"
"Zeno Van den Bosch";"Royal Antwerp FC v Racing White Daring Molenbeek";"LCB";"60.16";"10099.6";"1466.1";"577.5";"252.8";"830.3";"38.9";"16.5";"55.4";"76.3";"7.5";"67.3";"12.0";"29.40"
"Zeno Van den Bosch";"Royale Union Saint-Gilloise v Royal Antwerp FC";"RCB";"72.29";"9190.5";"1076.9";"337.4";"226.6";"564.0";"28.6";"7.5";"36.1";"89.6";"6.2";"63.5";"12.4";"32.50"
"Zeno Van den Bosch";"RSC Anderlecht v Royal Antwerp FC";"LCB";"103.34";"9537.4";"1186.2";"299.6";"81.9";"381.5";"30.5";"3.5";"34.0";"74.9";"7.0";"65.3";"7.8";"29.40"
"Zeno Van den Bosch";"Royal Antwerp FC v KSV Cercle Brugge";"LCB";"97.67";"9338.2";"1169.3";"257.1";"99.5";"356.6";"22.1";"4.6";"26.7";"76.5";"4.6";"60.8";"9.2";"27.90"
"Zeno Van den Bosch";"Royal Antwerp FC v Sporting Charleroi";"RCB";"95.56";"10438.2";"1286.5";"408.7";"128.1";"536.8";"38.6";"7.5";"46.1";"85.7";"7.5";"70.6";"11.3";"28.90"
"Zeno Van den Bosch";"KAS Eupen v Royal Antwerp FC";"RCB";"104.63";"9108.4";"1070.9";"335.5";"85.2";"420.6";"27.5";"3.4";"31.0";"104.1";"2.6";"71.4";"10.3";"27.30"
"Zeno Van den Bosch";"Standard de Liège v Royal Antwerp FC";"RCB";"97.75";"10221.8";"1394.9";"437.3";"68.1";"505.5";"37.7";"3.7";"41.4";"103.1";"5.5";"87.5";"9.2";"26.60"
"Zeno Van den Bosch";"Royal Antwerp FC v Club Brugge KV";"RCB";"105.02";"9065.1";"1192.9";"295.7";"107.1";"402.8";"24.9";"7.7";"32.6";"85.7";"4.3";"66.8";"11.1";"28.90"
"Zeno Van den Bosch";"Racing White Daring Molenbeek v Royal Antwerp FC";"RCB";"99.52";"8641.9";"898.0";"238.7";"52.5";"291.2";"16.3";"3.6";"19.9";"80.5";"1.8";"57.0";"9.9";"28.90"
"Zeno Van den Bosch";"Royal Antwerp FC v KV Mechelen";"RCB";"103.01";"9821.3";"1176.9";"387.9";"201.8";"589.7";"28.8";"8.7";"37.6";"80.4";"5.2";"72.5";"9.6";"31.50"
"Zeno Van den Bosch";"KAA Gent v Royal Antwerp FC";"RCB";"99.82";"9953.0";"1353.3";"471.5";"155.1";"626.6";"47.8";"9.0";"56.8";"88.4";"2.7";"67.6";"16.2";"29.60"
"Zeno Van den Bosch";"Royal Antwerp FC v Sint-Truidense VV";"RCB";"97.52";"10343.7";"1308.7";"402.4";"73.8";"476.2";"33.2";"5.5";"38.8";"75.7";"12.0";"74.8";"10.2";"27.30"
"Zeno Van den Bosch";"KV Kortrijk v Royal Antwerp FC";"RCB";"96.28";"9359.0";"1077.8";"265.5";"112.2";"377.6";"24.3";"4.7";"29.0";"86.9";"8.4";"67.3";"9.3";"28.20"
"Zeno Van den Bosch";"Royal Antwerp FC v Royale Union Saint-Gilloise";"RCB";"101.10";"9417.5";"1095.8";"259.1";"145.1";"404.2";"25.8";"5.3";"31.2";"84.6";"5.3";"73.9";"9.8";"28.40"
"Zeno Van den Bosch";"RSC Anderlecht v Royal Antwerp FC";"RCB";"100.47";"9238.3";"1046.3";"355.6";"102.1";"457.7";"29.6";"9.0";"38.5";"91.4";"3.6";"78.8";"13.4";"28.00"
